Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Macroeconomía I,C,2020-03-30,Clase 1.0,1:38:17,https://ca.bbcollab.com/recording/8531c734305b48838ffb96c707be1df8
Macroeconomía I,C,2020-04-01,Clase 1.1,1:22:40,https://ca.bbcollab.com/recording/3af8e0466d77415abd2b0a4701f71b55
Macroeconomía I,C,2020-04-03,Práctica Dirigida 1,1:23:51,https://ca.bbcollab.com/recording/cd772f08866c438a8e2c4799f4be0e60
Macroeconomía I,C,2020-04-06,Clase 1.2,1:29:21,https://ca.bbcollab.com/recording/14e668c61ce3440ab4de88c32a3eed71
Macroeconomía I,C,2020-04-08,Clase 2.0,1:35:24,https://ca.bbcollab.com/recording/41da468fc4fd4b62ad85393b8a27e672
Macroeconomía I,C,2020-04-10,Practica Dirigida 2,1:27:29,https://ca.bbcollab.com/recording/0962460e0b5347a4a5b9fd405780f9e7
Macroeconomía I,C,2020-04-13,Clase 2.1,1:35:16,https://ca.bbcollab.com/recording/4dc1ea5fa92341a59ca9608a48cdf719
Macroeconomía I,C,2020-04-15,Clase 2.2,1:41:02,https://ca.bbcollab.com/recording/cf0138cd7d6440c887cabcffb5b6a353
Macroeconomía I,C,2020-04-17,Practica Dirigida 3,1:36:56,https://ca.bbcollab.com/recording/7ba34488301b4ffab72f2519cf5cf419
Macroeconomía I,C,2020-04-20,Clase 2.3,1:27:33,https://ca.bbcollab.com/recording/2e14abe49e2743228107bb7505eb14cc
Macroeconomía I,C,2020-04-22,Clase 3.0,1:24:52,https://ca.bbcollab.com/recording/eb22a6eca756403985b559365d99a4e7
Macroeconomía I,C,2020-04-24,Practica Dirigida 4,1:40:10,https://ca.bbcollab.com/recording/95256ff086f4473197fe580c55cad78a
Macroeconomía I,C,2020-04-27,Clase 3.1,1:33:30,https://ca.bbcollab.com/recording/6f5ef0b2e32a47649b4c3449acf53bd7
Macroeconomía I,C,2020-04-29,Clase 3.2,1:36:11,https://ca.bbcollab.com/recording/3492f559ee5843bf8bdff2c5446e0650
Macroeconomía I,C,2020-05-01,Practica Dirigida 5,1:39:13,https://ca.bbcollab.com/recording/a3b93f3031994b3eb3b2ab343462fa3b
Macroeconomía I,C,2020-05-04,Clase 4,1:38:24,https://ca.bbcollab.com/recording/657879a5b25c45208a36a993330b6fa7
Macroeconomía I,C,2020-05-06,Clase 4.1,1:11:49,https://ca.bbcollab.com/recording/881fd8e5f13c4d1f8b28b89ec06cbcaf
Macroeconomía I,C,2020-05-08,Practica Dirigida 6,1:44:01,https://ca.bbcollab.com/recording/55e82971d87f44f29cf0f3f885e07186
Macroeconomía I,C,2020-05-11,Clase 4.2,1:32:40,https://ca.bbcollab.com/recording/0206c3adc521437aaf9227e1e322056c
Macroeconomía I,C,2020-05-13,Clase 4.3,1:22:15,https://ca.bbcollab.com/recording/636d76d3b01445589f2dbb0be7cee459
Macroeconomía I,C,2020-05-25,Clase 5.1,1:22:30,https://ca.bbcollab.com/recording/59b7cb75115c4c4f9e6d23692c473e1b
Macroeconomía I,C,2020-05-27,Clase 5.2,1:31:47,https://ca.bbcollab.com/recording/7f337263ca2c48bd90ec4d7fbc2ce015
Macroeconomía I,C,2020-05-29,PD7,1:47:15,https://ca.bbcollab.com/recording/002d9b169077425bb7be5dc5b201c172
Macroeconomía I,C,2020-06-01,Clase 5.3,1:29:13,https://ca.bbcollab.com/recording/4a2457c6ced84e7f83f5820f67cf0bde
Macroeconomía I,C,2020-06-03,Clase 5.4,1:26:12,https://ca.bbcollab.com/recording/ddd7f77ac753458bbad61d0d0ac56952
Macroeconomía I,C,2020-06-08,Clase 6.1,1:28:10,https://ca.bbcollab.com/recording/cf37c965db24412d9df4be7beb8037d8
Macroeconomía I,C,2020-06-10,Clase 6.2,1:07:31,https://ca.bbcollab.com/recording/e2e02c10cd8745d2bf2bede9204a2c4d
Macroeconomía I,C,2020-06-12,PD8,1:32:07,https://ca.bbcollab.com/recording/082ef89684b04085a9a3e1a187bfcb51
