Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Macroeconomía II,C,2020-03-31,Clase 31/03/2020,1:47:00,https://ca.bbcollab.com/recording/4b552badd9004210a48eee317ad2507c
Macroeconomía II,C,2020-04-01,clase010420,1:47:31,https://ca.bbcollab.com/recording/117658f0c17e492aa62286cb3208cad5
Macroeconomía II,C,2020-04-03,Práctica Dirigida #1 - 03/04,1:51:34,https://ca.bbcollab.com/recording/a5b19e0db3e640be9f910a9b29d16c39
Macroeconomía II,C,2020-04-07,clase070420,1:33:51,https://ca.bbcollab.com/recording/10ae37ba439d4c93aba862b8b4dfea7a
Macroeconomía II,C,2020-04-07,clase070420,0:05:18,https://ca.bbcollab.com/recording/7c8bf01270994f339ac3033e8c9b0b82
Macroeconomía II,C,2020-04-08,080420,1:42:07,https://ca.bbcollab.com/recording/ee606240bec34ed0979c68815ab6a049
Macroeconomía II,C,2020-04-10,100420,1:51:41,https://ca.bbcollab.com/recording/a32fcdbbb61a4aa584ffaca5e99e38d3
Macroeconomía II,C,2020-04-10,Práctica Dirigida #2 - 10/04,1:55:12,https://ca.bbcollab.com/recording/c06277dc93d148209e0f798d63eb45dc
Macroeconomía II,C,2020-04-14,140420,1:43:06,https://ca.bbcollab.com/recording/ee8aabc5d09949099f362ce74dbecb29
Macroeconomía II,C,2020-04-15,150420,1:43:54,https://ca.bbcollab.com/recording/d22dce30d1774a18801d0c8c931888b0
Macroeconomía II,C,2020-04-17,Práctica Dirigida #3,1:43:48,https://ca.bbcollab.com/recording/3dac143a00a040308431d4d30305d9c4
Macroeconomía II,C,2020-04-21,210420,1:42:10,https://ca.bbcollab.com/recording/7fd5c57b72174bee926bc7dcc768526c
Macroeconomía II,C,2020-04-22,220420,1:27:34,https://ca.bbcollab.com/recording/34a3322fbe134dd6aa9c7513b5a022cf
Macroeconomía II,C,2020-04-24,Práctica Dirigida #4 - 24/04,1:31:19,https://ca.bbcollab.com/recording/92d3f882c2184eb883bfa518a96e40ee
Macroeconomía II,C,2020-04-28,280420,1:41:03,https://ca.bbcollab.com/recording/7a09b9ee5ef34c0d82936dc8aa6295c9
Macroeconomía II,C,2020-04-29,290420,1:50:07,https://ca.bbcollab.com/recording/0b0d2dc3fb02496d93ccf0ad2569b591
Macroeconomía II,C,2020-05-05,050520,0:31:34,https://ca.bbcollab.com/recording/88c282b75d8e4782909774241eeb55b6
