Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Macroeconomía III,A,2020-03-30,Clase 30.02.20 Macro III,1:49:24,https://ca.bbcollab.com/recording/b7e1f7ae3e4d4465b40bf45464bad455
Macroeconomía III,A,2020-04-01,Clase Macro III 01.04.20,1:49:39,https://ca.bbcollab.com/recording/aea8b65035764e1faf4eb8da553efc3f
Macroeconomía III,A,2020-04-03,PD1 03/04 3:30 - 5:30 pm,1:52:59,https://ca.bbcollab.com/recording/e37f29a73aa5439aa8f70e5659095fbb
Macroeconomía III,A,2020-04-06,Clase Macro III 06.04.20,1:42:19,https://ca.bbcollab.com/recording/ee17fc343efc49a8aa3b2e4909c7d4f3
Macroeconomía III,A,2020-04-08,Clase Macro III 08.04.20,1:54:45,https://ca.bbcollab.com/recording/74c6c139182f4dcc860304b15f45c9c9
Macroeconomía III,A,2020-04-10,PD2 10/04 3:30 - 5:30,2:03:17,https://ca.bbcollab.com/recording/3a85056729a940e5874e74e8b304241c
Macroeconomía III,A,2020-04-13,Clase Macro III 13.04.20,1:43:21,https://ca.bbcollab.com/recording/5e2d32f14da34b6a9227f60c467f6f20
Macroeconomía III,A,2020-04-15,Clase Macro III 15.04.20,1:55:58,https://ca.bbcollab.com/recording/04ecbc51aad64d348e181cfb6567da89
Macroeconomía III,A,2020-04-22,Clase Macro III 22.04.20,2:09:37,https://ca.bbcollab.com/recording/13c3ac78f30c41b29693ccb7f0a7b176
Macroeconomía III,A,2020-04-24,Clase Macro III 24.04,1:19:24,https://ca.bbcollab.com/recording/c8367f2a42bd40df8a585f0a999c03e6
Macroeconomía III,A,2020-04-24,PD3 24/04 3:30-5:30,1:47:09,https://ca.bbcollab.com/recording/33c226c8a3414575936352fb0ae36cb0
Macroeconomía III,A,2020-04-27,Calase Macro III 27.04,1:59:33,https://ca.bbcollab.com/recording/7956bb95984643d09b617c0c6a9643e3
Macroeconomía III,A,2020-04-29,Clase Macro III 29.04,1:31:13,https://ca.bbcollab.com/recording/821cd66edfaf4db290c696d9d90b6147
Macroeconomía III,A,2020-05-01,PD4 01/05 3:30 - 5:30,2:12:33,https://ca.bbcollab.com/recording/4e383d9f0adf44d0ab02b754184629cb
Macroeconomía III,A,2020-05-04,MAcro 3 04.05 versión 2,1:00:48,https://ca.bbcollab.com/recording/aa9e0c4320ee467c94caef817a51c71c
Macroeconomía III,A,2020-05-06,Clase Macro 06.05,1:52:55,https://ca.bbcollab.com/recording/28852ee2f1e9478da91163815999555f
Macroeconomía III,A,2020-05-08,Clase Macro III 08.04,1:53:20,https://ca.bbcollab.com/recording/73c33f9f63f74dcf8f85d7f83c29884a
Macroeconomía III,A,2020-05-13,Clase 13.05,1:34:51,https://ca.bbcollab.com/recording/26875da302c84d5c8fe0efdf9ebb2f91
Macroeconomía III,A,2020-05-15,PD5 15/05 3:30 - 5:30 pm,1:40:19,https://ca.bbcollab.com/recording/2d009ea40bd34459902c5dd44e825d54
Macroeconomía III,A,2020-05-25,Clase 25.05,1:50:25,https://ca.bbcollab.com/recording/283b0533da8645cca52fed1e8844bc31
Macroeconomía III,A,2020-05-27,Clase 27.05,2:03:44,https://ca.bbcollab.com/recording/526cde97bd334bbda88748daa520d4bf
