Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Macroeconomía III,B,2020-03-30,Lunes 7.30am,1:48:12,https://ca.bbcollab.com/recording/6766b3872c8c4f4e970222dd302681cb
Macroeconomía III,B,2020-04-01,Miercoles 7.30am,1:59:43,https://ca.bbcollab.com/recording/955238209e8e4ab79a9115dad65888d0
Macroeconomía III,B,2020-04-03,Práctica dirigida 1,1:38:58,https://ca.bbcollab.com/recording/26539f283e3840958f405ea7cf4c37c5
Macroeconomía III,B,2020-04-06,Lunes 7.30am,1:37:19,https://ca.bbcollab.com/recording/b11efdebc9094671b00884daa4ed8f96
Macroeconomía III,B,2020-04-08,Miercoles 7.30am,1:12:00,https://ca.bbcollab.com/recording/085c15269a7545fbabaa64508cadb9c9
Macroeconomía III,B,2020-04-13,Lunes 7.30am,1:31:03,https://ca.bbcollab.com/recording/60bc8e3451364b65a292b6b5cd8df44a
Macroeconomía III,B,2020-04-15,Miercoles 7.30am,1:30:17,https://ca.bbcollab.com/recording/698df71658d041748a178c45d1cffc6e
Macroeconomía III,B,2020-04-17,Práctica dirigida 3,1:43:40,https://ca.bbcollab.com/recording/c56ebea4ab454ccbaeea5103c8d30a97
Macroeconomía III,B,2020-04-20,Lunes 7.30am,1:37:27,https://ca.bbcollab.com/recording/9424527eeee44e839b67c9e63dedaa0a
Macroeconomía III,B,2020-04-22,Miercoles 7.30am,1:35:53,https://ca.bbcollab.com/recording/f50cb861a0874b1da2d09a2c23d01818
Macroeconomía III,B,2020-04-27,Lunes 7.30am,1:31:08,https://ca.bbcollab.com/recording/42422ba0a0ab4161b475742730352c74
Macroeconomía III,B,2020-04-29,Miercoles 7.30am,1:37:37,https://ca.bbcollab.com/recording/76112e77da284b42b98a3111a237e307
Macroeconomía III,B,2020-05-02,Práctica dirigida 4,1:30:12,https://ca.bbcollab.com/recording/0553b1fcdedd467abd18325379873813
Macroeconomía III,B,2020-05-04,Lunes 7.30am,1:21:43,https://ca.bbcollab.com/recording/7e493985ec8f469ebb8372711208ec43
Macroeconomía III,B,2020-05-06,Miercoles 7.30am,1:30:36,https://ca.bbcollab.com/recording/170326505f5243acbf5417cecfaef685
Macroeconomía III,B,2020-05-08,Práctica dirigida 5,1:40:39,https://ca.bbcollab.com/recording/710f6abb313b480592b1a8c0fa5c18f2
Macroeconomía III,B,2020-05-11,Lunes 7.30am,1:34:26,https://ca.bbcollab.com/recording/c6d21d4df20c46e2908d41adf3b5f9c8
Macroeconomía III,B,2020-05-13,Miercoles 7.30am,1:21:13,https://ca.bbcollab.com/recording/c77fcc232cbc4521a8f05c2bcaded53c
Macroeconomía III,B,2020-05-25,Lunes 7.30am,1:27:12,https://ca.bbcollab.com/recording/b1870fe18c2e432180a71f3c30642227
Macroeconomía III,B,2020-05-27,Miercoles 7.30am,1:34:38,https://ca.bbcollab.com/recording/27f8afcf251241a4aaed54bf39a48f8f
