Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Macroeconomía III,C,2020-03-30,Lunes 1.30pm,1:46:44,https://ca.bbcollab.com/recording/f4ef5a391a074fc1b65166c296ab6ca2
Macroeconomía III,C,2020-04-02,Jueves 7.30am,1:53:07,https://ca.bbcollab.com/recording/ce4af5a5de7f4a46843159020663ba35
Macroeconomía III,C,2020-04-03,PD 1,1:29:38,https://ca.bbcollab.com/recording/d49a977152614f61ba5f5859d8e6a7c1
Macroeconomía III,C,2020-04-06,Lunes 1.30pm,1:48:00,https://ca.bbcollab.com/recording/1e752c61570a4a579278a53ee8683d5c
Macroeconomía III,C,2020-04-09,Jueves 7.30am,1:06:26,https://ca.bbcollab.com/recording/2fee41a393894b8dbe182608b2768ec9
Macroeconomía III,C,2020-04-13,Lunes 1.30pm,1:33:18,https://ca.bbcollab.com/recording/3347172f02014039be81001063549bb8
Macroeconomía III,C,2020-04-16,Jueves 7.30am,1:29:57,https://ca.bbcollab.com/recording/ef9f75bac0b3434a9e90e9991bed5a34
Macroeconomía III,C,2020-04-17,PD3,1:38:06,https://ca.bbcollab.com/recording/2d3938cdf882402bab8b11bbd94d7852
Macroeconomía III,C,2020-04-20,Lunes 1.30pm,1:33:01,https://ca.bbcollab.com/recording/86ad3a1dbb1f41b6a336df90c986dce9
Macroeconomía III,C,2020-04-23,Jueves 7.30am,1:27:28,https://ca.bbcollab.com/recording/1d33b6cc75ac4c718b16277bf9c649d9
Macroeconomía III,C,2020-04-27,Lunes 1.30pm,1:46:14,https://ca.bbcollab.com/recording/bda4f8a5f169499a99eb9e9f698c8bb8
Macroeconomía III,C,2020-04-30,Jueves 7.30am,1:34:40,https://ca.bbcollab.com/recording/e45c02059f00424d8f015167b56e2d35
Macroeconomía III,C,2020-05-04,Lunes 1.30pm,1:28:06,https://ca.bbcollab.com/recording/8e03589b13294e9c919b70c8fe3d1741
Macroeconomía III,C,2020-05-07,Jueves 7.30am,1:13:18,https://ca.bbcollab.com/recording/d06ce07b1e174fd1bb5266e6dc21351b
Macroeconomía III,C,2020-05-08,PD 5,1:18:38,https://ca.bbcollab.com/recording/542e359622974e9691fa206895ce346c
Macroeconomía III,C,2020-05-11,Lunes 1.30pm,1:32:17,https://ca.bbcollab.com/recording/27a3015d9bf546b4a9a1c1930fc7301a
Macroeconomía III,C,2020-05-14,jueves 14/05,1:16:42,https://ca.bbcollab.com/recording/dc2fd0b225284024b089e3d18115001c
Macroeconomía III,C,2020-05-14,Jueves 7.30am,0:30:54,https://ca.bbcollab.com/recording/3d278a87ebd349db82cd8af784b4bd85
Macroeconomía III,C,2020-05-25,Lunes 1.30pm,1:32:34,https://ca.bbcollab.com/recording/a11ba1b255c545708fe8429a57e5773f
Macroeconomía III,C,2020-05-28,Jueves 7.30am,1:38:11,https://ca.bbcollab.com/recording/f874aa4051f843c8a57f7e969b5744ee
Macroeconomía III,C,2020-05-29,PD 6,1:24:17,https://ca.bbcollab.com/recording/8b8c5a967b05415c84c886b3b8cd1180
Macroeconomía III,C,2020-06-01,Lunes 1.30pm,1:39:05,https://ca.bbcollab.com/recording/2389a37be70c460789382d1a84b6eda4
Macroeconomía III,C,2020-06-04,Jueves 7.30am,1:31:55,https://ca.bbcollab.com/recording/057ef94365744f0ab0854d7977319764
Macroeconomía III,C,2020-06-05,PD 7 #2,1:15:14,https://ca.bbcollab.com/recording/c3fd0eecb2da496cb7f909259ce4f1a0
Macroeconomía III,C,2020-06-08,Lunes 1.30pm,1:33:42,https://ca.bbcollab.com/recording/d11d296d836e401bb612a92b13999331
Macroeconomía III,C,2020-06-11,Jueves 7.30am,1:37:31,https://ca.bbcollab.com/recording/4a9dadb34cf44725abc63e57745f3b70
Macroeconomía III,C,2020-06-15,Lunes 1.30pm,1:37:06,https://ca.bbcollab.com/recording/5bc07e52005b4f1d9574d6fb38796a91
Macroeconomía III,C,2020-06-18,Jueves 7.30am,1:28:25,https://ca.bbcollab.com/recording/6216f2fbf7104c4a84a87dc9009d17ab
Macroeconomía III,C,2020-06-22,Lunes 1.30pm,1:22:41,https://ca.bbcollab.com/recording/5826988d3891496d91ac4b856c5f72c2
Macroeconomía III,C,2020-06-25,Jueves 7.30am,1:25:45,https://ca.bbcollab.com/recording/d8c39d36e3b342f1b102893cac7133b9
Macroeconomía III,C,2020-06-26,PD8,1:14:09,https://ca.bbcollab.com/recording/a0deddc0052049b5b4179c76c238d04e
Macroeconomía III,C,2020-06-29,Lunes 1.30pm,1:20:02,https://ca.bbcollab.com/recording/3482ebafc1e8424a9a6e38d9cac6760a
Macroeconomía III,C,2020-07-02,Jueves 7.30am,0:02:25,https://ca.bbcollab.com/recording/215cca10fe344c0383f070df864653ac
Macroeconomía III,C,2020-07-02,Jueves 7.30am,1:32:11,https://ca.bbcollab.com/recording/2d53237143574224bc2f5642464950ad
Macroeconomía III,C,2020-07-03,PD 9,1:12:34,https://ca.bbcollab.com/recording/389120b289854125a9ee168df2cadda9
Macroeconomía III,C,2020-07-06,Lunes 6/7,1:22:57,https://ca.bbcollab.com/recording/55e8d5bd9de0418b9740e732f6512e2a
Macroeconomía III,C,2020-07-09,Jueves 7.30am,1:30:00,https://ca.bbcollab.com/recording/5a24cd0e056745939c74072c1cb03ff9
Macroeconomía III,C,2020-07-09,Jueves 7.30am,1:30:00,https://ca.bbcollab.com/recording/5a24cd0e056745939c74072c1cb03ff9
