Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Marketing Analytics,A,2020-03-31,Primera sesión 31-03-2020 6:30-9:00pm,2:21:55,https://ca.bbcollab.com/recording/2825205749754ebaa87cbaf2ff4efdb5
Marketing Analytics,A,2020-04-07,"Sesion 2: martes 7, 6:30pm",2:51:57,https://ca.bbcollab.com/recording/41d09a697e0e4fa3af5612a52c9884c6
Marketing Analytics,A,2020-04-14,"Sesión 3: martes 14, 6:30pm",0:46:59,https://ca.bbcollab.com/recording/23035eb73044494c9cce542f6caef947
Marketing Analytics,A,2020-04-14,"Sesión 3: martes 14, 6:30pm",0:54:22,https://ca.bbcollab.com/recording/2669c4daee764c18b052083dd9a02bdb
Marketing Analytics,A,2020-04-21,"Sesion 4: martes 21, 6:30pm",1:20:04,https://ca.bbcollab.com/recording/7195742bcb3b40dea802f9a863870620
Marketing Analytics,A,2020-04-21,"Sesion 4: martes 21, 6:30pm",1:17:39,https://ca.bbcollab.com/recording/c2bbe54324d7421fbe10a540119b6c3d
Marketing Analytics,A,2020-04-28,"Sesión 5: martes 28, 6:30pm",1:05:13,https://ca.bbcollab.com/recording/07df0915d2a5460daf25285deae3d372
Marketing Analytics,A,2020-04-28,"Sesión 5: martes 28, 6:30pm",0:22:51,https://ca.bbcollab.com/recording/e194091341c847519441e0403f906ac0
Marketing Analytics,A,2020-04-28,"Sesión 5: martes 28, 6:30pm",0:10:27,https://ca.bbcollab.com/recording/fcf1c412c97d466db41a2b6126cec66d
Marketing Analytics,A,2020-05-05,"Sesión 6: martes 5, 6;30pm",0:39:03,https://ca.bbcollab.com/recording/c7ae508a609d480083d85ca4490a27b2
Marketing Analytics,A,2020-05-05,"Sesión 6: martes 5, 6;30pm",1:23:56,https://ca.bbcollab.com/recording/c9f7d7e021a848848fdac3e75000bb31
Marketing Analytics,A,2020-05-12,"Sesión 7: martes 12, 6:30pm",0:20:07,https://ca.bbcollab.com/recording/db4826bc957748b3b06f59c491cd1d3f
Marketing Analytics,A,2020-05-12,"Sesión 7: martes 12, 6:30pm",0:48:49,https://ca.bbcollab.com/recording/db8d74116f42439098586717e85922fa
Marketing Analytics,A,2020-05-12,"Sesión 7: martes 12, 6:30pm",0:02:40,https://ca.bbcollab.com/recording/ddd287e4123c4c88aa04b7c02ff2379a
Marketing Analytics,A,2020-05-12,"Sesión 7: martes 12, 6:30pm",0:09:45,https://ca.bbcollab.com/recording/f67da7d8fc7e460ab3372f4e142a12bf
Marketing Analytics,A,2020-05-26,"Sesión 8: martes 26, 6:30pm",0:48:50,https://ca.bbcollab.com/recording/70612aa4837d45ec9fc1f6f1a499f6dc
Marketing Analytics,A,2020-06-02,"Sesión 9: martes 2, 6:30pm",0:28:59,https://ca.bbcollab.com/recording/2582f64e7d934ddc9914211a171d1f99
Marketing Analytics,A,2020-06-02,"Sesión 9: martes 2, 6:30pm",0:21:36,https://ca.bbcollab.com/recording/ddbe40a4689f4645b7a797037a98af3c
Marketing Analytics,A,2020-06-09,"Sesión 10: martes 9, 6:30pm",0:10:26,https://ca.bbcollab.com/recording/2e94b4fd870d4673a437cadd89ab62e7
Marketing Analytics,A,2020-06-09,"Sesión 10: martes 9, 6:30pm",0:23:18,https://ca.bbcollab.com/recording/ccdc72c8423142af9f197f210757ba58
Marketing Analytics,A,2020-06-16,"Sesión 11: martes 16, 6:30pm",0:03:46,https://ca.bbcollab.com/recording/0f2f96c5861f4aae858a6e0a214cb71d
Marketing Analytics,A,2020-06-16,"Sesión 11: martes 16, 6:30pm",1:54:46,https://ca.bbcollab.com/recording/bc467299265747728d699c24bc70ff78
Marketing Analytics,A,2020-06-23,"Sesión 12: martes 23, 6:30pm",0:20:40,https://ca.bbcollab.com/recording/0dac647cce7f469991f16fef5f8c471e
Marketing Analytics,A,2020-06-23,"Sesión 12: martes 23, 6:30pm",0:18:40,https://ca.bbcollab.com/recording/e770e8a9dcb34a41a0c952d8d26835b5
Marketing Analytics,A,2020-06-30,"Sesión 13: martes 30, 6:30pm",0:10:20,https://ca.bbcollab.com/recording/4a942c8159e34a10bc4bf1062090507d
Marketing Analytics,A,2020-06-30,"Sesión 13: martes 30, 6:30pm",0:10:20,https://ca.bbcollab.com/recording/4a942c8159e34a10bc4bf1062090507d
Marketing Analytics,A,2020-06-30,"Sesión 13: martes 30, 6:30pm",0:23:43,https://ca.bbcollab.com/recording/524158033c364eefa287ae5a406d6447
Marketing Analytics,A,2020-06-30,"Sesión 13: martes 30, 6:30pm",0:23:43,https://ca.bbcollab.com/recording/524158033c364eefa287ae5a406d6447
Marketing Analytics,A,2020-06-30,"Sesión 13: martes 30, 6:30pm",0:11:22,https://ca.bbcollab.com/recording/45dcab1038964049a382361f4d8b4f77
