Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Marketing Estratégico,E,2020-03-31,Introducción,1:49:29,https://ca.bbcollab.com/recording/e72a591013ac4c788d799684cea725b7
Marketing Estratégico,E,2020-04-02,Introducción,1:20:55,https://ca.bbcollab.com/recording/0ccbd34eafd2413d842941b48320888c
Marketing Estratégico,E,2020-04-07,Introducción,1:34:40,https://ca.bbcollab.com/recording/faa14bfaa0d941889af689793417095c
Marketing Estratégico,E,2020-04-14,El Producto,0:27:54,https://ca.bbcollab.com/recording/527dbd834b4e4928aaea99c242fe4f6a
Marketing Estratégico,E,2020-04-14,Segmentación  yPosicionamiento,1:13:31,https://ca.bbcollab.com/recording/42d14ba1bdca43908b8fc1dac6a21313
Marketing Estratégico,E,2020-04-16,El Producto,1:34:27,https://ca.bbcollab.com/recording/eb34dbc7ef754947bcc4910999370560
Marketing Estratégico,E,2020-04-21,El Producto,1:46:23,https://ca.bbcollab.com/recording/39e0dce8abef4f1caad3c27d9a8286bb
Marketing Estratégico,E,2020-04-23,El Producto,1:40:45,https://ca.bbcollab.com/recording/9897606816e24d319ba11c803614ffd5
Marketing Estratégico,E,2020-04-28,El Producto,1:48:07,https://ca.bbcollab.com/recording/713341ace7374ac1ad58ebf2522b1e3d
Marketing Estratégico,E,2020-04-30,El Producto,1:58:14,https://ca.bbcollab.com/recording/6b1f54f5bc6143a08b93eab8c57d157b
Marketing Estratégico,E,2020-05-05,El Producto,1:59:43,https://ca.bbcollab.com/recording/26b739cdfd14493b8d03c74da0846da8
Marketing Estratégico,E,2020-05-07,Caso Práctico,1:41:44,https://ca.bbcollab.com/recording/298e4f94e62a4d62bf85ecf410d09bbb
Marketing Estratégico,E,2020-05-12,El Producto,1:53:22,https://ca.bbcollab.com/recording/ebf297012c1d4267a4153e470ecdf55e
Marketing Estratégico,E,2020-05-14,El Producto,1:35:47,https://ca.bbcollab.com/recording/0ef3f7e4b39c40538ef4c0c16341ab0e
Marketing Estratégico,E,2020-05-28,Estrategia de Precios,1:56:34,https://ca.bbcollab.com/recording/55612be6eec34fbab8bed997df3a7937
Marketing Estratégico,E,2020-06-02,Estrategias de precio,1:59:19,https://ca.bbcollab.com/recording/9db8d74e7fae4afb998e6a8086289f16
Marketing Estratégico,E,2020-06-02,Estrategiasde Plaza,1:17:33,https://ca.bbcollab.com/recording/b0c0d2076ea94b0e9deea20d3299c5f0
Marketing Estratégico,E,2020-06-04,Estrategiasde Plaza,0:21:44,https://ca.bbcollab.com/recording/ccea5870e9264644aa5998f2d9eead01
Marketing Estratégico,E,2020-06-09,Estrategiasde Plaza,1:15:52,https://ca.bbcollab.com/recording/3ec65efe731b4bb9861c046f10471ed5
Marketing Estratégico,E,2020-06-16,Estrategias de Promoción,1:59:05,https://ca.bbcollab.com/recording/1aff887309174fa886a128bf3eca9141
Marketing Estratégico,E,2020-06-18,Estrategias de Promoción,1:57:11,https://ca.bbcollab.com/recording/0fb03a85a319499a8388f879c0f303fd
Marketing Estratégico,E,2020-06-23,Estrategias de Promoción,2:24:20,https://ca.bbcollab.com/recording/6d209ab9f8ea4db9af2ea56bf8558eef
Marketing Estratégico,E,2020-06-25,Exposiciones,1:59:31,https://ca.bbcollab.com/recording/cd9e992ead164483865b1e5df3c73447
Marketing Estratégico,E,2020-06-30,Exposiciones,1:41:59,https://ca.bbcollab.com/recording/4ee51ac91f9040bca6725d8a11e0fa81
Marketing Estratégico,E,2020-07-02,Exposiciones,1:49:35,https://ca.bbcollab.com/recording/3690530474b140c483f200c3d169b1ce
Marketing Estratégico,E,2020-07-07,ORGANIZACIONES SIN FINES DE LUCROI,1:38:11,https://ca.bbcollab.com/recording/bb9b4ca186b64cd18891d6829bd8c3b2
Marketing Estratégico,E,2020-07-17,Consulta Examen Final,2:02:35,https://ca.bbcollab.com/recording/2901e8997fa24721a635fb5bc0bf7f51
