Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Matemáticas I,A,2020-04-27,Sesión 9,1:42:13,https://ca.bbcollab.com/recording/8749f3cce04e4785b374a8869a8679b4
Matemáticas I,A,2020-04-29,Sesión 10,1:41:30,https://ca.bbcollab.com/recording/9b41cbc292464ad7a816885356d4a245
Matemáticas I,A,2020-05-01,PD 4,1:19:47,https://ca.bbcollab.com/recording/82690c4ea53545b7bec67820cf3a7cd5
Matemáticas I,A,2020-05-04,Sesión 11,1:44:52,https://ca.bbcollab.com/recording/322dd7f21bbb4fa28bd8eb6ca10a8efb
Matemáticas I,A,2020-05-20,Examen Parcial,1:50:24,https://ca.bbcollab.com/recording/7f046e078ca94a4d92548f6574a25f0f
Matemáticas I,A,2020-05-25,Sesión 15,1:43:34,https://ca.bbcollab.com/recording/8c718d51f2924398a2ceec592cbf256f
Matemáticas I,A,2020-05-27,Sesión 16,1:36:45,https://ca.bbcollab.com/recording/e2d11473a8c84962b9e619adb5adb073
Matemáticas I,A,2020-06-03,Pd7,1:27:41,https://ca.bbcollab.com/recording/67a110d07ef046b88a67996672c1482d
Matemáticas I,A,2020-06-05,Pd8,1:17:14,https://ca.bbcollab.com/recording/875139b0f9b2424582c36920edeb5a9e
Matemáticas I,A,2020-06-12,pd9,1:22:47,https://ca.bbcollab.com/recording/d30bcb92a09a4aae8dbbaa9bd7188dbc
Matemáticas I,A,2020-06-15,Sesión 21,1:39:37,https://ca.bbcollab.com/recording/b9510c7151ee4e98bf4e9a4046f5df45
Matemáticas I,A,2020-06-17,Sesión 22,1:42:35,https://ca.bbcollab.com/recording/e87d1fe189854e3893c508daf447b86d
Matemáticas I,A,2020-06-22,Sesión 23,1:39:07,https://ca.bbcollab.com/recording/6558041bdc844c62a6ee5814b15630df
Matemáticas I,A,2020-06-24,Sesión 24,1:50:06,https://ca.bbcollab.com/recording/48a473cf5c094f0ca947c6759d75d068
Matemáticas I,A,2020-06-26,PD10,1:19:03,https://ca.bbcollab.com/recording/86986198eb1a4c9882eaec7168841989
Matemáticas I,A,2020-06-29,Sesión 25,1:40:53,https://ca.bbcollab.com/recording/a67019cf5e254a4493adbc97dd157828
Matemáticas I,A,2020-07-01,Sesión 26,1:37:13,https://ca.bbcollab.com/recording/8d7f320446bd40a999567d04b5a55fa6
Matemáticas I,A,2020-07-03,Pd11,1:13:18,https://ca.bbcollab.com/recording/858562fef1724a14a266ccff7e8a72cd
Matemáticas I,A,2020-07-06,Sesión 27,1:42:18,https://ca.bbcollab.com/recording/cd453f2dff9741289f845bc03b69316e
Matemáticas I,A,2020-07-08,Sesión 28,1:32:14,https://ca.bbcollab.com/recording/867b679f8b95423e89314b3dd0349b73
Matemáticas I,A,2020-07-08,Sesión 28,1:32:14,https://ca.bbcollab.com/recording/867b679f8b95423e89314b3dd0349b73
Matemáticas I,A,2020-07-10,Pd12,1:27:07,https://ca.bbcollab.com/recording/79a87af61d794b53b84b001fbad03b18
Matemáticas I,A,2020-07-10,Pd12,1:27:07,https://ca.bbcollab.com/recording/79a87af61d794b53b84b001fbad03b18
