Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Matemáticas I,E,2020-03-30,Ingresa aquí a tus clases virtuales,1:44:54,https://ca.bbcollab.com/recording/a5cd6222c9444d42af8a0f8851ec8692
Matemáticas I,E,2020-04-01,Ingresa aquí a tus clases virtuales,1:43:36,https://ca.bbcollab.com/recording/9c6ba21f6a4d4db393a5491c8ab55182
Matemáticas I,E,2020-04-03,Ingresa aquí a tus clases virtuales,2:24:15,https://ca.bbcollab.com/recording/69094c41ce184ff59b07092741cda0c0
Matemáticas I,E,2020-04-03,Ingresa aquí a tus clases virtuales,1:41:45,https://ca.bbcollab.com/recording/f8b5c2e327b14b0caace8b9f611ef8b9
Matemáticas I,E,2020-04-06,Ingresa aquí a tus clases virtuales,1:36:22,https://ca.bbcollab.com/recording/367e3adb3c2b4e4a8ccc7c8bbfe0dcbb
Matemáticas I,E,2020-04-08,Ingresa aquí a tus clases virtuales,3:33:47,https://ca.bbcollab.com/recording/0911c56409e44eaa922e6fbd6dc75b9f
Matemáticas I,E,2020-04-08,Ingresa aquí a tus clases virtuales,1:35:35,https://ca.bbcollab.com/recording/bb61aa80f590439ebd8f8c08a96e9b6a
Matemáticas I,E,2020-04-10,Ingresa aquí a tus clases virtuales,1:52:54,https://ca.bbcollab.com/recording/324f31e99e0b4bd4bfcd4701e240b6ca
Matemáticas I,E,2020-04-13,Ingresa aquí a tus clases virtuales,1:44:33,https://ca.bbcollab.com/recording/ff10eaf89e7f49c5803602cdd187cfa9
Matemáticas I,E,2020-04-15,Ingresa aquí a tus clases virtuales,1:38:11,https://ca.bbcollab.com/recording/25b1b94eca9b4e3098d42f6e6e9f33ca
Matemáticas I,E,2020-04-17,Ingresa aquí a tus clases virtuales,3:04:25,https://ca.bbcollab.com/recording/40064cd0f93a428f94bad998b4cf55d6
Matemáticas I,E,2020-04-20,Ingresa aquí a tus clases virtuales,1:32:30,https://ca.bbcollab.com/recording/9710b3d2dda74d10a2e55a7d18fe3c33
Matemáticas I,E,2020-04-22,Ingresa aquí a tus clases virtuales,1:40:33,https://ca.bbcollab.com/recording/233f36dbd7fd4fa29fe5cac408b944dd
Matemáticas I,E,2020-04-27,Ingresa aquí a tus clases virtuales,1:34:13,https://ca.bbcollab.com/recording/006db7bc519d4ab496f487977d972964
Matemáticas I,E,2020-04-29,Ingresa aquí a tus clases virtuales,1:37:23,https://ca.bbcollab.com/recording/1c07a0ec760641cb82c675b2f12e2cd9
Matemáticas I,E,2020-05-01,Ingresa aquí a tus clases virtuales,2:23:44,https://ca.bbcollab.com/recording/50184f7098144c1c9e3d7f12464fe863
Matemáticas I,E,2020-05-04,Ingresa aquí a tus clases virtuales,1:37:59,https://ca.bbcollab.com/recording/f6f4a330ca574dc4b57c8012ae794826
Matemáticas I,E,2020-05-06,Ingresa aquí a tus clases virtuales,1:36:44,https://ca.bbcollab.com/recording/97f1094d6d4d4823af77bce0f751002d
Matemáticas I,E,2020-05-08,Ingresa aquí a tus clases virtuales,2:10:03,https://ca.bbcollab.com/recording/a0dae42e5a154f0288ffafe5c01d8458
Matemáticas I,E,2020-05-11,Ingresa aquí a tus clases virtuales,1:41:04,https://ca.bbcollab.com/recording/ce053d1494404e02b71306f539186243
Matemáticas I,E,2020-05-13,Ingresa aquí a tus clases virtuales,1:43:17,https://ca.bbcollab.com/recording/15849e4c8ef94d5ca8dbf32f8ac4430c
Matemáticas I,E,2020-05-15,Ingresa aquí a tus clases virtuales,4:03:27,https://ca.bbcollab.com/recording/fca54e0418e1450d87b4086c297e849d
