Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Matemáticas I,F,2020-03-30,Ingresa aquí a tus clases virtuales,1:36:13,https://ca.bbcollab.com/recording/fe385f91be4a4cf184cfd973cde5a64b
Matemáticas I,F,2020-04-01,Ingresa aquí a tus clases virtuales,1:34:11,https://ca.bbcollab.com/recording/3f5f2a0b7c5d4124a49bcfd1b7ea890b
Matemáticas I,F,2020-04-03,Ingresa aquí a tus clases virtuales,1:46:47,https://ca.bbcollab.com/recording/213e4420b1d349918b9c44476bb378f4
Matemáticas I,F,2020-04-06,Ingresa aquí a tus clases virtuales,1:33:48,https://ca.bbcollab.com/recording/0fd6bfba309a47ada624d206a76b36ec
Matemáticas I,F,2020-04-08,Ingresa aquí a tus clases virtuales,1:35:39,https://ca.bbcollab.com/recording/98fb74202e6545d9b335722a865a2783
Matemáticas I,F,2020-04-13,Ingresa aquí a tus clases virtuales,1:36:25,https://ca.bbcollab.com/recording/3494d14201704effb1f04115fc94f15b
Matemáticas I,F,2020-04-14,Ingresa aquí a tus clases virtuales,1:22:14,https://ca.bbcollab.com/recording/7059d4dee4d14c9f81b34af5fda8b05e
Matemáticas I,F,2020-04-15,Ingresa aquí a tus clases virtuales,1:38:43,https://ca.bbcollab.com/recording/8062bc381cb846c993fa0de85c25f03c
Matemáticas I,F,2020-04-17,Ingresa aquí a tus clases virtuales,1:42:25,https://ca.bbcollab.com/recording/c69af74272cc4cf3ae585ff2fc037aa3
Matemáticas I,F,2020-04-20,Ingresa aquí a tus clases virtuales,1:39:04,https://ca.bbcollab.com/recording/18016b3547f94be7935c4c715880fa1c
Matemáticas I,F,2020-04-22,Ingresa aquí a tus clases virtuales,1:45:55,https://ca.bbcollab.com/recording/5129c20bb07e458e9a2b31ea0d7086ef
Matemáticas I,F,2020-04-27,Ingresa aquí a tus clases virtuales,1:39:30,https://ca.bbcollab.com/recording/583cf6c7576b47fead54fc0c83e1845a
Matemáticas I,F,2020-04-29,Ingresa aquí a tus clases virtuales,1:34:26,https://ca.bbcollab.com/recording/a85e01c69b204c4c9ccf0c9252a71c34
Matemáticas I,F,2020-05-01,Ingresa aquí a tus clases virtuales,1:42:10,https://ca.bbcollab.com/recording/fb94d7c3843647c09344508ded916744
Matemáticas I,F,2020-05-04,Ingresa aquí a tus clases virtuales,1:38:09,https://ca.bbcollab.com/recording/ee14faa47672493faeace486d4d32040
Matemáticas I,F,2020-05-06,Ingresa aquí a tus clases virtuales,1:35:07,https://ca.bbcollab.com/recording/c6e4aaa098de48dcb963f1490f7190c0
Matemáticas I,F,2020-05-08,Ingresa aquí a tus clases virtuales,2:08:27,https://ca.bbcollab.com/recording/f55223fc9f1e4051841442a9b031ea9a
Matemáticas I,F,2020-05-11,Ingresa aquí a tus clases virtuales,2:21:24,https://ca.bbcollab.com/recording/f03c29724f684f78a32d69f57cbab220
Matemáticas I,F,2020-05-13,Ingresa aquí a tus clases virtuales,1:45:38,https://ca.bbcollab.com/recording/87398c7c08754282a0d1d593959d9e26
Matemáticas I,F,2020-05-15,Ingresa aquí a tus clases virtuales,1:47:22,https://ca.bbcollab.com/recording/237d5e9b097e439b813e11325ba8d7ca
Matemáticas I,F,2020-05-20,Examen Parcial,1:21:50,https://ca.bbcollab.com/recording/117d11f9204a418f955ac0f80ef7fd3d
Matemáticas I,F,2020-05-25,Ingresa aquí a tus clases virtuales,1:48:34,https://ca.bbcollab.com/recording/aa1a29e2285f4ea38542c444c1c555f5
Matemáticas I,F,2020-05-27,Ingresa aquí a tus clases virtuales,1:32:54,https://ca.bbcollab.com/recording/7077b7554d354896825a7809725153c7
Matemáticas I,F,2020-05-29,Ingresa aquí a tus clases virtuales,1:39:08,https://ca.bbcollab.com/recording/8722b2c9529c4398af66d433b86db071
Matemáticas I,F,2020-06-01,Ingresa aquí a tus clases virtuales,1:37:29,https://ca.bbcollab.com/recording/95053c57527c43869178487041e4d14e
Matemáticas I,F,2020-06-03,Ingresa aquí a tus clases virtuales,1:30:53,https://ca.bbcollab.com/recording/86d70e0e8a084a6ab6612566fd931bbd
Matemáticas I,F,2020-06-08,Ingresa aquí a tus clases virtuales,1:39:09,https://ca.bbcollab.com/recording/17727fc9c88f4faeaa8d53291e0b5351
Matemáticas I,F,2020-06-10,Ingresa aquí a tus clases virtuales,1:39:33,https://ca.bbcollab.com/recording/73dfa4c041ef4e1f90e4d4e34d81e865
Matemáticas I,F,2020-06-12,Ingresa aquí a tus clases virtuales,1:39:21,https://ca.bbcollab.com/recording/900e0ab69b3e451195ced926a6fadf0c
Matemáticas I,F,2020-06-15,Ingresa aquí a tus clases virtuales,1:33:44,https://ca.bbcollab.com/recording/3500a6dc94ab4c598d07b7deae756c2d
Matemáticas I,F,2020-06-17,Ingresa aquí a tus clases virtuales,1:37:47,https://ca.bbcollab.com/recording/ac9679386b844a4ba6b4a025a36a79ae
Matemáticas I,F,2020-06-22,Ingresa aquí a tus clases virtuales,1:35:17,https://ca.bbcollab.com/recording/df0b90ec2bf94c0d83f33c303e56466d
Matemáticas I,F,2020-06-24,Ingresa aquí a tus clases virtuales,1:36:03,https://ca.bbcollab.com/recording/b4eb9b2303de4f4194b5383fe2d0c2b5
Matemáticas I,F,2020-06-26,Ingresa aquí a tus clases virtuales,1:53:12,https://ca.bbcollab.com/recording/ec1a87e142484d11a9e8edc0fc6ab72d
Matemáticas I,F,2020-06-29,Ingresa aquí a tus clases virtuales,1:22:19,https://ca.bbcollab.com/recording/cbc810d24b984b2aa6fe6679a7947a18
Matemáticas I,F,2020-07-01,Ingresa aquí a tus clases virtuales,1:35:29,https://ca.bbcollab.com/recording/b6fc60d13dc0468f92a5964e62fc7b63
Matemáticas I,F,2020-07-03,Ingresa aquí a tus clases virtuales,1:19:14,https://ca.bbcollab.com/recording/52af79b01c74428888b75f6f06461a40
Matemáticas I,F,2020-07-06,Ingresa aquí a tus clases virtuales,1:32:06,https://ca.bbcollab.com/recording/c859e228db5346359013969a80c0ee8c
Matemáticas I,F,2020-07-08,Ingresa aquí a tus clases virtuales,1:27:24,https://ca.bbcollab.com/recording/3c8c58a864c24e04b95f895e63fcb60b
Matemáticas I,F,2020-07-08,Ingresa aquí a tus clases virtuales,1:27:24,https://ca.bbcollab.com/recording/3c8c58a864c24e04b95f895e63fcb60b
Matemáticas I,F,2020-07-10,Ingresa aquí a tus clases virtuales,1:35:40,https://ca.bbcollab.com/recording/dfc4cfffa26b461eb08acc93f527b8f9
Matemáticas I,F,2020-07-10,Ingresa aquí a tus clases virtuales,1:35:40,https://ca.bbcollab.com/recording/dfc4cfffa26b461eb08acc93f527b8f9
