Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Matemáticas I,J,2020-04-10,Práctica Dirigida,2:31:15,https://ca.bbcollab.com/recording/b7d3a15b436c4ee890130d8a0251031f
Matemáticas I,J,2020-04-17,Práctica Dirigida,1:53:53,https://ca.bbcollab.com/recording/3f6bfa9ce01043dc8266cf6fc9b7fe08
Matemáticas I,J,2020-05-01,Práctica Dirigida,2:57:15,https://ca.bbcollab.com/recording/10a81ae8ced240bdb8ea398f1c3deef8
Matemáticas I,J,2020-05-08,Práctica Dirigida,1:50:09,https://ca.bbcollab.com/recording/b82ced938ed24243af1616de50395ad7
Matemáticas I,J,2020-05-15,Práctica Dirigida,1:48:16,https://ca.bbcollab.com/recording/3c469bb5bf39411f9dc3d8e7ba812863
Matemáticas I,J,2020-05-20,EXAMEN PARCIAL,1:52:52,https://ca.bbcollab.com/recording/4fa9dbdcb5e645e6a83df83493a9fcf8
Matemáticas I,J,2020-05-29,Práctica Dirigida,1:56:09,https://ca.bbcollab.com/recording/4dff68bdb7a442a485cdabe5d03a1237
Matemáticas I,J,2020-06-05,Práctica Dirigida,1:49:16,https://ca.bbcollab.com/recording/b8cce278ec694011853c32638819a803
Matemáticas I,J,2020-06-12,Práctica Dirigida,1:48:41,https://ca.bbcollab.com/recording/2f186a8d267d4e4e91c7fb37a9ca3a6e
Matemáticas I,J,2020-06-26,Práctica Dirigida,1:49:41,https://ca.bbcollab.com/recording/ff44125769944c9282b988ad73512cd5
Matemáticas I,J,2020-07-03,Práctica Dirigida,1:40:14,https://ca.bbcollab.com/recording/ba36153969ed48538bd60c9a76fb1deb
Matemáticas I,J,2020-07-10,Práctica Dirigida,1:57:26,https://ca.bbcollab.com/recording/aec00a80967644e0b63288051b48bcab
Matemáticas I,J,2020-07-10,Práctica Dirigida,1:57:26,https://ca.bbcollab.com/recording/aec00a80967644e0b63288051b48bcab
