Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Matemáticas I,L,2020-04-01,clase 2,1:33:04,https://ca.bbcollab.com/recording/0245a39ab8d14758b3703a32b58b1fff
Matemáticas I,L,2020-04-03,PRÁCTICA DIRIGIDA 1,1:34:13,https://ca.bbcollab.com/recording/6c65ada7609c4d3eafeaacb5950c47a8
Matemáticas I,L,2020-04-08,Clase 4,2:10:05,https://ca.bbcollab.com/recording/2a746e8fc8fc4f66bb46049f58e2b1e3
Matemáticas I,L,2020-04-10,Práctica Dirigida 2,1:43:07,https://ca.bbcollab.com/recording/38e70e2440df4cfdabee85bfac3d4874
Matemáticas I,L,2020-04-13,Clase 5,1:42:25,https://ca.bbcollab.com/recording/1140034dc1f34fc89a7001c312d8bb86
Matemáticas I,L,2020-04-15,Clase 6,1:46:20,https://ca.bbcollab.com/recording/77a2cf50c5d5471ba5f9a192074900a5
Matemáticas I,L,2020-04-17,PD3,1:41:18,https://ca.bbcollab.com/recording/e3fe49ef00af4e7f9eed7c77d6798c3a
Matemáticas I,L,2020-04-20,Clase 7,1:39:31,https://ca.bbcollab.com/recording/c00b5dfae34240dfa4f895f32123b96f
Matemáticas I,L,2020-04-22,Clase 8,1:51:49,https://ca.bbcollab.com/recording/6ea812a0c2f74acb947de8d70fac54f2
Matemáticas I,L,2020-04-27,Clase 9,1:45:31,https://ca.bbcollab.com/recording/8211654caaa242cc83a9c59a6a31a481
Matemáticas I,L,2020-04-29,Clase 10,1:48:45,https://ca.bbcollab.com/recording/9ad64c80e9fe4c12b6280d11197fde72
Matemáticas I,L,2020-05-01,Práctica Dirigida 4,1:44:27,https://ca.bbcollab.com/recording/d60b5a16a1a448089a093e5632b95c1e
Matemáticas I,L,2020-05-04,Clase 11,1:44:58,https://ca.bbcollab.com/recording/fc379c564d5740c1a9e9082be94a01c9
Matemáticas I,L,2020-05-06,Clase 12,1:43:49,https://ca.bbcollab.com/recording/57dca4a9a7014033be7a7c30e3226b50
Matemáticas I,L,2020-05-08,PD5,1:42:08,https://ca.bbcollab.com/recording/96a52c873bcb4eb8af85e4fb526bf856
Matemáticas I,L,2020-05-11,Clase 13,1:45:08,https://ca.bbcollab.com/recording/7feca57d7cb54aaf90b09831bbb6b3d3
Matemáticas I,L,2020-05-13,Clase 14,1:42:02,https://ca.bbcollab.com/recording/2ebac2e4247843fb8552c120f7a7f253
Matemáticas I,L,2020-05-15,PD6,1:37:14,https://ca.bbcollab.com/recording/96d8c50326cb49e7bd6f301b757dc118
Matemáticas I,L,2020-05-20,EXAMEN PARCIAL,1:33:55,https://ca.bbcollab.com/recording/c65a86474bee4c43977469464223480c
Matemáticas I,L,2020-05-25,Clase 15 Sistema de ecuaciones y matrices,1:47:26,https://ca.bbcollab.com/recording/4a73076c69754da8a3b750ba540dbcab
Matemáticas I,L,2020-05-27,Clase 16 Operaciones con matrices,1:48:24,https://ca.bbcollab.com/recording/cdb2bf633b834d7dbc6331f6a6a5500f
Matemáticas I,L,2020-05-29,Práctica Dirigida / Sist. Ec. y matrices,1:38:50,https://ca.bbcollab.com/recording/e23f1ecab8184da882ec96ff92475cbd
Matemáticas I,L,2020-06-01,Clase 17 Gauss,1:41:50,https://ca.bbcollab.com/recording/4b65c5abd6ed465c9ed1d02308705a32
Matemáticas I,L,2020-06-03,Clase 18 Determinantes,1:44:12,https://ca.bbcollab.com/recording/b0d9def86e5941b2ac69184984552e32
Matemáticas I,L,2020-06-05,PD8,1:40:50,https://ca.bbcollab.com/recording/45469d07cab241c2a07aa3d0f207879b
Matemáticas I,L,2020-06-08,Clase 19 Inversa y Rango,1:40:15,https://ca.bbcollab.com/recording/dbe539ecc6fb4adebbad656055a04bf3
