Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Matemáticas I,R,2020-03-30,Clase 1,1:49:32,https://ca.bbcollab.com/recording/69a339da78b94bc9894006cbbca67e08
Matemáticas I,R,2020-04-01,Clase 2,1:20:58,https://ca.bbcollab.com/recording/d312038985004f1b88d11cf09f56046a
Matemáticas I,R,2020-04-03,P. Dirigida 1,0:38:00,https://ca.bbcollab.com/recording/d2438f3f18d8465c90d7c1157d556e7b
Matemáticas I,R,2020-04-06,Clase 3,1:40:25,https://ca.bbcollab.com/recording/76aa70c32a8147a9b12bf13b3985483e
Matemáticas I,R,2020-04-08,Clase 4,1:47:56,https://ca.bbcollab.com/recording/e7df5e41d00f4c158f1274447e8d103f
Matemáticas I,R,2020-04-13,Clase 5,1:42:12,https://ca.bbcollab.com/recording/2bcc777c2efd4822a701202136409995
Matemáticas I,R,2020-04-15,Clase 6,1:50:16,https://ca.bbcollab.com/recording/224f5a0458fa4772a762f9ed3c54eec5
Matemáticas I,R,2020-04-20,clase7,1:43:18,https://ca.bbcollab.com/recording/bf093c0bd61c44cab52fd2d2f8fa3fed
Matemáticas I,R,2020-04-22,Clase 8,1:49:38,https://ca.bbcollab.com/recording/e21de48cade6430b907c3cbce1cf3623
Matemáticas I,R,2020-04-27,Clase 9,1:47:17,https://ca.bbcollab.com/recording/dee93cb5fc304f658a682e16a8b6cbc4
Matemáticas I,R,2020-04-29,Clase 10,1:50:18,https://ca.bbcollab.com/recording/f00fc8cbac7d47e18190370a116d6b51
Matemáticas I,R,2020-05-01,P.dirigida 4,1:38:13,https://ca.bbcollab.com/recording/375fbc0b4de346a997f4739715b2aff3
Matemáticas I,R,2020-05-04,Clase 11,1:54:53,https://ca.bbcollab.com/recording/66748d2b9cf04287a7bbe890debf38e2
Matemáticas I,R,2020-05-06,Clase 12,1:45:29,https://ca.bbcollab.com/recording/4c5e18f0888f455e94fb207d4afc9412
Matemáticas I,R,2020-05-08,P.Dirigida 5,1:43:18,https://ca.bbcollab.com/recording/b36606f521c54a5eb08a9f17861554a6
Matemáticas I,R,2020-05-11,Clase 13,1:43:49,https://ca.bbcollab.com/recording/ac387814796244d9beba8744dd308fd9
Matemáticas I,R,2020-05-13,Clase 14,1:45:31,https://ca.bbcollab.com/recording/fbe09419aeb04e849c523edcce745e30
Matemáticas I,R,2020-05-15,P.Dirigida 6,2:14:11,https://ca.bbcollab.com/recording/21e4e55aa4ca41438bf56f60ac279ed1
Matemáticas I,R,2020-05-20,Examen Parcial Matemáticas 1,1:50:52,https://ca.bbcollab.com/recording/cff8a37eddbf4abc9290a5eb74453f97
Matemáticas I,R,2020-05-25,clase 15,1:48:18,https://ca.bbcollab.com/recording/927ba7d795934bc0b3eb02eec954fc27
Matemáticas I,R,2020-05-27,clase 16,1:43:33,https://ca.bbcollab.com/recording/ef1c08aa6399450aab2111ee2808c7c4
Matemáticas I,R,2020-05-29,P.Dirigida 7,2:02:59,https://ca.bbcollab.com/recording/1c40a90fc0b4428eb76737ca7e3c3454
