Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Matemáticas II,A,2020-03-30,Clase 1,1:57:19,https://ca.bbcollab.com/recording/dd685ba885524c43a44d281a6e7c2eed
Matemáticas II,A,2020-04-01,Clase 2,1:38:33,https://ca.bbcollab.com/recording/ea3275238b184c8eb35b368265ca6926
Matemáticas II,A,2020-04-03,Práctica Dirigida 1,1:48:50,https://ca.bbcollab.com/recording/a4cf388c7bf547369e99f14f5816699d
Matemáticas II,A,2020-04-06,clase 3,1:35:40,https://ca.bbcollab.com/recording/f7892e3a31754599a4272c97b7744cb2
Matemáticas II,A,2020-04-08,Clase 4,1:28:30,https://ca.bbcollab.com/recording/bfd32b74e7e3471da1c41058a19463e1
Matemáticas II,A,2020-04-10,Práctica Dirigida 2,1:46:41,https://ca.bbcollab.com/recording/11f2ae68b02a4f8b935a116c7fa97325
Matemáticas II,A,2020-04-13,Clase 5,1:51:39,https://ca.bbcollab.com/recording/497e20cf47b744cebda3b429f149129d
Matemáticas II,A,2020-04-15,Clase 6,1:45:29,https://ca.bbcollab.com/recording/d8f85d6ce9c446f881a13b3454d7ff55
Matemáticas II,A,2020-04-17,Práctica Dirigida 3,1:47:02,https://ca.bbcollab.com/recording/d1dd5564f92d487a9b1aea9c7020f21a
Matemáticas II,A,2020-04-20,Clase 7,1:44:20,https://ca.bbcollab.com/recording/dd0150d3cb894b9fb085afe0f66c70ba
Matemáticas II,A,2020-04-22,Clase 8,1:44:14,https://ca.bbcollab.com/recording/f9c9908211994af5b56164de2e6a642b
Matemáticas II,A,2020-04-27,Clase 9,1:46:31,https://ca.bbcollab.com/recording/354f664d0a03493383a3c4f30fd01977
Matemáticas II,A,2020-04-29,Clase 9,1:41:30,https://ca.bbcollab.com/recording/92e6ad374f6548848758e77d9004aa34
Matemáticas II,A,2020-05-01,Práctica Dirigida 4,1:42:44,https://ca.bbcollab.com/recording/8b8b41b5e6e04bc1aa232faed3ea7fb8
Matemáticas II,A,2020-05-04,Clase 11,1:48:15,https://ca.bbcollab.com/recording/277770f61cff4757b4d0b5184e60a683
