Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Matemáticas II,D,2020-03-30,Ingresa aquí a tus clases virtuales,1:36:48,https://ca.bbcollab.com/recording/1e8c88088c5e4235976d01e7bde89975
Matemáticas II,D,2020-04-01,Ingresa aquí a tus clases virtuales,1:40:46,https://ca.bbcollab.com/recording/95e4297297b64387b7d4f78f1e985e94
Matemáticas II,D,2020-04-03,Ingresa aquí a tus clases virtuales,2:00:48,https://ca.bbcollab.com/recording/fcf4388d6574463eb004fb0af648765e
Matemáticas II,D,2020-04-06,Ingresa aquí a tus clases virtuales,1:48:18,https://ca.bbcollab.com/recording/dfbbd6272c2449a9b7b19b884ed74a31
Matemáticas II,D,2020-04-08,Ingresa aquí a tus clases virtuales,1:48:05,https://ca.bbcollab.com/recording/5b3d4f71cb294ce0860bbde656484deb
Matemáticas II,D,2020-04-10,Ingresa aquí a tus clases virtuales,1:42:52,https://ca.bbcollab.com/recording/f4c0433ab8cf43b1aa1cda3f40038bff
Matemáticas II,D,2020-04-13,Ingresa aquí a tus clases virtuales,1:40:38,https://ca.bbcollab.com/recording/3e9d0e4d25014434a259f7a7ebb90873
Matemáticas II,D,2020-04-15,Ingresa aquí a tus clases virtuales,1:34:31,https://ca.bbcollab.com/recording/aa61f48104fe4d4e88b660a0606bce90
Matemáticas II,D,2020-04-17,Ingresa aquí a tus clases virtuales,1:53:47,https://ca.bbcollab.com/recording/255ed4a47ccf4b27967dd99b27edff7d
Matemáticas II,D,2020-04-20,Ingresa aquí a tus clases virtuales,1:42:07,https://ca.bbcollab.com/recording/4e9f33aaa9eb42ee8190c956293ee74f
Matemáticas II,D,2020-04-22,Ingresa aquí a tus clases virtuales,1:43:13,https://ca.bbcollab.com/recording/2ed71ee2dcc74f009bbabe4e26a100a4
Matemáticas II,D,2020-04-27,Ingresa aquí a tus clases virtuales,1:40:14,https://ca.bbcollab.com/recording/236ba70b6af141ab9e3febe156585995
Matemáticas II,D,2020-04-29,Ingresa aquí a tus clases virtuales,1:36:50,https://ca.bbcollab.com/recording/ac55f63809744138b509878925550c39
Matemáticas II,D,2020-05-04,Ingresa aquí a tus clases virtuales,1:36:14,https://ca.bbcollab.com/recording/95e48aabb8bb48bbb2c5a41272eec13f
Matemáticas II,D,2020-05-06,Ingresa aquí a tus clases virtuales,1:38:16,https://ca.bbcollab.com/recording/83ab517f16a6468280c9a310e79de187
Matemáticas II,D,2020-05-08,Ingresa aquí a tus clases virtuales,1:45:53,https://ca.bbcollab.com/recording/8e40ee56f76941d1ac1b9f09cf6a3803
Matemáticas II,D,2020-05-11,Ingresa aquí a tus clases virtuales,1:38:48,https://ca.bbcollab.com/recording/eb0506931c1d454d8689589db602e74f
Matemáticas II,D,2020-05-13,Ingresa aquí a tus clases virtuales,1:42:09,https://ca.bbcollab.com/recording/38cffc1d4d674b16b5927c79b4ce1f11
Matemáticas II,D,2020-05-15,Ingresa aquí a tus clases virtuales,1:56:53,https://ca.bbcollab.com/recording/059649af0e7f4cb3a2b50525649efb76
Matemáticas II,D,2020-05-20,Examen Parcial,1:50:26,https://ca.bbcollab.com/recording/4a6c06a33b5841e3aa33fb8eac2a7708
Matemáticas II,D,2020-05-25,Ingresa aquí a tus clases virtuales,1:38:48,https://ca.bbcollab.com/recording/d997e488fd7744dc91994e1bdcad7533
Matemáticas II,D,2020-05-27,Ingresa aquí a tus clases virtuales,1:36:05,https://ca.bbcollab.com/recording/451f681b867a4b1a99bd97b23b9f5e03
Matemáticas II,D,2020-05-29,Ingresa aquí a tus clases virtuales,1:38:13,https://ca.bbcollab.com/recording/aa1fc7caa8a4422e856cdcaf79a82381
Matemáticas II,D,2020-06-01,Ingresa aquí a tus clases virtuales,1:35:22,https://ca.bbcollab.com/recording/b0d5db41b2844f0db684e1936b386de4
Matemáticas II,D,2020-06-03,Ingresa aquí a tus clases virtuales,1:35:14,https://ca.bbcollab.com/recording/c7ca1c192cd044a6ab2aed774bf0b263
Matemáticas II,D,2020-06-05,Ingresa aquí a tus clases virtuales,1:55:14,https://ca.bbcollab.com/recording/3b45421a0ecd40a282b6e8f6880df998
Matemáticas II,D,2020-06-08,Ingresa aquí a tus clases virtuales,1:39:54,https://ca.bbcollab.com/recording/574caa6d5bd540b88f46558aadc2ef25
Matemáticas II,D,2020-06-10,Ingresa aquí a tus clases virtuales,1:35:01,https://ca.bbcollab.com/recording/6509d4da53e6447caf6871308dc0155c
Matemáticas II,D,2020-06-12,Ingresa aquí a tus clases virtuales,2:02:14,https://ca.bbcollab.com/recording/61402a04f4444849884b94669ee6ff72
Matemáticas II,D,2020-06-15,Ingresa aquí a tus clases virtuales,1:30:46,https://ca.bbcollab.com/recording/893b9af17dcc4b798cb009fc30a3f76a
Matemáticas II,D,2020-06-17,Ingresa aquí a tus clases virtuales,1:42:36,https://ca.bbcollab.com/recording/03cd62b8280b408d9fd63d0830d7c3e6
Matemáticas II,D,2020-06-22,Ingresa aquí a tus clases virtuales,1:37:03,https://ca.bbcollab.com/recording/1077556daf804b65b3c918c9f02f393d
Matemáticas II,D,2020-06-24,Ingresa aquí a tus clases virtuales,1:40:06,https://ca.bbcollab.com/recording/5f894a8d36c5435b8a3fe286c6ef2ae9
Matemáticas II,D,2020-06-26,Ingresa aquí a tus clases virtuales,2:01:19,https://ca.bbcollab.com/recording/8e366160ae774641a64ad7868fabf41b
Matemáticas II,D,2020-06-29,Ingresa aquí a tus clases virtuales,1:23:21,https://ca.bbcollab.com/recording/ddb72962a32f4afdb8165346d2e7f3ca
Matemáticas II,D,2020-07-01,Ingresa aquí a tus clases virtuales,1:36:26,https://ca.bbcollab.com/recording/29f796bf268b4d64bdef77ef494dba01
Matemáticas II,D,2020-07-03,Ingresa aquí a tus clases virtuales,1:52:48,https://ca.bbcollab.com/recording/d08299a1cc89421da33584fc9951463c
Matemáticas II,D,2020-07-06,Ingresa aquí a tus clases virtuales,1:36:59,https://ca.bbcollab.com/recording/fca6bb8985d54086a1b7731c65a33e2f
Matemáticas II,D,2020-07-08,Ingresa aquí a tus clases virtuales,1:44:36,https://ca.bbcollab.com/recording/235107bdfc604eb69721806979798d20
Matemáticas II,D,2020-07-08,Ingresa aquí a tus clases virtuales,1:44:36,https://ca.bbcollab.com/recording/235107bdfc604eb69721806979798d20
Matemáticas II,D,2020-07-10,Ingresa aquí a tus clases virtuales,2:01:04,https://ca.bbcollab.com/recording/9be985aba4dd46359cf789475cd3b4c4
Matemáticas II,D,2020-07-10,Ingresa aquí a tus clases virtuales,2:01:04,https://ca.bbcollab.com/recording/9be985aba4dd46359cf789475cd3b4c4
