Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Matemáticas II,E,2020-03-30,Ingresa aquí a tus clases virtuales,1:45:36,https://ca.bbcollab.com/recording/40ee8e351dfe4af682d3557a5caf2ea3
Matemáticas II,E,2020-04-01,Ingresa aquí a tus clases virtuales,1:37:33,https://ca.bbcollab.com/recording/a73db035238b4249ae882bc343854b33
Matemáticas II,E,2020-04-03,Ingresa aquí a tus clases virtuales,2:01:42,https://ca.bbcollab.com/recording/82c79fa6cff448f2b134abb047d7495b
Matemáticas II,E,2020-04-04,Ingresa aquí a tus clases virtuales,0:41:46,https://ca.bbcollab.com/recording/aa7b4455cc344cb08c8d19bfddb3d38f
Matemáticas II,E,2020-04-06,Ingresa aquí a tus clases virtuales,1:43:30,https://ca.bbcollab.com/recording/55cd796e65a0403f8bbdd26bba46c8cc
Matemáticas II,E,2020-04-08,Ingresa aquí a tus clases virtuales,1:39:18,https://ca.bbcollab.com/recording/b8c610565752461aacdbfd049bdbf4ab
Matemáticas II,E,2020-04-10,Ingresa aquí a tus clases virtuales,1:43:28,https://ca.bbcollab.com/recording/29da577ffe524e3d98223ddd3e395188
Matemáticas II,E,2020-04-13,Ingresa aquí a tus clases virtuales,1:34:04,https://ca.bbcollab.com/recording/50b71389146b4104acd018b8bc95a103
Matemáticas II,E,2020-04-15,Ingresa aquí a tus clases virtuales,1:32:38,https://ca.bbcollab.com/recording/6dc595dd3c874de4b90939de78450984
Matemáticas II,E,2020-04-17,Ingresa aquí a tus clases virtuales,1:51:35,https://ca.bbcollab.com/recording/7f13f94fbfec459796a10501f2d213d8
Matemáticas II,E,2020-04-20,Ingresa aquí a tus clases virtuales,1:40:20,https://ca.bbcollab.com/recording/8249c460fa2d4ded987758373ed469df
Matemáticas II,E,2020-04-22,Ingresa aquí a tus clases virtuales,1:43:45,https://ca.bbcollab.com/recording/020751fa5f5441ae9af20fe38a52dfb3
