Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Matemáticas II,F,2020-03-30,clase 1,1:38:35,https://ca.bbcollab.com/recording/edcb24a66fcf4230ad107d2ead196ae4
Matemáticas II,F,2020-04-01,clase 2,1:35:19,https://ca.bbcollab.com/recording/eb93c72f3f2945f0ac44a30f1d265293
Matemáticas II,F,2020-04-03,dirigida1,2:00:08,https://ca.bbcollab.com/recording/af37d9b4ab584f00aae168e150d6806c
Matemáticas II,F,2020-04-03,recuperacióndel viernes03-04,1:00:13,https://ca.bbcollab.com/recording/29d5c218099b4025a96b8a6663d7d787
Matemáticas II,F,2020-04-06,clase 3(6 de abril),1:44:08,https://ca.bbcollab.com/recording/5f3d54e1fde6416d85542cee1b1eb49b
Matemáticas II,F,2020-04-08,clase 4(8 de abril),1:31:20,https://ca.bbcollab.com/recording/150b6cea23ba41fe924cfd8b205d5f2e
Matemáticas II,F,2020-04-10,dirigida2,2:23:50,https://ca.bbcollab.com/recording/1f3efeda32e241f5ac3357eb70717010
Matemáticas II,F,2020-04-13,clase 5(13 de abril),1:33:07,https://ca.bbcollab.com/recording/af58cd01482f42709fe121a95ec67c12
Matemáticas II,F,2020-04-15,clase 6(15 de Abril),1:29:40,https://ca.bbcollab.com/recording/bea8b11bf86748eb8f09a14e1ea26bf2
Matemáticas II,F,2020-04-17,pd3,1:38:42,https://ca.bbcollab.com/recording/21aa3e522f4042aa903584562b8c98e5
Matemáticas II,F,2020-04-20,clase 7(20 de abril),1:31:57,https://ca.bbcollab.com/recording/66ca44b74ad54ada8ebf15066f414a3a
Matemáticas II,F,2020-04-22,clase8 (22 de abril),1:32:52,https://ca.bbcollab.com/recording/a4d81ba2788e4faf9d5fde4908f3b0f7
Matemáticas II,F,2020-04-27,clase 9 (27 de abril),1:35:58,https://ca.bbcollab.com/recording/68511a52ed794a66b1baec2004b3525d
Matemáticas II,F,2020-04-29,clase 10 ( 29  de abril),1:23:02,https://ca.bbcollab.com/recording/997a60a9128245f0b29f778b5181565a
Matemáticas II,F,2020-05-04,clase 11(4 de mayo),1:25:14,https://ca.bbcollab.com/recording/a02c6613581b4acf983232cb36c42120
Matemáticas II,F,2020-05-06,clase 12,1:31:56,https://ca.bbcollab.com/recording/056917a45b6e4f59baa6a563f054deb0
Matemáticas II,F,2020-05-08,dirigida 5,1:50:06,https://ca.bbcollab.com/recording/2cf0fe3954f34d2a92a44b8f0fd14c6a
Matemáticas II,F,2020-05-11,clase 13 (11 de mayo),1:29:32,https://ca.bbcollab.com/recording/103a7e51c1d2484abef7de2e8e630f86
Matemáticas II,F,2020-05-13,clase 14 ( 13 de mayo),1:30:19,https://ca.bbcollab.com/recording/e3ad226dbca044d4ad31bd33b0c38e11
Matemáticas II,F,2020-05-15,dirigida 6,1:45:30,https://ca.bbcollab.com/recording/e302788f1e744c4e8e4a2dfdafb82444
Matemáticas II,F,2020-05-25,clase 15 (25 de mayo),1:21:53,https://ca.bbcollab.com/recording/32bc930ecc5e469fa0eb867947989767
