Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Matemáticas III,B,2020-03-30,Clases M3B,1:39:30,https://ca.bbcollab.com/recording/e307ca10a610452a9eed8bfb3d8a7fc9
Matemáticas III,B,2020-03-30,Latex Crash Course,1:54:47,https://ca.bbcollab.com/recording/e1179cd8d26748e3a4af254b667ca195
Matemáticas III,B,2020-04-01,Clases M3B,1:39:06,https://ca.bbcollab.com/recording/f1e7c5a5a1dc47588447124371b84780
Matemáticas III,B,2020-04-04,Dirigida 1  - Mate3B,1:55:23,https://ca.bbcollab.com/recording/87a86fc465214a53a06c19832464e2bd
Matemáticas III,B,2020-04-06,Clases M3B,1:41:08,https://ca.bbcollab.com/recording/a6edcadd110a43c197f8ba13c04acbd9
Matemáticas III,B,2020-04-08,Clases M3B,1:33:23,https://ca.bbcollab.com/recording/5dce907bdee14b7caaae8b62cbedc845
Matemáticas III,B,2020-04-11,Práctica Dirigida 2,2:02:51,https://ca.bbcollab.com/recording/f282e3102a7a4efa903f7854c3b7f7eb
Matemáticas III,B,2020-04-13,Clases M3B,1:40:36,https://ca.bbcollab.com/recording/5878a35e9b5a4a3bba5eaf8d22b23487
Matemáticas III,B,2020-04-15,Clases M3B,1:32:05,https://ca.bbcollab.com/recording/3c6cb6b4e4cd44f3b8c811d378220880
Matemáticas III,B,2020-04-18,Dirigida 3,1:47:06,https://ca.bbcollab.com/recording/6f405850b8604ee89fdf93cf9afab709
Matemáticas III,B,2020-04-20,Clases M3B,1:39:57,https://ca.bbcollab.com/recording/cf4e478f8d1a4f3d8bbb3803e34f425f
Matemáticas III,B,2020-04-22,Clases M3B,1:31:06,https://ca.bbcollab.com/recording/c24aac1ca55c42c0a44fd852b8490776
Matemáticas III,B,2020-04-27,Clases M3B,1:29:23,https://ca.bbcollab.com/recording/f2f5718e928541ce9fb95dc0fc99d570
Matemáticas III,B,2020-04-29,Clases M3B,1:36:43,https://ca.bbcollab.com/recording/a2d360e95cc34b5a875e547a6410fdc6
Matemáticas III,B,2020-05-03,Dirigida 4,1:34:31,https://ca.bbcollab.com/recording/41402b70649e4210998d2854e500dd48
Matemáticas III,B,2020-05-04,Clases M3B,1:31:21,https://ca.bbcollab.com/recording/a193fbd6b13343d5917f7c07380f3d26
Matemáticas III,B,2020-05-06,Clases M3B,1:41:20,https://ca.bbcollab.com/recording/064359291eb146b9aa2b1010bb0a33dd
Matemáticas III,B,2020-05-09,PD5,1:39:45,https://ca.bbcollab.com/recording/ecb0881905cc430f9b2b32d71985c637
Matemáticas III,B,2020-05-11,Clases M3B,1:44:09,https://ca.bbcollab.com/recording/1bd3b560d2a549829d6de0e60e5e8817
Matemáticas III,B,2020-05-13,Clases M3B,1:35:55,https://ca.bbcollab.com/recording/5740684f125c4fa7b31005c5284b2fba
Matemáticas III,B,2020-05-16,PD6,1:38:26,https://ca.bbcollab.com/recording/ef4553e180c045208ff81b75b98cb996
Matemáticas III,B,2020-05-19,Parcial,2:08:47,https://ca.bbcollab.com/recording/5ddee5300592414a9c63366e30bd89b4
Matemáticas III,B,2020-05-25,Clases M3B,1:42:54,https://ca.bbcollab.com/recording/f0c107c5fd474a2fb78b70f4761c0370
Matemáticas III,B,2020-05-27,Clases M3B,1:31:57,https://ca.bbcollab.com/recording/4201cec2588342478d19010c362d139a
Matemáticas III,B,2020-05-30,Práctica Dirigida 7,1:41:25,https://ca.bbcollab.com/recording/c70168d9a1e143fa869438d39c0c3dbf
Matemáticas III,B,2020-06-01,Clases M3B,1:42:40,https://ca.bbcollab.com/recording/52d09a121a144f26a21283d576f9678b
Matemáticas III,B,2020-06-03,Clases M3B,1:40:06,https://ca.bbcollab.com/recording/87ad6c37017d4fb0ab84b3520dc429e4
Matemáticas III,B,2020-06-06,Práctica Dirigida 7,1:52:59,https://ca.bbcollab.com/recording/1b63b0337f944309bc46c84681e4bd9d
Matemáticas III,B,2020-06-08,Clases M3B,1:41:43,https://ca.bbcollab.com/recording/ea3cc47476da4173a3ed6e448fa7bb54
Matemáticas III,B,2020-06-10,Clases M3B,1:41:35,https://ca.bbcollab.com/recording/785c3653301c4864bd7b9cf8e96b0c5a
Matemáticas III,B,2020-06-13,Dirigida 8,1:38:53,https://ca.bbcollab.com/recording/49c55dc4d9a14d2a93ac69fe00acd793
Matemáticas III,B,2020-06-15,Clases M3B,1:40:43,https://ca.bbcollab.com/recording/27966cfa827940ae80ecd8e24ff9fea7
Matemáticas III,B,2020-06-17,Clases M3B,1:39:44,https://ca.bbcollab.com/recording/b7068a516b5b4c93b86d459575cda2e1
Matemáticas III,B,2020-06-22,Clases M3B,1:38:28,https://ca.bbcollab.com/recording/5d5b470349014c3690175461d2fececf
Matemáticas III,B,2020-06-24,Clases M3B,1:40:54,https://ca.bbcollab.com/recording/66a82c96e2f0459190f5f67e01a5e62c
Matemáticas III,B,2020-06-27,Dirigida 10,1:40:00,https://ca.bbcollab.com/recording/3d43537e2c014470a83ef8c2b85f7b72
Matemáticas III,B,2020-07-01,Clases M3B,1:37:47,https://ca.bbcollab.com/recording/7a38e5b5156341d8b1469068fd39175d
Matemáticas III,B,2020-07-04,Dirigida 11,1:31:48,https://ca.bbcollab.com/recording/e1c0921ae3e142d6833c3eb82301dd6f
Matemáticas III,B,2020-07-06,Clases M3B,1:42:12,https://ca.bbcollab.com/recording/31d8c3ac603f432ab18bfc849f34ab52
Matemáticas III,B,2020-07-08,Clases M3B,1:40:35,https://ca.bbcollab.com/recording/c4cd7dcce4d840c5a06bdbd03cf0832c
Matemáticas III,B,2020-07-08,Clases M3B,1:40:35,https://ca.bbcollab.com/recording/c4cd7dcce4d840c5a06bdbd03cf0832c
Matemáticas III,B,2020-07-11,Dirigida 12,1:40:02,https://ca.bbcollab.com/recording/8bc32abdf3ab4a11b65acfbfffc9f7a5
Matemáticas III,B,2020-07-11,Dirigida 12,1:40:02,https://ca.bbcollab.com/recording/8bc32abdf3ab4a11b65acfbfffc9f7a5
