Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Matemáticas III,D,2020-03-30,Clase 01,1:32:16,https://ca.bbcollab.com/recording/c3679cb48d9d4b21850757298c9a7322
Matemáticas III,D,2020-03-30,Latex Crash Course,1:54:47,https://ca.bbcollab.com/recording/e1179cd8d26748e3a4af254b667ca195
Matemáticas III,D,2020-04-01,Clase 02,1:36:17,https://ca.bbcollab.com/recording/675edad7bd3c4cd4a5dc3a18162fbe4a
Matemáticas III,D,2020-04-04,Práctica dirigida 1,1:51:29,https://ca.bbcollab.com/recording/577a9f043dfe4138828dc6e984866578
Matemáticas III,D,2020-04-06,Clase 3,1:42:07,https://ca.bbcollab.com/recording/5f75977f4a3340f3a35907c912ed3666
Matemáticas III,D,2020-04-08,Clase 4,1:36:18,https://ca.bbcollab.com/recording/dd426b79443a4e838c8ae7fd717b96fd
Matemáticas III,D,2020-04-13,Clase 5,1:39:21,https://ca.bbcollab.com/recording/9f1dc820810f4dc8b0476f381c86f30e
Matemáticas III,D,2020-04-13,Práctica dirigida 2 (RECUPERACIÓN),1:50:41,https://ca.bbcollab.com/recording/90ecf5563c5b432f8b7afae8aefc7d46
Matemáticas III,D,2020-04-15,Clase 6,1:39:14,https://ca.bbcollab.com/recording/e4e038824fed449f82ad661af5b8f63a
Matemáticas III,D,2020-04-18,Práctica dirigida 3,2:02:23,https://ca.bbcollab.com/recording/29f8938df22d406daaa7e13e4da5a127
Matemáticas III,D,2020-04-20,Clase 07,1:33:55,https://ca.bbcollab.com/recording/3416be96fbd7482a88ea3f15ffa7de2c
Matemáticas III,D,2020-04-22,Clase 08,1:40:14,https://ca.bbcollab.com/recording/593b54a9aade43b7b8038955c4f815a0
Matemáticas III,D,2020-04-27,Clase 09,1:40:25,https://ca.bbcollab.com/recording/4066b7b4edd04c34afefd3eb0405fd96
Matemáticas III,D,2020-04-29,Clase 10,1:37:22,https://ca.bbcollab.com/recording/a5bae5aeda39422b884b3671b0dc4a67
