Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Matemáticas III,F,2020-03-31,Clase 1,1:30:41,https://ca.bbcollab.com/recording/c43bfd57177a4478a8e93703e569d240
Matemáticas III,F,2020-04-02,Clase 2,1:35:57,https://ca.bbcollab.com/recording/9d6d844dc31b47ea827177041a1e4265
Matemáticas III,F,2020-04-04,dirigida1,0:51:56,https://ca.bbcollab.com/recording/2c60c355ee624839ada9848af5557879
Matemáticas III,F,2020-04-04,dirigida1 recuperación,2:43:15,https://ca.bbcollab.com/recording/f03a3a3fb27246be9f1e850439fa032e
Matemáticas III,F,2020-04-07,Clase 3,1:49:22,https://ca.bbcollab.com/recording/c7f00c5091fe46e2891b1a5f72d34f01
Matemáticas III,F,2020-04-14,Clase 5,1:40:53,https://ca.bbcollab.com/recording/f6d187012b424e81a5c8d2163597b899
Matemáticas III,F,2020-04-16,clase 6,1:20:48,https://ca.bbcollab.com/recording/0c2a87e0b84542b88c316b5452762038
Matemáticas III,F,2020-04-18,pd3,2:03:25,https://ca.bbcollab.com/recording/58b9dcc576084011be4e401cf433f6e2
Matemáticas III,F,2020-04-21,Clase 7,1:36:51,https://ca.bbcollab.com/recording/51d905ebefe34cda9ac537241c099bf6
Matemáticas III,F,2020-04-23,asesoría para pc 1,2:16:55,https://ca.bbcollab.com/recording/375da32a6f4940488a5a07a87c90b9d7
Matemáticas III,F,2020-04-23,Clase 8,1:45:10,https://ca.bbcollab.com/recording/19dc0ce0f5c04cfdaae1014a80c8229f
Matemáticas III,F,2020-04-28,Clase 9,1:35:13,https://ca.bbcollab.com/recording/c4a2d2b2164747a09beecc090ca13703
Matemáticas III,F,2020-05-05,Clase 12,1:49:12,https://ca.bbcollab.com/recording/a09acde4ad414a558dddac565864273e
Matemáticas III,F,2020-05-07,Clase 12,1:47:34,https://ca.bbcollab.com/recording/4969698162e1481eb1476f55016a9e5a
Matemáticas III,F,2020-05-09,pd5,2:29:11,https://ca.bbcollab.com/recording/2adfa4fa6c8e474c9e60fce23af5f813
Matemáticas III,F,2020-05-12,Clase 13,1:45:06,https://ca.bbcollab.com/recording/81cfa20a905640d5a1db587441f8012a
Matemáticas III,F,2020-05-12,Clase 13,0:07:58,https://ca.bbcollab.com/recording/824bd8e177994924a5e7b5014b376059
Matemáticas III,F,2020-05-14,Clase 14,1:40:44,https://ca.bbcollab.com/recording/97fdea1c625b44e5a2ea22e869b875de
Matemáticas III,F,2020-05-16,pd6,2:08:31,https://ca.bbcollab.com/recording/a9cb79487aa34cd1af986cbea2eb404c
Matemáticas III,F,2020-05-26,Clase 15---->,1:35:48,https://ca.bbcollab.com/recording/bdee5610862d489da6ae2819f02bc89b
Matemáticas III,F,2020-05-28,Clase 15---->,1:46:49,https://ca.bbcollab.com/recording/497e40aea22c4e8a8ef458fa850bf6aa
Matemáticas III,F,2020-05-30,pd7,2:26:27,https://ca.bbcollab.com/recording/3d23b962c82040dab1aa103072cc2c27
Matemáticas III,F,2020-06-02,Clase 15---->,1:41:32,https://ca.bbcollab.com/recording/9f1310088e3b4056a0f4ef7bdff96336
Matemáticas III,F,2020-06-04,Clase 15---->,1:55:16,https://ca.bbcollab.com/recording/d9554c1a379e451d98fba5a16febf493
Matemáticas III,F,2020-06-06,Asesoría Junio,0:59:06,https://ca.bbcollab.com/recording/1fb6e0be698b49d7bedfd92b5a1cbec3
Matemáticas III,F,2020-06-06,pd8,2:12:32,https://ca.bbcollab.com/recording/297df6a8e40c41518ab3b0104db56619
Matemáticas III,F,2020-06-09,Clase 15---->,1:34:01,https://ca.bbcollab.com/recording/01d0a083bd474506acf0e58c5b8c119a
Matemáticas III,F,2020-06-11,Clase 15---->,1:42:15,https://ca.bbcollab.com/recording/123fb018dde84a36ad5e8793fb1a1f0f
Matemáticas III,F,2020-06-13,Asesoría,1:09:56,https://ca.bbcollab.com/recording/9631e66aefe748d4b49b497c767288d4
Matemáticas III,F,2020-06-13,pd9,2:25:37,https://ca.bbcollab.com/recording/d6d3ab06db7d462d8c6c7deef3b64b3a
Matemáticas III,F,2020-06-16,Clase 15---->,1:42:00,https://ca.bbcollab.com/recording/1afb2d85f32a435b9821564950fdd2b5
Matemáticas III,F,2020-06-18,Clase 15---->,1:36:31,https://ca.bbcollab.com/recording/a59fea47213147cc9cfe724bc392ccab
Matemáticas III,F,2020-06-18,asesoriaparapc2,2:07:40,https://ca.bbcollab.com/recording/2cd3d1e23cdf4fcb8544f6345051224c
Matemáticas III,F,2020-06-23,Clase 15---->,1:41:13,https://ca.bbcollab.com/recording/4bf41964e529469aad89afad0b6dd1a1
Matemáticas III,F,2020-06-25,Clase 15---->,1:46:40,https://ca.bbcollab.com/recording/fd0c18dfc66140eb87f2a575387cc94b
Matemáticas III,F,2020-06-27,pd10,2:07:53,https://ca.bbcollab.com/recording/016bce63c182432facf9973e8b228861
Matemáticas III,F,2020-06-30,Clase 15---->,1:39:10,https://ca.bbcollab.com/recording/0fa76e4a192c468681fb6ed9d90f0435
Matemáticas III,F,2020-07-02,Clase 15---->,1:39:24,https://ca.bbcollab.com/recording/64c5ac7e707b4777b8b3c2b55d532cfa
Matemáticas III,F,2020-07-04,pd11,1:55:02,https://ca.bbcollab.com/recording/0d5ffc996bba4338b3d17e26544a1c70
Matemáticas III,F,2020-07-07,Clase 15---->,1:34:51,https://ca.bbcollab.com/recording/514bfde785ee46dba725b527f246bbda
Matemáticas III,F,2020-07-09,Clase 15---->,1:54:02,https://ca.bbcollab.com/recording/9cf7c447b4b748c1ab308e66b14f4e60
Matemáticas III,F,2020-07-09,Clase 15---->,1:54:02,https://ca.bbcollab.com/recording/9cf7c447b4b748c1ab308e66b14f4e60
Matemáticas III,F,2020-07-11,pd12,1:44:08,https://ca.bbcollab.com/recording/c788c646c4484903b620144b5bd6d0c2
Matemáticas III,F,2020-07-11,pd12,1:44:08,https://ca.bbcollab.com/recording/c788c646c4484903b620144b5bd6d0c2
Matemáticas III,F,2020-07-11,Última asesoría,1:32:56,https://ca.bbcollab.com/recording/3378f3fa35b9414f95123822e85f255f
Matemáticas III,F,2020-07-11,Última asesoría,1:32:56,https://ca.bbcollab.com/recording/3378f3fa35b9414f95123822e85f255f
Matemáticas III,F,2020-07-14,Examen Final,1:59:03,https://ca.bbcollab.com/recording/e51a46fc015d46acbb266637eeee7337
