Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Matemáticas IV,C,2020-03-31,Clase 1,1:48:37,https://ca.bbcollab.com/recording/c7f237592391442eb809db7aff6d547f
Matemáticas IV,C,2020-04-02,Clase 2,2:03:33,https://ca.bbcollab.com/recording/351003690b8145c6832e116c82e54aa1
Matemáticas IV,C,2020-04-07,Clase 3,1:54:31,https://ca.bbcollab.com/recording/79fbfd2247224bb2a0b1239deaad89d1
Matemáticas IV,C,2020-04-09,Clase 4,2:01:51,https://ca.bbcollab.com/recording/43f5b8426c4b474a99618489cf8ee837
Matemáticas IV,C,2020-04-14,Clase 5,1:51:44,https://ca.bbcollab.com/recording/25486cd9d8d248aa9bf774f4a8469e53
Matemáticas IV,C,2020-04-16,Clase 6,1:59:41,https://ca.bbcollab.com/recording/6de7b8e547c3452e958c16f9c7383411
Matemáticas IV,C,2020-04-18,PD3,2:05:26,https://ca.bbcollab.com/recording/b3f425d7653a48eb8747578aab4de4a7
Matemáticas IV,C,2020-04-21,Clase 7,2:05:06,https://ca.bbcollab.com/recording/506a8494a43c4bce9280c418f3b26d60
Matemáticas IV,C,2020-04-23,Clase 8,1:56:40,https://ca.bbcollab.com/recording/cb43d4629f8a4543af8f7e0696a4f434
Matemáticas IV,C,2020-04-25,PD 4,0:58:23,https://ca.bbcollab.com/recording/403f1e1b40a440b79624f059d77ab985
Matemáticas IV,C,2020-04-28,Clase 9,2:00:59,https://ca.bbcollab.com/recording/28a541dc925a4a0695b988ae80bf09b5
Matemáticas IV,C,2020-04-30,Clase 10,1:48:11,https://ca.bbcollab.com/recording/9cadcc94fb364401a5dbeb49007cbe75
Matemáticas IV,C,2020-05-02,PD 5,2:04:33,https://ca.bbcollab.com/recording/604b7fb62a9847cca72ff65e0e39adbc
Matemáticas IV,C,2020-05-05,Clase 11,1:48:50,https://ca.bbcollab.com/recording/bcd41e63046b4492a505a8042acaa0d9
Matemáticas IV,C,2020-05-07,Clase 12,2:09:56,https://ca.bbcollab.com/recording/689fdfa2668e4806a9b3715e137fcb64
Matemáticas IV,C,2020-05-09,PC1,1:54:06,https://ca.bbcollab.com/recording/4db476ce61e148df9905eb24a1c69e4c
Matemáticas IV,C,2020-05-12,Clase 13,1:50:22,https://ca.bbcollab.com/recording/1acd1bae01b84e4691e453cea38a4e09
Matemáticas IV,C,2020-05-14,Clase 14,2:04:18,https://ca.bbcollab.com/recording/0d86d7cfcd8b4308a61ac60142d5b112
Matemáticas IV,C,2020-05-26,Clase 15,1:26:41,https://ca.bbcollab.com/recording/33f5a0d000574fe0a751e18b17e2f7cf
Matemáticas IV,C,2020-05-28,Clase 16,2:00:52,https://ca.bbcollab.com/recording/e1939303970a4c26a6fd6048e37aa1d9
Matemáticas IV,C,2020-06-02,Clase 17,1:55:24,https://ca.bbcollab.com/recording/f4912a3fa205401ea89e60b54b72a413
Matemáticas IV,C,2020-06-04,Clase 18,2:16:11,https://ca.bbcollab.com/recording/6b7e6094b80a4f388b4118c14656e29f
Matemáticas IV,C,2020-06-06,PD8,1:59:17,https://ca.bbcollab.com/recording/ddf4ca41013c4765a095c2deae4419e4
Matemáticas IV,C,2020-06-09,Clase 19,1:04:58,https://ca.bbcollab.com/recording/953f9325eb4841e293d928c5c2c726f0
Matemáticas IV,C,2020-06-11,Clase 20,2:31:25,https://ca.bbcollab.com/recording/e1dc10d525a646fc98a96668ab31a432
Matemáticas IV,C,2020-06-13,PD9,1:57:01,https://ca.bbcollab.com/recording/10eaa22c4b324c338da088e1b12d4428
Matemáticas IV,C,2020-06-16,Clase 21,1:56:53,https://ca.bbcollab.com/recording/e98bac5b15cc4b9c8031f4af00d26bfa
Matemáticas IV,C,2020-06-18,Clase 22,1:53:50,https://ca.bbcollab.com/recording/93ee99409bc14d8ab413f5c72c0e7535
Matemáticas IV,C,2020-06-20,PD10,1:58:24,https://ca.bbcollab.com/recording/f6bd8cbbce724a05ad9d82e57ce906ca
Matemáticas IV,C,2020-06-23,Clase 23,1:59:13,https://ca.bbcollab.com/recording/8b025609e63f4ffb9ce01b1c442640b5
Matemáticas IV,C,2020-06-25,Clase 24,1:56:54,https://ca.bbcollab.com/recording/ebb5d128a8d3416b9ab551dde7d46792
Matemáticas IV,C,2020-06-27,PD11,2:25:06,https://ca.bbcollab.com/recording/5338e1f48de742e79f6e1b2934743931
Matemáticas IV,C,2020-06-30,Clase 25,2:00:17,https://ca.bbcollab.com/recording/a3f56118650244afbe20a08855755412
Matemáticas IV,C,2020-07-02,Clase 26,1:52:19,https://ca.bbcollab.com/recording/119ce9cf6615407caddaea4c5a8964c4
Matemáticas IV,C,2020-07-07,Clase 27,2:01:23,https://ca.bbcollab.com/recording/e3960a44ec064a029dd9d2c605e084dd
Matemáticas IV,C,2020-07-09,Clase 28,2:14:49,https://ca.bbcollab.com/recording/9546ad87920c4d4bb94a936465d491b6
Matemáticas IV,C,2020-07-09,Clase 28,2:14:49,https://ca.bbcollab.com/recording/9546ad87920c4d4bb94a936465d491b6
Matemáticas IV,C,2020-07-11,PD12,2:02:54,https://ca.bbcollab.com/recording/41d729eb90834bd3a5fd21d2e3bfdd98
Matemáticas IV,C,2020-07-11,PD12,2:02:54,https://ca.bbcollab.com/recording/41d729eb90834bd3a5fd21d2e3bfdd98
