Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Matemáticas IV,D,2020-03-31,Clase 1,1:58:51,https://ca.bbcollab.com/recording/e5e95b41e1394774aa4f8568718fac14
Matemáticas IV,D,2020-04-02,Clase 2,2:08:01,https://ca.bbcollab.com/recording/70e0e4d357724bcca49aea98e107af65
Matemáticas IV,D,2020-04-04,PD 1,1:19:32,https://ca.bbcollab.com/recording/140e5db4017c4845900ea710152dcf9a
Matemáticas IV,D,2020-04-07,Clase 3,2:03:33,https://ca.bbcollab.com/recording/564f62c7e84f470f8d5b4c24761a374d
Matemáticas IV,D,2020-04-09,Clase 4,2:17:03,https://ca.bbcollab.com/recording/9e21c31e342848ceb90bea37b84a9ec0
Matemáticas IV,D,2020-04-11,PD 2,1:27:34,https://ca.bbcollab.com/recording/4d801ca163c54e33bf5369979ce2b024
Matemáticas IV,D,2020-04-14,Clase 5,1:55:45,https://ca.bbcollab.com/recording/12e5753412e541419d897d5e17ae9ac2
Matemáticas IV,D,2020-04-16,Clase 6,2:07:12,https://ca.bbcollab.com/recording/cbd5a5d546464dcfba37e1551165248a
Matemáticas IV,D,2020-04-21,Clase 7,2:11:31,https://ca.bbcollab.com/recording/43d301fbe838434dbd5c103e471e8ee1
Matemáticas IV,D,2020-04-23,Clase 8,2:10:09,https://ca.bbcollab.com/recording/927424bd636041a08493a5d23404d590
Matemáticas IV,D,2020-04-25,PD 4,1:55:11,https://ca.bbcollab.com/recording/ca6a4ec1a5874e7090c7c2ac31f41b40
Matemáticas IV,D,2020-04-28,Clase 9,2:20:37,https://ca.bbcollab.com/recording/42036cf5bb284159ba7263f230966cb4
Matemáticas IV,D,2020-04-30,Clase 10,2:32:17,https://ca.bbcollab.com/recording/08344bedf42d4d16a15009a6edcf0e09
Matemáticas IV,D,2020-05-02,PD 5,1:21:08,https://ca.bbcollab.com/recording/9e37f58d116546c1b91a51e4d6cf76d8
Matemáticas IV,D,2020-05-05,Clase 11,2:07:36,https://ca.bbcollab.com/recording/531d69af21474283a515a43e6b059460
Matemáticas IV,D,2020-05-07,Clase 12,2:15:33,https://ca.bbcollab.com/recording/99cf059cf5854c3599fa03145193f24a
Matemáticas IV,D,2020-05-12,Clase 13,2:12:43,https://ca.bbcollab.com/recording/30d1a3bf505c42f9bf5af918732af996
Matemáticas IV,D,2020-05-14,Clase 14,2:16:11,https://ca.bbcollab.com/recording/eb95064fe2924c0a9e9c514803daacb8
Matemáticas IV,D,2020-05-16,PD 6,1:19:49,https://ca.bbcollab.com/recording/51bd1514dfd7428d82785d1d7a4447a0
Matemáticas IV,D,2020-05-26,Clase 15,1:38:56,https://ca.bbcollab.com/recording/87348d56f5574649b044f3f7f1be2f0c
Matemáticas IV,D,2020-05-28,Clase 16,2:21:04,https://ca.bbcollab.com/recording/f32dd182b7de4f0ab2e3fe9482a8f40a
Matemáticas IV,D,2020-05-30,PD 7,1:45:28,https://ca.bbcollab.com/recording/337819696b6c47098b07c51208583721
Matemáticas IV,D,2020-06-02,Clase 17,2:04:31,https://ca.bbcollab.com/recording/d36979b4b8c74d4e942cf503b28c9a08
Matemáticas IV,D,2020-06-04,Clase 18,2:10:55,https://ca.bbcollab.com/recording/8e0fcb2f6bcc478f9ca25dd2528abc80
Matemáticas IV,D,2020-06-06,PD 8,1:49:06,https://ca.bbcollab.com/recording/eee17da6c53b4c5d985080b03780ef71
Matemáticas IV,D,2020-06-09,Clase 19,2:09:44,https://ca.bbcollab.com/recording/411abe68c97c4a11a7b388dc3d3bd2ce
Matemáticas IV,D,2020-06-11,Clase 20,2:32:43,https://ca.bbcollab.com/recording/d3d77da5812c41618cb090216b5da667
Matemáticas IV,D,2020-06-13,PD 9,2:01:34,https://ca.bbcollab.com/recording/dcdcb73121e048bf9114228d91002e70
Matemáticas IV,D,2020-06-16,Clase 21,2:04:31,https://ca.bbcollab.com/recording/cde4523cd3354dd586bf356e8a69373d
Matemáticas IV,D,2020-06-18,Clase 21,2:08:19,https://ca.bbcollab.com/recording/515c4dad8ff94321a2e4b698ece3d4f6
Matemáticas IV,D,2020-06-20,PD 10,1:19:55,https://ca.bbcollab.com/recording/f68dca48aa0e4a09bc1ee5cca888008e
Matemáticas IV,D,2020-06-23,Clase 23,2:41:27,https://ca.bbcollab.com/recording/2c105d4152dc41da9352a16ad9b653a0
Matemáticas IV,D,2020-06-25,Clase 24,1:58:52,https://ca.bbcollab.com/recording/719e1e1ad8d9403ea064de155cb1fcfa
Matemáticas IV,D,2020-06-27,PD 11,1:19:38,https://ca.bbcollab.com/recording/6f1d52c6ebc44dda95a7830d2bee5312
Matemáticas IV,D,2020-06-30,Clase 25,3:00:33,https://ca.bbcollab.com/recording/d5c4e6ad30db44a2a9928c9c93b07861
Matemáticas IV,D,2020-06-30,Clase 25,3:00:33,https://ca.bbcollab.com/recording/d5c4e6ad30db44a2a9928c9c93b07861
Matemáticas IV,D,2020-07-02,Clase 26,4:33:00,https://ca.bbcollab.com/recording/acf71db56d93426ab8528f23c1669627
Matemáticas IV,D,2020-07-02,Clase 26,4:33:00,https://ca.bbcollab.com/recording/acf71db56d93426ab8528f23c1669627
Matemáticas IV,D,2020-07-07,Clase 27,1:50:55,https://ca.bbcollab.com/recording/bca798b844054927a432f398245d8ed5
Matemáticas IV,D,2020-07-09,Clase 28,2:57:31,https://ca.bbcollab.com/recording/4e5557258de246f582359122f954407f
Matemáticas IV,D,2020-07-09,Clase 28,2:57:31,https://ca.bbcollab.com/recording/4e5557258de246f582359122f954407f
Matemáticas IV,D,2020-07-11,PD 12,0:15:00,https://ca.bbcollab.com/recording/a39b759b26ff45739b7413416ecb7eaa
Matemáticas IV,D,2020-07-11,PD 12,0:15:00,https://ca.bbcollab.com/recording/a39b759b26ff45739b7413416ecb7eaa
Matemáticas IV,D,2020-07-11,PD 12,1:43:54,https://ca.bbcollab.com/recording/b76bf1bc2457491e9b4fde391e7cbc60
Matemáticas IV,D,2020-07-11,PD 12,1:43:54,https://ca.bbcollab.com/recording/b76bf1bc2457491e9b4fde391e7cbc60
