Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Matemáticas para los Negocios,C,2020-03-30,matemática para los negocios,1:18:51,https://ca.bbcollab.com/recording/bedf5ad06b9945ac891630c4f3932c50
Matemáticas para los Negocios,C,2020-04-01,matemática para los negocios,1:39:35,https://ca.bbcollab.com/recording/99829412d41c468eb9f0b4b2652d1106
Matemáticas para los Negocios,C,2020-04-03,matemática para los negocios,1:37:27,https://ca.bbcollab.com/recording/82b2def16ed640fe83de06c7cb38c921
Matemáticas para los Negocios,C,2020-04-06,matemática para los negocios,1:23:04,https://ca.bbcollab.com/recording/a1d0d1c72aa84efbbee54652cbc7701a
Matemáticas para los Negocios,C,2020-04-08,matemática para los negocios,1:36:41,https://ca.bbcollab.com/recording/7f9c4e41d95f494387f9a339e793e352
Matemáticas para los Negocios,C,2020-04-10,matemática para los negocios,1:41:22,https://ca.bbcollab.com/recording/51be8865b02243a3bc732b60288c21d1
Matemáticas para los Negocios,C,2020-04-13,matemática para los negocios,1:31:04,https://ca.bbcollab.com/recording/00b29fa964ea4ff38cf4b00ff4d7bd8b
Matemáticas para los Negocios,C,2020-04-15,matemática para los negocios,1:31:15,https://ca.bbcollab.com/recording/4fdd0cd5c62f4d3f8cc702db51f4ae2b
Matemáticas para los Negocios,C,2020-04-17,matemática para los negocios,1:39:38,https://ca.bbcollab.com/recording/563da6bcfd7145639f6c6c9002b4fcae
Matemáticas para los Negocios,C,2020-04-20,matemática para los negocios,1:31:21,https://ca.bbcollab.com/recording/622bc1a64ca64c48a8269470946dba81
Matemáticas para los Negocios,C,2020-04-22,matemática para los negocios,1:31:16,https://ca.bbcollab.com/recording/ea34ca34fc4947bd97d82051e76686e1
Matemáticas para los Negocios,C,2020-04-27,matemática para los negocios,1:29:50,https://ca.bbcollab.com/recording/76607bdc154f4ba38af36e5e54d11ea0
Matemáticas para los Negocios,C,2020-04-29,matemática para los negocios,1:43:40,https://ca.bbcollab.com/recording/d6adee3deda04f0cb93fa1e531d4dc36
Matemáticas para los Negocios,C,2020-05-01,matemática para los negocios,1:47:38,https://ca.bbcollab.com/recording/9c5f2ad626fd4d3a931c0d96e8fe668d
Matemáticas para los Negocios,C,2020-05-04,matemática para los negocios,1:21:33,https://ca.bbcollab.com/recording/f8da314dd0bc458b8e379cf30f9846ec
Matemáticas para los Negocios,C,2020-05-06,matemática para los negocios,1:22:34,https://ca.bbcollab.com/recording/1f675e1f4fee41eb88fd9c51e4b1795c
Matemáticas para los Negocios,C,2020-05-08,matemática para los negocios,1:44:22,https://ca.bbcollab.com/recording/2e3e05592e2e48e8a8cf23b3fe53c688
