Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Matemáticas para los Negocios,D,2020-03-30,clase 1,0:00:04,https://ca.bbcollab.com/recording/1f3430df9fa14c7a9f59499a28ba1f65
Matemáticas para los Negocios,D,2020-03-30,clase 1,0:02:49,https://ca.bbcollab.com/recording/28a2a46e9756478f988b822660772f46
Matemáticas para los Negocios,D,2020-03-30,clase 1,1:37:15,https://ca.bbcollab.com/recording/345ad63e9ab244b6ae4205e8e44a5edd
Matemáticas para los Negocios,D,2020-04-01,clase 2,1:27:23,https://ca.bbcollab.com/recording/381f6a70ad944cb984f53ad84300df31
Matemáticas para los Negocios,D,2020-04-03,Dirigida 1,1:57:31,https://ca.bbcollab.com/recording/1fccae636c28416da694d2f9bcbbf052
Matemáticas para los Negocios,D,2020-04-06,clase3 (6 de abril),1:13:19,https://ca.bbcollab.com/recording/66e6f75ab84a4ad4b5514c1a432f1e3b
Matemáticas para los Negocios,D,2020-04-08,clase 4(8 de abril),1:17:39,https://ca.bbcollab.com/recording/bd08262df86f49d0afffd91d992393e3
Matemáticas para los Negocios,D,2020-04-10,PD 2,1:49:47,https://ca.bbcollab.com/recording/03d845138df444ce8aa9606f187be079
Matemáticas para los Negocios,D,2020-04-13,clase 5 (13 de abril),1:27:16,https://ca.bbcollab.com/recording/7a2d8c4b33e44806bbbebf79d24d7fd3
Matemáticas para los Negocios,D,2020-04-15,clase 6(15 de Abril),1:19:49,https://ca.bbcollab.com/recording/702e9528088d446bbf160f418b7a56a3
Matemáticas para los Negocios,D,2020-04-17,PD3,1:50:10,https://ca.bbcollab.com/recording/f06fe529960c4589aebdb87b2e85ade8
Matemáticas para los Negocios,D,2020-04-20,clase 7 (20 de abril),1:21:04,https://ca.bbcollab.com/recording/304856dd3c0645c8a2b9677fee8c4ff0
Matemáticas para los Negocios,D,2020-04-22,clase 8 (22de abril),1:13:26,https://ca.bbcollab.com/recording/9b52451eaa5c4c58b21172c37b3ab715
