Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Metricas de Gestión de Marketing,A,2020-03-30,Sesión 1 (30-03-2020) 18:30 p.m.,1:31:11,https://ca.bbcollab.com/recording/4e84c1c8b61341978b0098e51b705e30
Metricas de Gestión de Marketing,A,2020-04-01,Sesión 2 (01-04-2020) 18:30,0:01:30,https://ca.bbcollab.com/recording/06ec764058da4323a5ffdd9c8ffbf9c2
Metricas de Gestión de Marketing,A,2020-04-01,Sesión 2 (01-04-2020) 18:30,0:14:20,https://ca.bbcollab.com/recording/56d8dc41282e4968b8ffc3690b77db7a
Metricas de Gestión de Marketing,A,2020-04-01,Sesión 2 (01-04-2020) 18:30,0:17:03,https://ca.bbcollab.com/recording/f362fe3b2a5641e597d957cbd3673768
Metricas de Gestión de Marketing,A,2020-04-06,Sesión 3 - lunes 6 6:30,1:43:33,https://ca.bbcollab.com/recording/a300e04c2d1445af892ea166d222d4c8
Metricas de Gestión de Marketing,A,2020-04-08,Sesión 4 - miercoles 8 6:30pm,0:23:22,https://ca.bbcollab.com/recording/8713f251c6fa46cea778c27103a1d33e
Metricas de Gestión de Marketing,A,2020-04-08,Sesión 4 - miercoles 8 6:30pm,0:44:29,https://ca.bbcollab.com/recording/ab73388f66804f74aa9ae3715bd6ed51
Metricas de Gestión de Marketing,A,2020-04-13,"Sesión 5 - lunes 13, 6:30pm",0:34:12,https://ca.bbcollab.com/recording/bb1093897b904a1991415e2e83e353b5
Metricas de Gestión de Marketing,A,2020-04-13,"Sesión 5 - lunes 13, 6:30pm",0:34:30,https://ca.bbcollab.com/recording/f276c2a9386543cc8e03039d35bd20f5
Metricas de Gestión de Marketing,A,2020-04-15,"Sesión 6 - miércoles 15, 6:30pm",1:41:14,https://ca.bbcollab.com/recording/47f27e3f8f1b45b1adc584cfd9e34d68
Metricas de Gestión de Marketing,A,2020-04-20,"Sesión 7 - lunes 20, 6:30pm",1:59:03,https://ca.bbcollab.com/recording/a1e734eaef2b4dd5a07c864042b567b7
Metricas de Gestión de Marketing,A,2020-04-22,"Sesión 8 - miércoles 22, 6:30pm",1:55:40,https://ca.bbcollab.com/recording/f3a7c8ff3efd44f8ac77b4c5d259997e
Metricas de Gestión de Marketing,A,2020-04-27,"Sesión 9 - lunes 27, 6:30pm",0:34:25,https://ca.bbcollab.com/recording/8094213c7e9144cf83fc1a423c9a036b
Metricas de Gestión de Marketing,A,2020-04-27,"Sesión 9 - lunes 27, 6:30pm",0:22:15,https://ca.bbcollab.com/recording/c54295f352114cfdb11be4df59aaa74b
Metricas de Gestión de Marketing,A,2020-04-29,Sesion 29/abr 630pm,1:46:00,https://ca.bbcollab.com/recording/69528cc63f4a4be6827bfc6f47898173
Metricas de Gestión de Marketing,A,2020-05-04,"Sesión 11 - lunes 4, 6:30pm",1:46:05,https://ca.bbcollab.com/recording/6b7a05664b40445eb386fda7333b8fed
Metricas de Gestión de Marketing,A,2020-05-06,"Sesión 12: miércoles 6, 6:30pm",0:19:27,https://ca.bbcollab.com/recording/8e1f9d14fd7b42d78b45a301bf7e1dd9
Metricas de Gestión de Marketing,A,2020-05-06,"Sesión 12: miércoles 6, 6:30pm",0:16:13,https://ca.bbcollab.com/recording/c8d2ffadee2c42e3af7312353e20f7b5
Metricas de Gestión de Marketing,A,2020-05-11,"Sesión 13: lunes 11, 6:30pm",1:36:57,https://ca.bbcollab.com/recording/8f33a4e456c24c9199c615f892267723
Metricas de Gestión de Marketing,A,2020-05-13,"Sesión 14: miércoles 13, 6:30pm",0:37:10,https://ca.bbcollab.com/recording/7631af375d764a208d7c205fe28ff5d7
Metricas de Gestión de Marketing,A,2020-05-13,"Sesión 14: miércoles 13, 6:30pm",0:03:05,https://ca.bbcollab.com/recording/f112fd0ddedd410abb3bc4e0af5245a2
Metricas de Gestión de Marketing,A,2020-05-25,"Clase 15: lunes 25, 6:30pm",0:20:27,https://ca.bbcollab.com/recording/29c6345e4b964985b4d9c38f2802032f
Metricas de Gestión de Marketing,A,2020-05-25,"Clase 15: lunes 25, 6:30pm",1:09:53,https://ca.bbcollab.com/recording/b146e4711c064606be63d604bb23119d
Metricas de Gestión de Marketing,A,2020-05-27,"Clase 16: miércoles 27, 6:30pm",0:06:29,https://ca.bbcollab.com/recording/ac6e282ea0974b288fe25234de9f3e95
Metricas de Gestión de Marketing,A,2020-05-27,"Clase 16: miércoles 27, 6:30pm",0:27:44,https://ca.bbcollab.com/recording/cc63c121176f419e88add8f1fa050d83
Metricas de Gestión de Marketing,A,2020-06-01,"Clase 17: lunes 1, 6:30pm",0:46:17,https://ca.bbcollab.com/recording/560ed5ef16194a499ac347f673fc20aa
Metricas de Gestión de Marketing,A,2020-06-01,"Clase 17: lunes 1, 6:30pm",0:36:09,https://ca.bbcollab.com/recording/c6ddcedb345e46bc92a624368899d403
Metricas de Gestión de Marketing,A,2020-06-03,"Clase 18: miércoles 3, 6:30pm",0:03:23,https://ca.bbcollab.com/recording/55ac3946224d4027928f23014046419d
