Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Microeconomía Financiera,A,2020-03-30,Sesión 1,1:42:41,https://ca.bbcollab.com/recording/8b8717406d21443cb78dc2bd31bd2825
Microeconomía Financiera,A,2020-03-31,Sesión 2,1:55:11,https://ca.bbcollab.com/recording/cf6d8a50c74e46938c0fb37cd5aaec7d
Microeconomía Financiera,A,2020-04-03,Práctica Dirigida 1,1:11:50,https://ca.bbcollab.com/recording/03ebb59a215144858a4b2ac461d1ffed
Microeconomía Financiera,A,2020-04-03,Práctica Dirigida 1,0:51:12,https://ca.bbcollab.com/recording/8bc6d49d2a0a4ae4a7a3e05499d524d9
Microeconomía Financiera,A,2020-04-06,Sesión 3,1:55:14,https://ca.bbcollab.com/recording/50c286a7296e4bf3894fa25a5679d7bf
Microeconomía Financiera,A,2020-04-07,Sesión 4,1:14:40,https://ca.bbcollab.com/recording/952677972240436c9177bcdb3fe34509
Microeconomía Financiera,A,2020-04-10,Práctica Dirigida 2,2:02:02,https://ca.bbcollab.com/recording/cd8c54b893e640fa977020fc6d759b04
Microeconomía Financiera,A,2020-04-13,Sesión 5,1:50:05,https://ca.bbcollab.com/recording/6137439bf8514a34b506e45731037c8d
Microeconomía Financiera,A,2020-04-14,Sesión 6,1:39:25,https://ca.bbcollab.com/recording/27def77688634f0cbed42e3ee0a9e38c
Microeconomía Financiera,A,2020-04-17,Práctica Dirigida 3,1:55:29,https://ca.bbcollab.com/recording/d9319025d1c14d7da9bad4dd9cae2a5c
Microeconomía Financiera,A,2020-04-20,Sesión 7,1:47:59,https://ca.bbcollab.com/recording/5ecae127c0934abe85ee22a3b7fd63e4
Microeconomía Financiera,A,2020-04-21,Sesión 8,1:41:26,https://ca.bbcollab.com/recording/f9b98fe5919745f9bcc0111d0a054fe2
Microeconomía Financiera,A,2020-04-24,Práctica Calificada 1,2:39:29,https://ca.bbcollab.com/recording/bf0e78d1f9e34c84b3e78d146989cfde
Microeconomía Financiera,A,2020-04-27,Sesión 9,1:37:21,https://ca.bbcollab.com/recording/257bb1488ce44726a75a9cb7396be9a1
Microeconomía Financiera,A,2020-04-28,Sesión 10,1:49:04,https://ca.bbcollab.com/recording/566af373dc1545ca8adc92da8af1ff9b
Microeconomía Financiera,A,2020-05-01,Práctica Dirigida 4,1:58:33,https://ca.bbcollab.com/recording/a79fc7ea299b4c56adb6bbca3ae69d82
Microeconomía Financiera,A,2020-05-04,Sesión 11,1:55:25,https://ca.bbcollab.com/recording/df29be34b2f449c69b7b19dd0e4e45bd
Microeconomía Financiera,A,2020-05-05,Sesión 12,1:51:20,https://ca.bbcollab.com/recording/d0fe578495fe4519a09f5d9b98635ce4
Microeconomía Financiera,A,2020-05-08,Práctica Dirigida 5,1:49:17,https://ca.bbcollab.com/recording/5491d915ddda4cbf9beeb827a7f7d062
Microeconomía Financiera,A,2020-05-11,Sesión 13,1:36:58,https://ca.bbcollab.com/recording/e814a0125b414f3886e6ccb3ccef4f96
Microeconomía Financiera,A,2020-05-12,Sesión 14,1:47:47,https://ca.bbcollab.com/recording/9691785efb43443e9f3d854ef60850cd
Microeconomía Financiera,A,2020-05-15,Práctica Calificada 2,2:25:03,https://ca.bbcollab.com/recording/29ad8f81e39b4c588380a6c40cbe4a98
