Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Microeconomía I,A,2020-03-30,Clase 1,1:58:31,https://ca.bbcollab.com/recording/b17e820c86ea4e34a54489959a8481da
Microeconomía I,A,2020-04-01,Clase 2,1:47:23,https://ca.bbcollab.com/recording/d88bc2272b8e4be69a7edb180169bd70
Microeconomía I,A,2020-04-03,Primera PD 03/04 1:30 - 3:30 pm,1:47:04,https://ca.bbcollab.com/recording/b9818632fa9a4661a91b4a51c929748e
Microeconomía I,A,2020-04-06,Clase 3: RP y Maximización de la utilidad,1:48:24,https://ca.bbcollab.com/recording/6ba8098ae7714b42960898fbef730040
Microeconomía I,A,2020-04-08,Clase 4: Maximización de la utilidad,1:47:41,https://ca.bbcollab.com/recording/62ae13f53df64a75875619a01e4b8c5a
Microeconomía I,A,2020-04-10,PD2 10/04 1:30 - 3:30 pm,1:31:27,https://ca.bbcollab.com/recording/9a32e8f545c947f5aff6559a64fa39b1
Microeconomía I,A,2020-04-13,Clase 5: Efecto Ingreso y Efecto Sustitución,1:47:20,https://ca.bbcollab.com/recording/d888b6b535c145919f352f7ef9d36a5f
Microeconomía I,A,2020-04-15,Clase 6: Efecto Ingreso y Efecto sustitución,1:47:00,https://ca.bbcollab.com/recording/997217a73eb2437bbe5409931df97ea7
Microeconomía I,A,2020-04-17,PD3 17/04 1:30-3:30 pm,1:49:20,https://ca.bbcollab.com/recording/c49597ec2a1c4af0ba0cc0b3f52fc8b2
Microeconomía I,A,2020-04-17,PD3 17/04 1:30-3:30 pm,0:00:05,https://ca.bbcollab.com/recording/c53d87ef99d245e982e08c638f06d8dd
Microeconomía I,A,2020-04-20,Clase 7. Dualidad,1:44:26,https://ca.bbcollab.com/recording/ac62229fb00c451e8ef2b20d63d65f80
Microeconomía I,A,2020-04-22,Clase 8: Dualidad (continuación),1:49:40,https://ca.bbcollab.com/recording/6b2ca38739b7478fafd12af05eb6724a
Microeconomía I,A,2020-04-27,Clase 9,1:43:43,https://ca.bbcollab.com/recording/5065ce23351d4a7eb508860935a389a4
Microeconomía I,A,2020-04-29,Clase 10: Elasticidades (continuación),1:47:47,https://ca.bbcollab.com/recording/d1a51443668f4aef8561f6c60afa02ef
Microeconomía I,A,2020-05-02,PD4 02/05 3:30 - 5:30 pm,1:28:22,https://ca.bbcollab.com/recording/0a06ca647080465e9d0e5b37032c2815
Microeconomía I,A,2020-05-04,Clase 11: Medidas de Bienestar,1:42:40,https://ca.bbcollab.com/recording/d55d7855ee1345faa43620ed40ff6280
Microeconomía I,A,2020-05-06,Clase 12: Medidas de bienestar (continuación),1:47:16,https://ca.bbcollab.com/recording/9be551a6430c4451a86d8cc133d9ffd0
Microeconomía I,A,2020-05-08,PD5 08/05 1:30 - 3:30 pm,1:40:28,https://ca.bbcollab.com/recording/e9537cc5fa584a30b55f0a996f99b517
Microeconomía I,A,2020-05-11,Clase 13: Medidas de Bienestar (continuación) y ejercicios,1:43:29,https://ca.bbcollab.com/recording/90020bdd7793498d9c9cb709748dd262
Microeconomía I,A,2020-05-13,Clase 14: Función de Producción,1:49:26,https://ca.bbcollab.com/recording/0c12e97424184a3cbd2ba664e1435b38
Microeconomía I,A,2020-05-25,Clase 17: Función de Producción (cont),1:48:56,https://ca.bbcollab.com/recording/a245de5fa63747d48ef26a059ee5a457
Microeconomía I,A,2020-05-27,Clase 18: Fn. de Producción (cont) y Costos (Parte 1),1:47:22,https://ca.bbcollab.com/recording/9914cf5e49f24beb8404eeba566ec63a
Microeconomía I,A,2020-05-29,PD6 29/05,1:43:23,https://ca.bbcollab.com/recording/c252912dae5a4a0e8b068d22fecaa96e
Microeconomía I,A,2020-06-01,Horario de atención: 01.06.2020,1:26:10,https://ca.bbcollab.com/recording/4366a887287e46d1973b9d9a2bc14a86
Microeconomía I,A,2020-06-01,Clase 19: Costos de Producción,1:51:28,https://ca.bbcollab.com/recording/eaabad4d7092484ea5696b9569d03fcb
Microeconomía I,A,2020-06-03,Clase 20: Costos (continuación),1:59:14,https://ca.bbcollab.com/recording/fcad207e03a74457bf6e9e7305c8ecd2
Microeconomía I,A,2020-06-05,PD7 05/06,1:48:25,https://ca.bbcollab.com/recording/2f3a26945aef405db9d89d3caa12724a
Microeconomía I,A,2020-06-08,Clase 21: Maximización (cont) y Teoría del Equilibrio Competitivo,1:45:03,https://ca.bbcollab.com/recording/ccebcdd3e2dc4081a3dc02d212a715cb
Microeconomía I,A,2020-06-10,Clase 22. Teoría del Equilibrio Competitivo (cont).,1:48:07,https://ca.bbcollab.com/recording/fe975a3a8bd64699ba5081d1ee01938a
Microeconomía I,A,2020-06-12,PD8,1:58:56,https://ca.bbcollab.com/recording/398a7af2217044ef9c36ebcaa5c12259
Microeconomía I,A,2020-06-15,Clase 23: Teoría Equilibrio Competitivo (cont) y Mercados Imperfectos,1:33:06,https://ca.bbcollab.com/recording/8477f79361d74784a42c6112228d2cca
Microeconomía I,A,2020-06-17,Clase 24: Mercados Imperfectos (cont).,1:38:43,https://ca.bbcollab.com/recording/d22981ed06494170ba867784ef7ca905
Microeconomía I,A,2020-06-22,Clase 25: Mercados Imperfectos - Monopolio (continuación),1:28:14,https://ca.bbcollab.com/recording/917e59700206474784181274d7d10813
Microeconomía I,A,2020-06-24,Clase 26: Mercados Imperfectos (cont).,1:42:26,https://ca.bbcollab.com/recording/3df39eade10a4cb0b28e36957c7ee940
Microeconomía I,A,2020-06-26,PD9 26/06,1:47:31,https://ca.bbcollab.com/recording/6c742218039a455b8044778e9a86efa9
Microeconomía I,A,2020-07-01,Clase 8: Intervención del Estado (cont),1:43:28,https://ca.bbcollab.com/recording/ac581909de4e453d87df8660d976233f
Microeconomía I,A,2020-07-06,Clase 29: Economía Abierta,1:39:30,https://ca.bbcollab.com/recording/d6575b8e1e3b4859a165cb67ec3fefd0
Microeconomía I,A,2020-07-08,Clase 30: Economía Abierta (cont),1:46:58,https://ca.bbcollab.com/recording/c609aa99a74f407bbf18e95f1f4028fc
Microeconomía I,A,2020-07-08,Clase 30: Economía Abierta (cont),1:46:58,https://ca.bbcollab.com/recording/c609aa99a74f407bbf18e95f1f4028fc
Microeconomía I,A,2020-07-10,PD10,1:53:31,https://ca.bbcollab.com/recording/b759a2ca54154f6dba2cbad8ecbd83a9
Microeconomía I,A,2020-07-10,PD10,1:53:31,https://ca.bbcollab.com/recording/b759a2ca54154f6dba2cbad8ecbd83a9
