Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Microeconomía I,B,2020-03-30,Clase 1,1:57:38,https://ca.bbcollab.com/recording/6245082620a34f3eafa2734747fc74da
Microeconomía I,B,2020-04-01,Clase 2: Abril 01.04,1:49:19,https://ca.bbcollab.com/recording/2d33414570eb4dda99ddb56abaa4bdd6
Microeconomía I,B,2020-04-03,PD 1,1:40:08,https://ca.bbcollab.com/recording/a0d81a67ab994229a852f1f707049748
Microeconomía I,B,2020-04-06,Clase 3,1:46:42,https://ca.bbcollab.com/recording/c3a6e2f641e04047803d9802ef47f5cf
Microeconomía I,B,2020-04-08,Clase 4: Maximización de la Utilidad,1:53:28,https://ca.bbcollab.com/recording/c451e78b852e480a8739dfe80c14e24a
Microeconomía I,B,2020-04-10,Práctica Dirigida 2 - Teoría del Consumidor: maximización de utilidad,1:54:20,https://ca.bbcollab.com/recording/df452171c92c40cbbde11fde6b882baa
Microeconomía I,B,2020-04-13,Clase 5: Efecto Sustitución y Efecto Ingreso,1:51:39,https://ca.bbcollab.com/recording/de5bff02bf124ad5bdc59cdd76606e52
Microeconomía I,B,2020-04-15,Clase 6: Efecto Ingreso y Efecto Sustitución,2:07:50,https://ca.bbcollab.com/recording/3aa116315ce84f72977cb71dbda0490d
Microeconomía I,B,2020-04-17,Práctica Dirigida 3 - Efecto ingreso y efecto sustitución,1:39:56,https://ca.bbcollab.com/recording/3e7141bd38c449b3a032bd4226060d14
Microeconomía I,B,2020-04-20,Clase 7. La Dualidad,1:46:40,https://ca.bbcollab.com/recording/c5fd7afad5804f2184ffa476371898a5
Microeconomía I,B,2020-04-22,Clase 8: Dualidad (continuación),1:42:34,https://ca.bbcollab.com/recording/0198d5f707e2469aaafc6da27e69be45
Microeconomía I,B,2020-04-27,Clase 9: Elasticidades,1:41:05,https://ca.bbcollab.com/recording/43a8ca5714014c359339f13504832e2e
Microeconomía I,B,2020-04-29,Clase 10: Elasticidades (continuación),1:44:30,https://ca.bbcollab.com/recording/90c41420f41b4a0d94253fdeeea3d738
Microeconomía I,B,2020-05-01,"Práctica Dirigida 4 - Minimización del gasto, dualidad y elasticidades de demanda",1:45:53,https://ca.bbcollab.com/recording/04462b4d5cb14a43beb3224a312c8869
Microeconomía I,B,2020-05-04,Clase 11: Medidas de bienestar,1:51:09,https://ca.bbcollab.com/recording/838664528a91422c98ed9e9070c92d54
Microeconomía I,B,2020-05-06,Clase 12: Medidas de bienestar (continuación),1:47:50,https://ca.bbcollab.com/recording/b079503133f24805a2046070ce0f3cc1
