Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Microeconomía I,C,2020-03-30,Clase 30/03,1:38:16,https://ca.bbcollab.com/recording/0bdaab39e3464beebcaf6603eeea04ec
Microeconomía I,C,2020-04-01,Clase 01/04,1:23:45,https://ca.bbcollab.com/recording/206f33f8f072402fb2b6ab08d7597a44
Microeconomía I,C,2020-04-03,PD1,1:57:57,https://ca.bbcollab.com/recording/3699a26cf4434809a114afe4c6d8a56b
Microeconomía I,C,2020-04-06,Clase 06/04,0:50:31,https://ca.bbcollab.com/recording/7d1693bb3acc4941a080ee3a7e386382
Microeconomía I,C,2020-04-08,Clase 08/04,1:40:55,https://ca.bbcollab.com/recording/5a795e63e27c4e44a4362db44579769d
Microeconomía I,C,2020-04-10,PD2,1:54:07,https://ca.bbcollab.com/recording/b32cce6601fe4a7cbf04e94ba0864f31
Microeconomía I,C,2020-04-13,Clase 13/04,1:37:37,https://ca.bbcollab.com/recording/e64bd7d2ba644597a889f0eaa0690d99
Microeconomía I,C,2020-04-15,Clase 15/04,1:34:41,https://ca.bbcollab.com/recording/14b78f965c704e1d9d719b78155fc2ef
Microeconomía I,C,2020-04-17,Dirigida,2:12:53,https://ca.bbcollab.com/recording/e786b5812c8c4536b9ed3e4a2c4d97d8
Microeconomía I,C,2020-04-20,Clase 20/04,1:42:08,https://ca.bbcollab.com/recording/0db6376579214b90a088bb303eb9c954
Microeconomía I,C,2020-04-22,Clase 22/04,1:34:08,https://ca.bbcollab.com/recording/23f70cfba0264c7ea8c47578f6a878ad
Microeconomía I,C,2020-04-27,Clase 27/04,1:23:11,https://ca.bbcollab.com/recording/abb9e78134244a798a56255a292e7151
Microeconomía I,C,2020-04-29,Clase 29/04,0:42:57,https://ca.bbcollab.com/recording/0f6bf983a5894a3bb3ba1a89315830f1
Microeconomía I,C,2020-05-01,Dirigida,2:00:04,https://ca.bbcollab.com/recording/37f6ba81224a4f20bc400289da251594
Microeconomía I,C,2020-05-04,Clase 04/05,1:29:27,https://ca.bbcollab.com/recording/dd0fc496dc5e4a25bc2393f1a25b756f
Microeconomía I,C,2020-05-06,Clase 06/05,1:12:02,https://ca.bbcollab.com/recording/35739af1222842ca8a585510c5e1ea57
Microeconomía I,C,2020-05-08,Dirigida,1:51:32,https://ca.bbcollab.com/recording/2cb7c6a188104a0cb7789e4cdd93d625
Microeconomía I,C,2020-05-11,Clase 11/05,1:13:21,https://ca.bbcollab.com/recording/300031baffb04c04b49fef4242ae4de1
Microeconomía I,C,2020-05-13,Asesoría,1:49:51,https://ca.bbcollab.com/recording/8938268e773548aa84ebc0861aaf17b2
Microeconomía I,C,2020-05-25,Clase 25/05,1:07:44,https://ca.bbcollab.com/recording/aa76549fd5db40d28e8f980c6c8c780a
Microeconomía I,C,2020-05-27,Clase 27/05,1:34:46,https://ca.bbcollab.com/recording/27eeb2b9f4a14ac994e2c2fbdf019c62
Microeconomía I,C,2020-05-29,Dirigida,0:15:00,https://ca.bbcollab.com/recording/2a6c941ce33d4f55b61f5e2427a2a7e8
Microeconomía I,C,2020-05-29,Dirigida,1:54:49,https://ca.bbcollab.com/recording/8c9e60fb754e4f11b11de2354e853f5b
Microeconomía I,C,2020-06-01,Clase 01/06,1:26:33,https://ca.bbcollab.com/recording/24b96a9dc3ef4b40a484478713ef400b
Microeconomía I,C,2020-06-03,Clase 03/06,1:33:18,https://ca.bbcollab.com/recording/710a11d0ac4c4a709c238f63203999fc
Microeconomía I,C,2020-06-05,Dirigida,2:01:48,https://ca.bbcollab.com/recording/cfd8e0be8c09449ea77c1607a7249687
Microeconomía I,C,2020-06-08,Examen de rezagados,1:57:12,https://ca.bbcollab.com/recording/c6f1867c625946d0b95a29be20d986a1
Microeconomía I,C,2020-06-10,Clase 10/06,1:24:14,https://ca.bbcollab.com/recording/9cfaa6770e914fb5b1590600a85d1fd3
Microeconomía I,C,2020-06-12,Clase de recuperación 12/06,1:05:44,https://ca.bbcollab.com/recording/984275cd7a31499c856a119ca1c1a89e
