Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Microeconomía I,E,2020-03-30,Clases sección D,0:43:41,https://ca.bbcollab.com/recording/ef304247815d473087f15ae74a95cbf8
Microeconomía I,E,2020-03-30,Clases sección E,0:50:01,https://ca.bbcollab.com/recording/aee1ae41db0e472895e4f81a4c807947
Microeconomía I,E,2020-04-01,Clases sección D,1:20:17,https://ca.bbcollab.com/recording/d6e3d59844ef4a6fadd53320f2406662
Microeconomía I,E,2020-04-01,Clases sección E,1:15:27,https://ca.bbcollab.com/recording/53daf5fd73cb488f905737ba6efc6576
Microeconomía I,E,2020-04-03,PD1,1:45:30,https://ca.bbcollab.com/recording/bcc4ce1d48a74b3f993658ff0bb2ea9e
Microeconomía I,E,2020-04-06,Clases sección D,1:28:16,https://ca.bbcollab.com/recording/b6fe0088745949c19460fda08dd40a22
Microeconomía I,E,2020-04-06,Clases sección E,1:20:03,https://ca.bbcollab.com/recording/eb00e94d6f234a15ba03b167cc2cf53f
Microeconomía I,E,2020-04-08,Clases sección D,1:46:21,https://ca.bbcollab.com/recording/6483c7bbacac41649fa865150720ffe2
Microeconomía I,E,2020-04-08,Clases sección E,1:42:27,https://ca.bbcollab.com/recording/2bc47871be41443aaecb17552c506c8b
Microeconomía I,E,2020-04-10,PD2,1:53:32,https://ca.bbcollab.com/recording/cc8546245bd5472f825433b6bbefb54b
Microeconomía I,E,2020-04-13,Clases sección D,1:43:37,https://ca.bbcollab.com/recording/5687235767c94f3f860aa786090bcf8e
Microeconomía I,E,2020-04-13,Clases sección E,1:39:52,https://ca.bbcollab.com/recording/7f67f3dca9944b57a69fb35339df114a
Microeconomía I,E,2020-04-15,Clases sección D,1:43:23,https://ca.bbcollab.com/recording/88224555866a44448cfe0489edd63d89
Microeconomía I,E,2020-04-15,Clases sección E,1:43:27,https://ca.bbcollab.com/recording/3a05f914397448a48e0a5e528c20681d
Microeconomía I,E,2020-04-17,PD3,1:49:48,https://ca.bbcollab.com/recording/5c4ec3e405ff410da55a3f2b3d5787e4
