Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Microeconomía II,A,2020-03-30,Clase-1,1:32:28,https://ca.bbcollab.com/recording/68d9d7eb0cb546fc85039c1be9cb9a16
Microeconomía II,A,2020-04-01,Clase-2,1:49:01,https://ca.bbcollab.com/recording/790d9adaa7c84c1cae6c137c72b5353f
Microeconomía II,A,2020-04-06,Clase-3,1:57:15,https://ca.bbcollab.com/recording/86b41f58b0114cdeb28467fcf4ef3975
Microeconomía II,A,2020-04-08,Sesión-4,1:32:55,https://ca.bbcollab.com/recording/7f7058033b574f16883f2408e4e7adcc
Microeconomía II,A,2020-04-13,Clase-5,1:46:25,https://ca.bbcollab.com/recording/92a9cb73bbfd4e71bc24151b5d5f5843
Microeconomía II,A,2020-04-15,Sesión-6,1:41:54,https://ca.bbcollab.com/recording/1d27ea76283944e2ad58fe386ad3f120
Microeconomía II,A,2020-04-20,Sesión-7,1:46:45,https://ca.bbcollab.com/recording/3c3bed84b7154f0b87e26c17bb3f7fde
Microeconomía II,A,2020-04-22,Sesión-8,1:51:09,https://ca.bbcollab.com/recording/d199f24b35fc41b28205730b14d2e3f5
Microeconomía II,A,2020-04-27,Sesión-9,1:50:32,https://ca.bbcollab.com/recording/9553275ea288443c853a71dddd8c2af3
Microeconomía II,A,2020-04-29,Sesión-10,1:26:40,https://ca.bbcollab.com/recording/e08f435cb046455cad5c3ffbc9c0cd9b
Microeconomía II,A,2020-04-30,PC1 - preguntas sobre la parte para la Casa,1:43:36,https://ca.bbcollab.com/recording/d6a8e72400ec4ab1b1ab2c3f6a05a8d3
Microeconomía II,A,2020-05-04,Sesión-11,1:38:11,https://ca.bbcollab.com/recording/fb7097b7e8fb49d7b7014bb24213e0c1
Microeconomía II,A,2020-05-06,Sesion-12,1:47:53,https://ca.bbcollab.com/recording/b53c74ba02b74de1aa2fe2b59bf04335
Microeconomía II,A,2020-05-07,PD05,1:49:09,https://ca.bbcollab.com/recording/77e7b35eff5e4815bbd35c6c3c94031b
Microeconomía II,A,2020-05-11,Sesión-13,1:47:16,https://ca.bbcollab.com/recording/dbb304ac7c734b638a69018314dfbb7a
Microeconomía II,A,2020-05-13,Sesion-14,1:14:29,https://ca.bbcollab.com/recording/a2bbf644b24a4828aad8c6e526a76668
Microeconomía II,A,2020-05-14,PD06,1:40:35,https://ca.bbcollab.com/recording/a69b15a9614b4953b1f14ce454a97cdc
Microeconomía II,A,2020-05-25,Sesion-15,1:45:08,https://ca.bbcollab.com/recording/6a569d6ccdfe40bd934e03cdd74ac6f5
Microeconomía II,A,2020-05-27,Sesion-16,1:36:45,https://ca.bbcollab.com/recording/126de65be9254e6faa0a44d5a930caf2
Microeconomía II,A,2020-06-01,Sesion-17,1:36:00,https://ca.bbcollab.com/recording/2eb869114c19420ea87c8c0ba97f0abf
Microeconomía II,A,2020-06-03,Sesion-18,1:54:18,https://ca.bbcollab.com/recording/28d4ce103d104af98be494710a909579
Microeconomía II,A,2020-06-08,Sesion-19,1:49:39,https://ca.bbcollab.com/recording/c6c88ccfab344c01a3f9a899d24472e4
Microeconomía II,A,2020-06-10,Sesion-20,1:44:44,https://ca.bbcollab.com/recording/d40401a4d2e843d1b26f141b215242f0
Microeconomía II,A,2020-06-15,Sesion-21,1:40:28,https://ca.bbcollab.com/recording/d96b9d8199b04f98b706ca4fc75606ea
Microeconomía II,A,2020-06-17,Sesion-22,1:53:38,https://ca.bbcollab.com/recording/d1895f1ef657436cbb3aa0bec3b60b75
Microeconomía II,A,2020-06-22,Sesion-23,1:45:10,https://ca.bbcollab.com/recording/d0789904173d48d9bbceb799736497fc
Microeconomía II,A,2020-06-25,PD10,1:58:40,https://ca.bbcollab.com/recording/b06e014643f941a29f5d531fda058d46
Microeconomía II,A,2020-06-29,Sesion-26,1:25:33,https://ca.bbcollab.com/recording/d57cbf381e78436dbd5a96a6f842ed8c
Microeconomía II,A,2020-07-01,Sesion-25,1:49:45,https://ca.bbcollab.com/recording/6f04f41010984c0c8491255616629f96
Microeconomía II,A,2020-07-02,PD11,1:12:18,https://ca.bbcollab.com/recording/6c7e2276c5d64863837c6865c2541524
Microeconomía II,A,2020-07-06,Sesion-26,1:36:00,https://ca.bbcollab.com/recording/531222561cb2488bb6937eb66c8d49e3
Microeconomía II,A,2020-07-08,Sesion-27,1:24:56,https://ca.bbcollab.com/recording/450d28e74b604421b2ae223873811bd5
Microeconomía II,A,2020-07-08,Sesion-27,1:24:56,https://ca.bbcollab.com/recording/450d28e74b604421b2ae223873811bd5
Microeconomía II,A,2020-07-09,PD12,1:38:26,https://ca.bbcollab.com/recording/996e4fe1120e41708ec6a553276fedb2
Microeconomía II,A,2020-07-09,PD12,1:38:26,https://ca.bbcollab.com/recording/996e4fe1120e41708ec6a553276fedb2
Microeconomía II,A,2020-07-10,Sesion-28,1:27:59,https://ca.bbcollab.com/recording/a10189886bda48c6bb2dd95fc25bafd8
Microeconomía II,A,2020-07-10,Sesion-28,1:27:59,https://ca.bbcollab.com/recording/a10189886bda48c6bb2dd95fc25bafd8
