Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Microeconomía II,B,2020-03-30,clase 30 de marzo,1:10:27,https://ca.bbcollab.com/recording/a6ab1a9d9afc459c81d482ea72eae764
Microeconomía II,B,2020-04-01,abril 1,1:18:38,https://ca.bbcollab.com/recording/04b831cbba634c80aeed7f9cc1cb1d36
Microeconomía II,B,2020-04-02,clase abril 2,0:40:14,https://ca.bbcollab.com/recording/3e09036ab7f14ad48cf2cdbf7bca92bc
Microeconomía II,B,2020-04-02,Primera PD 02/04 4:30 - 6:30 pm,2:02:28,https://ca.bbcollab.com/recording/4696d90f4bcf445e8485a4bd3311e39b
Microeconomía II,B,2020-04-06,6 de abril,1:34:28,https://ca.bbcollab.com/recording/5cf91389c6c04019b85ff31191884fce
Microeconomía II,B,2020-04-08,Abril 8,1:33:11,https://ca.bbcollab.com/recording/a1e3e8ed5b5d42f2b706b3f624fbd345
Microeconomía II,B,2020-04-08,Abril 8,0:28:17,https://ca.bbcollab.com/recording/f864bce9a7134a1bb14b5107450ecf0a
Microeconomía II,B,2020-04-09,PD2 09/04 4:30 - 6:30 pm,2:08:25,https://ca.bbcollab.com/recording/7e521887bc854c398cb43a82537a12d9
Microeconomía II,B,2020-04-13,Abril 13,1:25:29,https://ca.bbcollab.com/recording/d03d5281f8894f65af3f69b36cc4273a
Microeconomía II,B,2020-04-15,Abril 15,1:51:13,https://ca.bbcollab.com/recording/e102ef7489dc4ebe9deb2fadf684eb92
Microeconomía II,B,2020-04-16,PD3 16/04 4:30-6:30 pm,1:45:47,https://ca.bbcollab.com/recording/9ae37dd5e6be41bdba19f6da3bc0d7fb
Microeconomía II,B,2020-04-20,abril 20,1:28:50,https://ca.bbcollab.com/recording/719cb81187094fd4bab54441d7dbc700
Microeconomía II,B,2020-04-22,Abril 22,1:25:12,https://ca.bbcollab.com/recording/a9262c1a412b4812bfa9804adc17ab24
Microeconomía II,B,2020-04-23,PD4 Micro2,1:46:05,https://ca.bbcollab.com/recording/dd4c43c56e1641cda863d357a1c2aed0
Microeconomía II,B,2020-04-27,Abril 27,1:12:27,https://ca.bbcollab.com/recording/2d6ae2c727c04674b1c32b38e6036160
Microeconomía II,B,2020-04-27,Abril 27,0:05:59,https://ca.bbcollab.com/recording/76c886883b7642af9c7e17c4067a8ab6
Microeconomía II,B,2020-04-29,abril 29,0:00:09,https://ca.bbcollab.com/recording/291fc516f6a8403a89113e711888dde7
Microeconomía II,B,2020-04-29,abril 29,1:25:04,https://ca.bbcollab.com/recording/6981483beb1445a196cfd7731345903d
Microeconomía II,B,2020-05-04,Mayo 4,0:05:35,https://ca.bbcollab.com/recording/94523e88f4264662a3c0c76f76642ba3
Microeconomía II,B,2020-05-04,Mayo 4,0:45:27,https://ca.bbcollab.com/recording/bddc987b18e741669e597ff230bb6b5e
Microeconomía II,B,2020-05-04,Mayo 4,0:31:56,https://ca.bbcollab.com/recording/e329ba428b9d4e55ad639eb26ad3c076
Microeconomía II,B,2020-05-06,Mayo 6,1:20:50,https://ca.bbcollab.com/recording/9076b34a94ec496db9aad51d8cd24b37
Microeconomía II,B,2020-05-07,PD5 07/05 4:30-6:30 pm,1:48:50,https://ca.bbcollab.com/recording/ae0ef970064b4af3b1ee873387aec3f9
Microeconomía II,B,2020-05-11,May 11,0:20:54,https://ca.bbcollab.com/recording/980ea9e63b734491a12db2f08f6bdcaa
Microeconomía II,B,2020-05-13,Mayo 13,1:34:39,https://ca.bbcollab.com/recording/2b53956529fc4d18b89f2b120d7c5703
