Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Microeconomía II,C,2020-03-30,Clase teórica,1:39:38,https://ca.bbcollab.com/recording/1284f6dcb84f4d0ba53a58c326144da4
Microeconomía II,C,2020-04-01,Clase teórica,1:46:43,https://ca.bbcollab.com/recording/ac2b765fec8e4302ace9f9cfc4e61f59
Microeconomía II,C,2020-04-02,Dirigida,2:04:25,https://ca.bbcollab.com/recording/186d5a589f4a4168a6e71731f00fb374
Microeconomía II,C,2020-04-06,Clase teórica,1:41:19,https://ca.bbcollab.com/recording/1caa6a67c959499a9638431732faff50
Microeconomía II,C,2020-04-08,Clase teórica,1:49:34,https://ca.bbcollab.com/recording/de7acb6461064c788d314ddd2cea3234
Microeconomía II,C,2020-04-09,Dirigida,1:53:48,https://ca.bbcollab.com/recording/e960efe3331b4e5d847e0144bf682891
Microeconomía II,C,2020-04-13,Clase teórica,1:35:03,https://ca.bbcollab.com/recording/f80c0ca9b6a1465c9cca1377a4fe7cc0
Microeconomía II,C,2020-04-15,Clase teórica,1:44:05,https://ca.bbcollab.com/recording/d37681759df34165b07068605bf1e94a
Microeconomía II,C,2020-04-16,Dirigida,2:12:19,https://ca.bbcollab.com/recording/0a1df1fe9d9e4dcd80eb5222ca824375
Microeconomía II,C,2020-04-20,Clase teórica,1:50:35,https://ca.bbcollab.com/recording/8b639fafc6164ba7aba5d7b9ec99db0d
Microeconomía II,C,2020-04-22,Clase teórica,1:43:35,https://ca.bbcollab.com/recording/8f653320e9f14f66bd50948bd7bb5194
Microeconomía II,C,2020-04-23,Dirigida,1:58:35,https://ca.bbcollab.com/recording/b8eeb7ce1ca24921973866ee7a05f433
Microeconomía II,C,2020-04-27,Clase teórica,1:43:25,https://ca.bbcollab.com/recording/ccb1befc302649949f890f830cb1d99e
Microeconomía II,C,2020-04-29,Clase teórica,1:37:36,https://ca.bbcollab.com/recording/76a83059dcf54b6b80f8d765f4088b39
Microeconomía II,C,2020-05-04,Clase teórica,1:42:30,https://ca.bbcollab.com/recording/c46475ef49e64a3f9dd4daf89fdba749
Microeconomía II,C,2020-05-06,Clase teórica,1:42:11,https://ca.bbcollab.com/recording/c0e925bfccad42baac2619318f0d35e4
Microeconomía II,C,2020-05-07,Dirigida,1:47:36,https://ca.bbcollab.com/recording/cb704c960364454ba550310b221621cf
Microeconomía II,C,2020-05-11,Clase teórica,0:00:03,https://ca.bbcollab.com/recording/353e46d69ffb46cdb4f642b7ca5b92e4
Microeconomía II,C,2020-05-11,Clase teórica,1:45:15,https://ca.bbcollab.com/recording/7186f693d9ab42c89b9d98b1df16c498
Microeconomía II,C,2020-05-13,Clase teórica,1:48:37,https://ca.bbcollab.com/recording/5a9ab011e3094ac192af43c28cb4c23c
Microeconomía II,C,2020-05-14,Dirigida,1:44:24,https://ca.bbcollab.com/recording/d608aed5480c48368609e521fa4c588b
Microeconomía II,C,2020-05-14,Recuperacion jueves 14/05,0:49:21,https://ca.bbcollab.com/recording/79be4876d45b4c0f8690872bdbabd262
Microeconomía II,C,2020-05-22,Examen Parcial,1:52:30,https://ca.bbcollab.com/recording/439b82ddab12427199701efd9df55c80
Microeconomía II,C,2020-05-25,Clase teórica,1:24:41,https://ca.bbcollab.com/recording/eb86a91f1a30489da2b36be6503ef074
Microeconomía II,C,2020-05-27,Clase teórica,1:48:34,https://ca.bbcollab.com/recording/ba11bbcf6c3040ad9f1a0d111ecdc37f
Microeconomía II,C,2020-05-28,Dirigida,1:57:16,https://ca.bbcollab.com/recording/57554d55440643d6b71f5dc87abc8c06
Microeconomía II,C,2020-06-01,Clase teórica,1:53:04,https://ca.bbcollab.com/recording/6293b58b01004ac5a969fc671a1b49d4
Microeconomía II,C,2020-06-03,Clase teórica,1:44:16,https://ca.bbcollab.com/recording/60b9e629ab474f72a6e505e507410bec
Microeconomía II,C,2020-06-04,Dirigida,2:13:48,https://ca.bbcollab.com/recording/b27f907d90064efb854341a8cbad70f6
Microeconomía II,C,2020-06-08,Clase teórica,1:36:14,https://ca.bbcollab.com/recording/d5a7fe3964ec44378f1447882df9a0bb
Microeconomía II,C,2020-06-10,Clase teórica,1:38:58,https://ca.bbcollab.com/recording/f1b01dadc81b423291db92003932165b
Microeconomía II,C,2020-06-11,Dirigida,2:20:27,https://ca.bbcollab.com/recording/c15cad5b050943ab883d9bc58eef5322
Microeconomía II,C,2020-06-15,Clase teórica,1:46:22,https://ca.bbcollab.com/recording/5708d521c59841afbcb405e0c3999d28
Microeconomía II,C,2020-06-17,Clase teórica,1:17:32,https://ca.bbcollab.com/recording/b9c90d178ba44acd95224ab834f69492
Microeconomía II,C,2020-06-18,Dirigida,2:02:57,https://ca.bbcollab.com/recording/ae3feac08af549b89a6e8e7dfdd6742d
Microeconomía II,C,2020-06-22,Clase teórica,1:42:31,https://ca.bbcollab.com/recording/b52f9d0c60b14edb8638f0b2f5f8159e
Microeconomía II,C,2020-06-25,Dirigida,1:55:08,https://ca.bbcollab.com/recording/40c69046789d42e79e1801cb99bbd108
Microeconomía II,C,2020-06-25,test4,1:24:18,https://ca.bbcollab.com/recording/4596f8faba2e4598ba3f5d082394d055
Microeconomía II,C,2020-06-29,Clase teórica,1:35:29,https://ca.bbcollab.com/recording/3133a493eb8040af8d98ff3f71314b37
Microeconomía II,C,2020-07-01,Clase teórica,1:20:08,https://ca.bbcollab.com/recording/375e3f886ff8406aab17fbd9bffa9b61
Microeconomía II,C,2020-07-02,Dirigida,1:45:07,https://ca.bbcollab.com/recording/ea263cbded9a43df8cdc1fc2077d4269
Microeconomía II,C,2020-07-06,Clase teórica,1:56:01,https://ca.bbcollab.com/recording/e9a9b62d0fcd41019a22fb7a3795a23e
Microeconomía II,C,2020-07-08,Clase teórica,1:10:18,https://ca.bbcollab.com/recording/befe9b5f8dfd4ce0ae9d656e0cf34486
Microeconomía II,C,2020-07-08,Clase teórica,1:10:18,https://ca.bbcollab.com/recording/befe9b5f8dfd4ce0ae9d656e0cf34486
Microeconomía II,C,2020-07-09,Dirigida,1:24:59,https://ca.bbcollab.com/recording/dfa844816ee64e7786d195de04f9d63b
Microeconomía II,C,2020-07-09,Dirigida,1:24:59,https://ca.bbcollab.com/recording/dfa844816ee64e7786d195de04f9d63b
