Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Negociaciones Comerciales Internacionale,A,2020-03-30,001 Introduction,1:47:40,https://ca.bbcollab.com/recording/b1b33748fe0e4e4e949729a44a5a899c
Negociaciones Comerciales Internacionale,A,2020-04-02,002,1:51:18,https://ca.bbcollab.com/recording/79e3345098e544b489de1fc8210bbeb8
Negociaciones Comerciales Internacionale,A,2020-04-06,IBN Session 003,1:46:12,https://ca.bbcollab.com/recording/2451cd871c25440891e962981a74b8f2
Negociaciones Comerciales Internacionale,A,2020-04-13,Session 004,1:49:58,https://ca.bbcollab.com/recording/385418122272486880a3229e49fbf26e
Negociaciones Comerciales Internacionale,A,2020-04-16,Session 005,1:51:09,https://ca.bbcollab.com/recording/02ddd684620642a597d78e80de09aee1
Negociaciones Comerciales Internacionale,A,2020-04-20,Session 006,1:52:06,https://ca.bbcollab.com/recording/a39dd923a1ae42a994dffaf3114c3131
Negociaciones Comerciales Internacionale,A,2020-04-23,Session 007,1:51:44,https://ca.bbcollab.com/recording/bd02bf5b17e84b68a19b16e95472db6b
Negociaciones Comerciales Internacionale,A,2020-04-27,Session 008,1:50:17,https://ca.bbcollab.com/recording/5eaeb4f2e70548e5ac5d0ee01fbab964
Negociaciones Comerciales Internacionale,A,2020-04-30,Session 009,1:45:22,https://ca.bbcollab.com/recording/f92c4465f293459290498713ce403197
Negociaciones Comerciales Internacionale,A,2020-05-04,Session 010,1:51:46,https://ca.bbcollab.com/recording/f9607ae018984c89b8ac9e50bc864d36
Negociaciones Comerciales Internacionale,A,2020-05-07,Session 011,1:53:53,https://ca.bbcollab.com/recording/e29527cec75b49dfa517fc1d36be8c5d
Negociaciones Comerciales Internacionale,A,2020-05-08,Session 012,0:36:34,https://ca.bbcollab.com/recording/052371e190f446d7aac92e5f6f4338fd
Negociaciones Comerciales Internacionale,A,2020-05-08,Session 012,0:06:43,https://ca.bbcollab.com/recording/7b9132bbbbc74b299f50ba34005f0cb2
Negociaciones Comerciales Internacionale,A,2020-05-08,Session 012,0:02:41,https://ca.bbcollab.com/recording/fe4cacab3b35402fa762d23a3eb7446f
Negociaciones Comerciales Internacionale,A,2020-05-11,Session 013,0:23:55,https://ca.bbcollab.com/recording/5ca97c22dcb6456b9280b89a2bce0e1b
Negociaciones Comerciales Internacionale,A,2020-05-14,Session 014,2:13:44,https://ca.bbcollab.com/recording/fd3bba6754bf461188186e4d173f898d
