Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Negocios Inclusivos,A,2020-03-31,Actividades Iniciales -  Clase Virtual - Presentación Inicial del Curso - martes 31.03.2020,2:05:43,https://ca.bbcollab.com/recording/3dedc51045564d41bc549a834380adb0
Negocios Inclusivos,A,2020-04-07,Clase Virtual - Martes 07.04.2020,2:14:05,https://ca.bbcollab.com/recording/8882c67aef0e492b989058f74febddef
Negocios Inclusivos,A,2020-04-14,Clase Virtual - Martes 14.04.2020,2:10:07,https://ca.bbcollab.com/recording/8d2d78fe0a7f44ba95351aa3de68bf87
Negocios Inclusivos,A,2020-04-21,Clase Virtual - Martes 21.04.2020,2:07:09,https://ca.bbcollab.com/recording/94d0cfe4868f4ecf8a3967b4c3370f4d
Negocios Inclusivos,A,2020-04-28,Clase Virtual - Martes 28.04.2020,2:10:09,https://ca.bbcollab.com/recording/c4c07bbf81884d21bdc33f09533c5b16
Negocios Inclusivos,A,2020-05-05,Clase Virtual - Martes 05.04.2020,2:07:04,https://ca.bbcollab.com/recording/06ae76f7122b467e94f9998a9c8b5846
Negocios Inclusivos,A,2020-05-12,Clase Virtual - Martes 12.05.2020,2:05:14,https://ca.bbcollab.com/recording/51cf809ae5c74591ba65fdbd6f98cdb8
Negocios Inclusivos,A,2020-05-26,Clase Virtual - Martes 26.05.2020,2:04:40,https://ca.bbcollab.com/recording/0306111a2c27435592338931221ece37
Negocios Inclusivos,A,2020-06-02,Clase Virtual - Martes 02.06.2020,2:08:10,https://ca.bbcollab.com/recording/6f9c7be5ecb4423484865f1a6731f151
Negocios Inclusivos,A,2020-06-09,Clase Virtual - Martes 09.06.2020,2:11:27,https://ca.bbcollab.com/recording/e6ce2cb23fce4881a76db01bfe2f08ef
Negocios Inclusivos,A,2020-06-16,Clase Virtual - Martes 16.06.2020,2:05:05,https://ca.bbcollab.com/recording/0bbc48a5c9c644e48c939df4d40f16af
Negocios Inclusivos,A,2020-06-23,Clase Virtual Martes 23.06.2020,2:04:51,https://ca.bbcollab.com/recording/1dfe54c88ca34e7e81efc635c530f296
Negocios Inclusivos,A,2020-06-30,Clase Virtual Martes 30.06.2020,2:08:17,https://ca.bbcollab.com/recording/f73c11d69d23447a9ea2abe0f1f14341
Negocios Inclusivos,A,2020-07-07,Clase Virtual - Martes 07.07.2020,2:20:35,https://ca.bbcollab.com/recording/0ece06d5baf34e88bdab1e97a65b3675
