Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
New Marketing Trends,A,2020-03-31,Sesión 1. Course Presentation and teams configuration,1:27:31,https://ca.bbcollab.com/recording/766dc82179df4453a9a16fd88b887664
New Marketing Trends,A,2020-04-02,Sesión 2,0:59:40,https://ca.bbcollab.com/recording/5dcc257a5f744f7cbe5ccb8095e369e1
New Marketing Trends,A,2020-04-07,Session 3,0:46:57,https://ca.bbcollab.com/recording/02cf3e2258d24c51a8fc24e6df048616
New Marketing Trends,A,2020-04-07,Session 3,0:40:44,https://ca.bbcollab.com/recording/2852073e6d78416d9b34e278587a21b7
New Marketing Trends,A,2020-04-14,Session 4,0:00:27,https://ca.bbcollab.com/recording/023b56f48b4543b494a5d834dec46563
New Marketing Trends,A,2020-04-14,Session 4,1:03:24,https://ca.bbcollab.com/recording/0df489bd496a4a0f97fc04d26f2437e7
New Marketing Trends,A,2020-04-16,Session 5,1:03:52,https://ca.bbcollab.com/recording/c98a3ebd7be84586ad599438f8adda09
New Marketing Trends,A,2020-04-21,Session 6,1:48:17,https://ca.bbcollab.com/recording/d67275ad61184eee8d3e847dc0f24d01
New Marketing Trends,A,2020-04-23,Session 7,0:55:51,https://ca.bbcollab.com/recording/b7505e444aef49a384fcc3fcf91f5dc8
New Marketing Trends,A,2020-04-28,Session 8,1:39:06,https://ca.bbcollab.com/recording/e60777a931ac4f638f495f7e6307a008
New Marketing Trends,A,2020-04-30,Session 9,1:07:01,https://ca.bbcollab.com/recording/dc40653cb02a4bd88a205e5b05fb6e8c
New Marketing Trends,A,2020-05-05,Session 10,1:49:55,https://ca.bbcollab.com/recording/1992b5ee38394538859ae7a8aa8234af
New Marketing Trends,A,2020-05-07,Sessión 11,1:04:56,https://ca.bbcollab.com/recording/16efc715b02c443d9ccf03b63f9d6537
New Marketing Trends,A,2020-05-12,Session 12,1:07:42,https://ca.bbcollab.com/recording/ced4df13ad4a424896671191bfd393a1
New Marketing Trends,A,2020-05-14,Session 13,0:58:43,https://ca.bbcollab.com/recording/01b7d261748f46ed984a439a9d97deb8
New Marketing Trends,A,2020-05-26,Session 14,1:50:29,https://ca.bbcollab.com/recording/f03c53143a38415fb149ddb7b79a47bb
New Marketing Trends,A,2020-05-28,Session 15,0:54:18,https://ca.bbcollab.com/recording/0697cce7b8774da8aebe1e707e51dbbc
New Marketing Trends,A,2020-06-02,Session 16,1:05:04,https://ca.bbcollab.com/recording/1f61fecb56b6476a9656e35c31ae9ed9
New Marketing Trends,A,2020-06-02,Session 16,0:33:40,https://ca.bbcollab.com/recording/49af97def2144cf99dcc911a3e4c8e73
New Marketing Trends,A,2020-06-04,Session 17,1:09:15,https://ca.bbcollab.com/recording/4019d8148424497481c36aa25dc47d39
New Marketing Trends,A,2020-06-09,Session 18,1:47:55,https://ca.bbcollab.com/recording/47d275b828ee4c03896c56f8660d798c
New Marketing Trends,A,2020-06-11,Session 19,1:05:01,https://ca.bbcollab.com/recording/ef6cb959567046b89abae32d929d5324
New Marketing Trends,A,2020-06-16,Session 20,0:59:23,https://ca.bbcollab.com/recording/7f410ba330ad4cf89dfa42dd0260237a
New Marketing Trends,A,2020-06-18,Session 21,0:52:18,https://ca.bbcollab.com/recording/40fc79963add4535ab9c3f5131c72d7d
New Marketing Trends,A,2020-06-23,Session 22,1:49:58,https://ca.bbcollab.com/recording/10fdfe901e61452c92c42efe4bd42745
New Marketing Trends,A,2020-06-25,Session 23,1:05:13,https://ca.bbcollab.com/recording/1ebb264680e94d8594eae9518121d74a
New Marketing Trends,A,2020-06-30,Session 24,1:21:10,https://ca.bbcollab.com/recording/e7ae47c16f5c480694a50225bb37a29a
New Marketing Trends,A,2020-07-02,Session 25,1:01:09,https://ca.bbcollab.com/recording/cd977797f45242a4bdda3d7a927fd041
New Marketing Trends,A,2020-07-07,Session 26,2:03:54,https://ca.bbcollab.com/recording/54ff0467523043c0946cbba9c431bd21
New Marketing Trends,A,2020-07-09,Session 27,0:55:21,https://ca.bbcollab.com/recording/c898ebccb2e144edaa135a0030fe6979
New Marketing Trends,A,2020-07-09,Session 27,0:55:21,https://ca.bbcollab.com/recording/c898ebccb2e144edaa135a0030fe6979
