Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Nivelación en Informática,A,2020-03-31,Sesión 1 - martes,1:49:44,https://ca.bbcollab.com/recording/f14f1b9533a54da3837a2857e1f95a85
Nivelación en Informática,A,2020-04-02,Sesión 2 - jueves,1:52:06,https://ca.bbcollab.com/recording/805df1f43a944b09b009a8cd78b673b1
Nivelación en Informática,A,2020-04-07,Sesión 1 - martes,1:47:08,https://ca.bbcollab.com/recording/7061f9a1cd2540148ee55e4457165e67
Nivelación en Informática,A,2020-04-09,Sesión 2 - jueves,1:49:01,https://ca.bbcollab.com/recording/e3bc5715f3e8424cadd31095fedb7797
Nivelación en Informática,A,2020-04-14,Sesión 1 - martes,0:04:11,https://ca.bbcollab.com/recording/21dcc43f68c84872a9c6eb275a3f4891
Nivelación en Informática,A,2020-04-14,Sesión 1 - martes,1:31:41,https://ca.bbcollab.com/recording/3ed788dca9c742d6aa38fe8c50606658
Nivelación en Informática,A,2020-04-16,Sesión 2 - jueves,1:52:02,https://ca.bbcollab.com/recording/0a619cad72d642759b7e122dde808219
Nivelación en Informática,A,2020-04-21,Sesión 1 - martes,1:33:16,https://ca.bbcollab.com/recording/bf960c09d83e4c40bab171a285c773ca
Nivelación en Informática,A,2020-04-23,Sesión 2 - jueves,1:57:02,https://ca.bbcollab.com/recording/1ec33035f6334f9b84de862e4e8793f7
Nivelación en Informática,A,2020-04-28,Sesión 1 - martes,2:00:39,https://ca.bbcollab.com/recording/39ab06970b3b4ae69a22fe99bf49c309
Nivelación en Informática,A,2020-04-30,Sesión 2 - jueves,1:50:41,https://ca.bbcollab.com/recording/e7c26b9d0d4342d3a9fd6b6200a4d57f
Nivelación en Informática,A,2020-05-05,Sesión 1 - martes,1:56:48,https://ca.bbcollab.com/recording/ef8e0176125b4e0a9b066c9ca4dd12c6
Nivelación en Informática,A,2020-05-07,Sesión 2 - jueves,1:51:47,https://ca.bbcollab.com/recording/68e06b81540943b2b249e81e1a1f7e43
Nivelación en Informática,A,2020-05-12,Sesión 1 - martes,1:59:16,https://ca.bbcollab.com/recording/3bbc47e545d1497ea5f1e78119b53c85
Nivelación en Informática,A,2020-05-14,Sesión 2 - jueves,1:55:06,https://ca.bbcollab.com/recording/edf15917f72c4102bf2df51e56562efe
Nivelación en Informática,A,2020-05-22,Sesión de consultas: Examen Parcial,3:09:44,https://ca.bbcollab.com/recording/e319e75cd0424ccbbbf8f0b64d452037
Nivelación en Informática,A,2020-05-26,Sesión 1 - martes,1:43:50,https://ca.bbcollab.com/recording/4c945e2584ff468bb8ada0e2218f29c5
Nivelación en Informática,A,2020-05-28,Sesión 2 - jueves,1:41:05,https://ca.bbcollab.com/recording/3db4b6230d944e1da5cfb30a5da3b09b
Nivelación en Informática,A,2020-06-02,Sesión 1 - martes,1:43:04,https://ca.bbcollab.com/recording/2f703c4d79cd4a5a96d45e2068359964
Nivelación en Informática,A,2020-06-06,Recuperación-sábado,1:42:52,https://ca.bbcollab.com/recording/e18912e015104ed887f858df20387cad
Nivelación en Informática,A,2020-06-09,Clases virtuales,1:31:17,https://ca.bbcollab.com/recording/8b7986a4b45745e48de7edf5048a0474
Nivelación en Informática,A,2020-06-11,Clases virtuales,1:36:38,https://ca.bbcollab.com/recording/389f02dba739403c85fd9da2f430b4e9
Nivelación en Informática,A,2020-06-16,Clases virtuales,1:36:19,https://ca.bbcollab.com/recording/4f8ceda802874167bd86bf1ea13614b1
Nivelación en Informática,A,2020-06-18,Clases virtuales,1:35:30,https://ca.bbcollab.com/recording/b605626cb27a440886bdde639d5d95b0
Nivelación en Informática,A,2020-06-23,Clases virtuales,1:39:30,https://ca.bbcollab.com/recording/5a4c7575e32b4c3eb5260f8faf3ad4ae
Nivelación en Informática,A,2020-06-25,Clases virtuales,1:36:14,https://ca.bbcollab.com/recording/73eb1aeb828944e5974198b49d705a60
Nivelación en Informática,A,2020-06-30,Clases virtuales,1:40:38,https://ca.bbcollab.com/recording/a5ce377f71f4413a823f9306a296db50
Nivelación en Informática,A,2020-07-02,Clases virtuales,1:53:20,https://ca.bbcollab.com/recording/eb8d12fbb49f4e289b7be03909483f86
Nivelación en Informática,A,2020-07-07,Clases virtuales,1:48:36,https://ca.bbcollab.com/recording/2785ebf7ca4e4d98ba2a7a528a6d6122
Nivelación en Informática,A,2020-07-09,Clases virtuales,1:18:26,https://ca.bbcollab.com/recording/8660d8ef33e14a12a8ecbe898e540cdc
Nivelación en Informática,A,2020-07-09,Clases virtuales,1:18:26,https://ca.bbcollab.com/recording/8660d8ef33e14a12a8ecbe898e540cdc
Nivelación en Informática,A,2020-07-17,Sesión de consultas: Examen Final,2:38:27,https://ca.bbcollab.com/recording/a084678875ec48bd8b6318c32d46f59f
