Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Nivelación en Informática,B,2020-04-01,Nivelación en informática - B,1:17:24,https://ca.bbcollab.com/recording/51fb6d0886bc41f1baa4d3ca8a0802eb
Nivelación en Informática,B,2020-04-03,Nivelación en informática - B,1:28:39,https://ca.bbcollab.com/recording/39f1354a109c4646a84bc53ee835592a
Nivelación en Informática,B,2020-04-08,Nivelación en informática - B,1:31:03,https://ca.bbcollab.com/recording/6d7d78e9269445ce819e7ccd39f7d3c2
Nivelación en Informática,B,2020-04-10,Nivelación en informática - B,2:00:28,https://ca.bbcollab.com/recording/c867da8358054380b4ca26ef9e400491
Nivelación en Informática,B,2020-04-15,Asesoría,1:50:58,https://ca.bbcollab.com/recording/25498cf7f9234a8c9d8829619af3208c
Nivelación en Informática,B,2020-04-15,Nivelación en informática - B,1:52:27,https://ca.bbcollab.com/recording/2965d85b13634d93bb47902ea3e197c4
Nivelación en Informática,B,2020-04-17,Nivelación en informática - B,1:50:48,https://ca.bbcollab.com/recording/814a079be3df4896a76e76c0de1e57b2
Nivelación en Informática,B,2020-04-22,Nivelación en informática - B,1:48:35,https://ca.bbcollab.com/recording/d1b9d88cab7d483299f4381da45ce823
Nivelación en Informática,B,2020-04-24,Asesoría,0:59:35,https://ca.bbcollab.com/recording/a635238e778e4abc83534b7ec843263b
Nivelación en Informática,B,2020-04-24,Nivelación en informática - B,1:59:09,https://ca.bbcollab.com/recording/480f8940f94f43bb9db5f4e88d076088
Nivelación en Informática,B,2020-04-29,Asesoría,2:17:54,https://ca.bbcollab.com/recording/a207029fd8d0405c8bfa778085cdf8c5
Nivelación en Informática,B,2020-04-29,Nivelación en informática - B,1:49:54,https://ca.bbcollab.com/recording/dbecc5c40bde45f7abc001c96c047b43
Nivelación en Informática,B,2020-05-06,Nivelación en informática - B,8:00:00,https://ca.bbcollab.com/recording/89e018e4a3f7490f8774d67a230f91e9
Nivelación en Informática,B,2020-05-08,Nivelación en informática - B,1:47:25,https://ca.bbcollab.com/recording/1803925ae508460e9dfe48f24cf58425
Nivelación en Informática,B,2020-05-13,Asesoría,2:32:20,https://ca.bbcollab.com/recording/ddeef53ea4d942dc8afde3eed37f64e0
Nivelación en Informática,B,2020-05-13,Nivelación en informática - B,1:42:06,https://ca.bbcollab.com/recording/8486324c50f3426284ce071f7d8dbfe9
Nivelación en Informática,B,2020-05-15,Asesoría,2:50:04,https://ca.bbcollab.com/recording/aad7b6c1ac784970a68440b601e9c41b
Nivelación en Informática,B,2020-05-15,Nivelación en informática - B,1:59:38,https://ca.bbcollab.com/recording/fffe5c2c8ef249778bc6721a2a6a39c7
Nivelación en Informática,B,2020-05-22,Sesión de consultas: Examen Parcial,1:12:55,https://ca.bbcollab.com/recording/23a63db006794e199d32004542667dcc
