Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Nivelación en Informática,D,2020-04-01,Semana N°01 - Clase 1,1:56:00,https://ca.bbcollab.com/recording/2337e341861844018a4b33df4277f74a
Nivelación en Informática,D,2020-04-03,Semana N°01 - Clase 2,3:52:39,https://ca.bbcollab.com/recording/e0ae2704d6f44e0e8cb9621eede124da
Nivelación en Informática,D,2020-04-08,Semana N°02 - Clase 1,1:57:36,https://ca.bbcollab.com/recording/f8467f823880455d938796b2e73c41e6
Nivelación en Informática,D,2020-04-10,Semana N°02 - Clase 2,1:53:48,https://ca.bbcollab.com/recording/a599af8225c84c5f861a880e247f62b3
Nivelación en Informática,D,2020-04-15,Semana N°03 - Clase 1,1:36:21,https://ca.bbcollab.com/recording/da683e37fa54465481d023d1699f8acc
Nivelación en Informática,D,2020-04-17,Semana N°03 - Clase 2,1:53:25,https://ca.bbcollab.com/recording/b0943a7b7e0e471996b7e485011bacc7
Nivelación en Informática,D,2020-04-22,Semana N°04 - Clase 1,1:49:38,https://ca.bbcollab.com/recording/402f2389771245b38294acefb1ee3e8e
Nivelación en Informática,D,2020-04-24,Semana N°04 - Clase 2,1:56:41,https://ca.bbcollab.com/recording/758cc1b724794ec2a519599ce2bd9fe2
Nivelación en Informática,D,2020-04-29,Semana N°05 - Clase 1,1:55:21,https://ca.bbcollab.com/recording/4a17498bf1e64b4e94680c3f6ba586f3
Nivelación en Informática,D,2020-05-01,Semana N°05 - Clase 2,1:59:48,https://ca.bbcollab.com/recording/d8efcff9fdda4f889de5a90d8cef5151
Nivelación en Informática,D,2020-05-08,Semana N°06 - Clase 2,0:00:08,https://ca.bbcollab.com/recording/9530cc39c29242ffb98d467bddd676b0
Nivelación en Informática,D,2020-05-08,Semana N°06 - Clase 2,1:25:40,https://ca.bbcollab.com/recording/fa91f62d7655496aa4e0f8891bc8dd7d
Nivelación en Informática,D,2020-05-13,Semana N°07 - Clase 1,1:41:05,https://ca.bbcollab.com/recording/98349e53871947b583a95b3546c93caf
Nivelación en Informática,D,2020-05-15,Semana N°07 - Clase 2,1:47:38,https://ca.bbcollab.com/recording/9f9cc7dc901347d78be9a91bc4453616
Nivelación en Informática,D,2020-05-27,Semana N°09 - Clase 1,1:31:32,https://ca.bbcollab.com/recording/a53e7ec0361a4c7d9d911b5d9fb74007
Nivelación en Informática,D,2020-05-29,Semana N°09 - Clase 2,1:38:37,https://ca.bbcollab.com/recording/89c0201409014c928e7867da98abc580
Nivelación en Informática,D,2020-06-03,Semana N°10 - Clase 1,1:19:08,https://ca.bbcollab.com/recording/c1a1e204a5d64ee8a29be7efae5ca685
Nivelación en Informática,D,2020-06-05,Semana N°10 - Clase 2,1:49:13,https://ca.bbcollab.com/recording/15f338a9430d45849fc0111a01614330
Nivelación en Informática,D,2020-06-10,Semana N°11 - Clase 1,1:30:58,https://ca.bbcollab.com/recording/52d20d88548745b89303a17ed36405cb
Nivelación en Informática,D,2020-06-12,Semana N°11 - Clase 2,1:50:11,https://ca.bbcollab.com/recording/96c170a366474753af4c596da12e36c5
Nivelación en Informática,D,2020-06-17,Práctica N°2,0:06:30,https://ca.bbcollab.com/recording/38a0c196cc3a4731b25d2e6d84791904
Nivelación en Informática,D,2020-06-19,Semana N°12 - Clase 2,1:35:20,https://ca.bbcollab.com/recording/42ac6251f1eb4dfaba63a1882beb1af5
Nivelación en Informática,D,2020-06-24,Semana N°13 - Clase 1,1:39:12,https://ca.bbcollab.com/recording/89f6fca547074d4f8ed00ec4a7ea1878
Nivelación en Informática,D,2020-06-26,Semana N°13 - Clase 2,1:38:56,https://ca.bbcollab.com/recording/7c8d1c0d920343868b9be9855adee3f0
Nivelación en Informática,D,2020-07-01,Semana N°14 - Clase 1,1:44:09,https://ca.bbcollab.com/recording/6ae9cb5a9834479e87bff64346aeef30
Nivelación en Informática,D,2020-07-03,Semana N°14 - Clase 2,1:40:17,https://ca.bbcollab.com/recording/8369ae0dd26e46b999e94f66ababdd86
Nivelación en Informática,D,2020-07-08,Semana N°15 - Clase 1,1:41:26,https://ca.bbcollab.com/recording/96fe2904ed544d318b88ca54ff1b528c
Nivelación en Informática,D,2020-07-10,Semana N°15 - Clase 2,1:38:33,https://ca.bbcollab.com/recording/cebd046afaea43bc983296d1fce3e417
