Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Nivelación en Informática,E,2020-03-30,Sesión de clases,1:45:39,https://ca.bbcollab.com/recording/2b2a31f0e67f4eb7aa25a513d01d6b03
Nivelación en Informática,E,2020-04-02,Sesión de clases,1:40:52,https://ca.bbcollab.com/recording/42d007b4ce244509815e857898425f09
Nivelación en Informática,E,2020-04-06,Sesión de clases,1:49:38,https://ca.bbcollab.com/recording/340b1dbfa5814de5979c3d1dd5b925b0
Nivelación en Informática,E,2020-04-09,Sesión de clases,1:43:14,https://ca.bbcollab.com/recording/37c472faa4e64253ad641caa65ae7cd7
Nivelación en Informática,E,2020-04-13,Sesión de clases,1:57:52,https://ca.bbcollab.com/recording/e43a6d3be4ec4b58b59fc4f5f2af9263
Nivelación en Informática,E,2020-04-16,Sesión de clases,1:38:03,https://ca.bbcollab.com/recording/eb640f9544fe42b1b0fc2375719f7d00
Nivelación en Informática,E,2020-04-20,Sesión de clases,1:46:59,https://ca.bbcollab.com/recording/e117882f2dad4341b46037db785b2b6f
Nivelación en Informática,E,2020-04-23,Sesión de clases,1:53:38,https://ca.bbcollab.com/recording/bf28bc8c42714fd7a9d3fe0dd84026eb
Nivelación en Informática,E,2020-04-27,Sesión de clases,1:44:08,https://ca.bbcollab.com/recording/25ac43998f4745e18b099b1541fd26dd
Nivelación en Informática,E,2020-04-30,Sesión de clases,1:49:00,https://ca.bbcollab.com/recording/89ab275523654ceaa1176c3441c8de9a
Nivelación en Informática,E,2020-05-07,Sesión de clases,1:39:13,https://ca.bbcollab.com/recording/7f9bf813d05c4a048dd55890343a5297
Nivelación en Informática,E,2020-05-11,Sesión de clases,1:30:21,https://ca.bbcollab.com/recording/9c0a02aa2c81431a983dce1e2468104a
Nivelación en Informática,E,2020-05-14,Sesión de clases,1:33:58,https://ca.bbcollab.com/recording/0da3962433744f719c93253399ff39c3
Nivelación en Informática,E,2020-05-22,Sesion de consulta del examen Parcial,2:19:59,https://ca.bbcollab.com/recording/55f7a2a2c5f24dbf9928169f90c0ad88
Nivelación en Informática,E,2020-05-25,Sesión de clases,1:36:53,https://ca.bbcollab.com/recording/a71dbe2434c542b1b318cb7e9f6aa2ed
Nivelación en Informática,E,2020-05-28,Sesión de clases,1:35:07,https://ca.bbcollab.com/recording/d060d443ea424e9992cc912c0290c2b5
Nivelación en Informática,E,2020-06-01,Sesión de clases,1:37:54,https://ca.bbcollab.com/recording/006426ccdb8347af92fa1af82e6e7870
Nivelación en Informática,E,2020-06-04,Sesión de clases,1:34:19,https://ca.bbcollab.com/recording/a67769549df9406c80fa006d58e45253
Nivelación en Informática,E,2020-06-08,Sesión de clases,1:36:05,https://ca.bbcollab.com/recording/c949a5b8cf164ac4a4685898a76e721b
Nivelación en Informática,E,2020-06-11,Sesión de clases,1:34:19,https://ca.bbcollab.com/recording/e014dea7587842ed8b9f44d467537e49
Nivelación en Informática,E,2020-06-18,Sesión de clases,1:27:48,https://ca.bbcollab.com/recording/14f19cbf138b44cf8719756972bb6c3a
Nivelación en Informática,E,2020-06-22,Sesión de clases,1:36:38,https://ca.bbcollab.com/recording/9bf18d4288334d2e97cc09965f619a14
Nivelación en Informática,E,2020-06-25,Sesión de clases,1:17:49,https://ca.bbcollab.com/recording/3f8b4ba54b184bbdb5bdd022d20dfd1f
Nivelación en Informática,E,2020-07-02,Sesión de clases,1:29:13,https://ca.bbcollab.com/recording/9ff75dbf56f249eb8fa1526b504aaa69
Nivelación en Informática,E,2020-07-06,Sesión de clases,1:45:18,https://ca.bbcollab.com/recording/1bcae802895a465188f8de359b7447ec
Nivelación en Informática,E,2020-07-09,Sesión de clases,1:03:20,https://ca.bbcollab.com/recording/73ddee7e532448ebb9f00c588fd00371
Nivelación en Informática,E,2020-07-09,Sesión de clases,1:03:20,https://ca.bbcollab.com/recording/73ddee7e532448ebb9f00c588fd00371
