Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Nivelación en Informática,G,2020-03-31,Sesión Martes 31/03,1:54:10,https://ca.bbcollab.com/recording/811b1927e6f84cb78399e9eb755bd44b
Nivelación en Informática,G,2020-04-02,Sesión Jueves 02/04,1:54:32,https://ca.bbcollab.com/recording/61f35f71eee34a86bb0d11ff472de9df
Nivelación en Informática,G,2020-04-07,Sesión Martes 07/04,1:44:56,https://ca.bbcollab.com/recording/0d66273d5e1949f3a7083e425323c0a6
Nivelación en Informática,G,2020-04-09,Sesión Jueves 09/04,1:49:06,https://ca.bbcollab.com/recording/b80cefce2e1e4c8f828e0c8008588796
Nivelación en Informática,G,2020-04-14,Sesión Martes 14/04,1:51:57,https://ca.bbcollab.com/recording/95bb9657b9b648e2b7af5422775b6676
Nivelación en Informática,G,2020-04-16,Sesión Jueves 16/04,1:53:31,https://ca.bbcollab.com/recording/1ea4db7b11e54094b6294840cf7a0151
Nivelación en Informática,G,2020-04-21,Sesión Martes 21/04,1:54:13,https://ca.bbcollab.com/recording/afc2f0ab41b248be9408e17c63c7b402
Nivelación en Informática,G,2020-04-23,Sesión Jueves 23/04,2:00:14,https://ca.bbcollab.com/recording/76a95f811c7e4057907adabd8eb5b790
Nivelación en Informática,G,2020-04-28,Sesión Martes 28/04,1:55:27,https://ca.bbcollab.com/recording/48a4bc4eca1a4d9eb04f9797f4f1cfee
Nivelación en Informática,G,2020-04-30,Sesión Jueves 30/04,2:29:22,https://ca.bbcollab.com/recording/8f3e6c937843451db9d512372dfd2a94
Nivelación en Informática,G,2020-05-05,Sesión Martes 05/mayo,1:43:57,https://ca.bbcollab.com/recording/ddd323aa7d5f4af5bbe3b0307a05e9eb
Nivelación en Informática,G,2020-05-07,Sesión Jueves 07/05,2:02:31,https://ca.bbcollab.com/recording/1de7a779e747437092f364b8c06ae4c3
Nivelación en Informática,G,2020-05-12,Sesión Martes 12/05,1:53:01,https://ca.bbcollab.com/recording/49cdf816b019411ead76ad91f5dd44b6
Nivelación en Informática,G,2020-05-14,Sesión Jueves 14/05,1:57:02,https://ca.bbcollab.com/recording/642676cfddd84193af08238be63c2c7a
Nivelación en Informática,G,2020-05-22,Sesión de consultas G: Examen Parcial,2:42:05,https://ca.bbcollab.com/recording/b2e4e2f520ea4baaae0299f3a90b1c86
Nivelación en Informática,G,2020-05-26,Martes-G,1:50:30,https://ca.bbcollab.com/recording/baddacd51d084d8cb3e725c5793443ba
Nivelación en Informática,G,2020-05-28,Jueves-G,1:54:37,https://ca.bbcollab.com/recording/744d8d4a075c49819f43329cd31cb372
Nivelación en Informática,G,2020-06-02,Martes-G,1:51:43,https://ca.bbcollab.com/recording/79d2dbf15ead495aba6c0a03eccf8985
Nivelación en Informática,G,2020-06-04,Jueves-G,1:54:07,https://ca.bbcollab.com/recording/64da0afed9734c9a9dbcc75e3d74f495
Nivelación en Informática,G,2020-06-09,Martes-G,1:57:22,https://ca.bbcollab.com/recording/04528b6437fb49d3bbd143124e0e197b
Nivelación en Informática,G,2020-06-11,Jueves-G,1:54:42,https://ca.bbcollab.com/recording/f5a5c8d4a498464fb87d86ad9a577e62
Nivelación en Informática,G,2020-06-16,Martes-G,1:55:52,https://ca.bbcollab.com/recording/1a52fe2c87844dd4b40a7146f8df58c1
Nivelación en Informática,G,2020-06-18,Jueves-G,1:50:47,https://ca.bbcollab.com/recording/05ac237132e64b11ade31cfdb83dd941
Nivelación en Informática,G,2020-06-23,Martes-G,1:54:17,https://ca.bbcollab.com/recording/40391eff065447f08baecd68b4398934
Nivelación en Informática,G,2020-06-25,Jueves-G,1:55:10,https://ca.bbcollab.com/recording/1d323a1f8b6a4a53a0e3cccbcc4cd237
Nivelación en Informática,G,2020-06-30,Martes-G,1:52:16,https://ca.bbcollab.com/recording/c3349483de92489facadc3c27721b8d8
Nivelación en Informática,G,2020-07-02,Jueves-G,1:58:02,https://ca.bbcollab.com/recording/3739165c051249dc874877cc16fe74ee
Nivelación en Informática,G,2020-07-07,Semana 15,1:47:43,https://ca.bbcollab.com/recording/eb4cc0d78839426b8b67e847348a282c
Nivelación en Informática,G,2020-07-09,Semana 15,2:01:07,https://ca.bbcollab.com/recording/b2ef914e8b5e44348bfacd8157f8839b
Nivelación en Informática,G,2020-07-09,Semana 15,2:01:07,https://ca.bbcollab.com/recording/b2ef914e8b5e44348bfacd8157f8839b
Nivelación en Informática,G,2020-07-17,Sesión de Consultas G - Examen Final,2:28:53,https://ca.bbcollab.com/recording/6f819227c96b43a5839179bc1105e190
Nivelación en Informática,G,2020-07-17,Sesión de Consultas G - Examen Final,2:28:53,https://ca.bbcollab.com/recording/6f819227c96b43a5839179bc1105e190
