Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Nivelación en Informática,H,2020-03-31,Sesión Martes 31/03,1:47:33,https://ca.bbcollab.com/recording/aa865e8b40344a41abc6c281424a5b4a
Nivelación en Informática,H,2020-04-02,Sesión Jueves 01/04,1:42:43,https://ca.bbcollab.com/recording/48b7fbd5c3794c9ea5ca02db0e345776
Nivelación en Informática,H,2020-04-07,Sesión Martes 07/04,1:43:07,https://ca.bbcollab.com/recording/38eac84abd52410e94d220fba5b1f8a4
Nivelación en Informática,H,2020-04-09,Sesión Jueves 09/04,1:43:49,https://ca.bbcollab.com/recording/032ed2202a994ab4b765700cef552010
Nivelación en Informática,H,2020-04-14,Sesión Martes 14/04,1:48:45,https://ca.bbcollab.com/recording/af1289306b48433aa3c885f2933ae1ba
Nivelación en Informática,H,2020-04-16,Sesión Jueves 16/04,1:50:17,https://ca.bbcollab.com/recording/352bb3da949f4c07a1abbd0aaafb10c6
Nivelación en Informática,H,2020-04-21,Sesión Martes 21/04,1:48:43,https://ca.bbcollab.com/recording/85b07440ec0540b2931f492e1f0e63b3
Nivelación en Informática,H,2020-04-23,Sesión Jueves 23/04,1:49:52,https://ca.bbcollab.com/recording/1e60a8d2face4c81ab51a11f6ea95144
Nivelación en Informática,H,2020-04-28,Sesión Martes 28/03,1:53:30,https://ca.bbcollab.com/recording/8d05308913dd4d0f8ab9240f7c06abdc
Nivelación en Informática,H,2020-04-30,Sesión Jueves 30/04,1:48:51,https://ca.bbcollab.com/recording/9c7f5f31d7834e46bf8a0ae9075834af
Nivelación en Informática,H,2020-05-05,Sesión martes 05/05,1:53:22,https://ca.bbcollab.com/recording/9db163f8ef704d1b841a1884d44efc8c
Nivelación en Informática,H,2020-05-07,Sesión Jueves 07/05,1:50:10,https://ca.bbcollab.com/recording/6f31feb1d25c442db02f27891b306fd1
Nivelación en Informática,H,2020-05-12,Sesión martes 12/05,1:49:24,https://ca.bbcollab.com/recording/e7804514b7e544bca9bbc6df8c7d2a2d
Nivelación en Informática,H,2020-05-14,Sesión Juees 14/05,1:52:50,https://ca.bbcollab.com/recording/2b4328cb7feb4dca87e08fe1bad12298
Nivelación en Informática,H,2020-05-22,Sesión de consultas H: Examen Parcial,2:38:58,https://ca.bbcollab.com/recording/afa18d1456e54d1bb9a5b847eebb36c5
Nivelación en Informática,H,2020-05-26,Sesiòn Martes - H,1:51:53,https://ca.bbcollab.com/recording/cc305342311042b5847479da382d1196
Nivelación en Informática,H,2020-05-28,Sesiòón Jueves - H,1:52:46,https://ca.bbcollab.com/recording/326510d23a2c47909a390a081cd5fd3d
Nivelación en Informática,H,2020-06-02,Sesiòn Martes - H,1:52:07,https://ca.bbcollab.com/recording/79129701dac949268a621df9a9f6a516
Nivelación en Informática,H,2020-06-04,Sesiòón Jueves - H,1:54:31,https://ca.bbcollab.com/recording/c25a739396604729b970e75403e59a83
Nivelación en Informática,H,2020-06-09,Sesiòn Martes - H,1:54:15,https://ca.bbcollab.com/recording/919cf9e0d55d4911be5dfcc8a3a88d01
Nivelación en Informática,H,2020-06-11,Sesiòón Jueves - H,1:49:29,https://ca.bbcollab.com/recording/86d1126f39c046c8acc8cca658f3f509
Nivelación en Informática,H,2020-06-16,Sesiòn Martes - H,1:58:52,https://ca.bbcollab.com/recording/d469ea7d6bb645dbae3f126d181fbd2d
Nivelación en Informática,H,2020-06-18,Sesiòón Jueves - H,1:46:14,https://ca.bbcollab.com/recording/f21bfb6ad3f04763967446159d8f6ea3
Nivelación en Informática,H,2020-06-23,Sesiòn Martes - H,1:50:33,https://ca.bbcollab.com/recording/3b58193ec47e41f2bedd3e1b7bf630b2
Nivelación en Informática,H,2020-06-25,Sesiòón Jueves - H,1:53:31,https://ca.bbcollab.com/recording/a4f8fd91d93a44d5a5c993c35d62ee0f
Nivelación en Informática,H,2020-06-30,Sesiòn Martes - H,1:53:02,https://ca.bbcollab.com/recording/24bed80b476b4aea9849f6e96109cbf0
Nivelación en Informática,H,2020-07-02,Sesiòón Jueves - H,1:53:15,https://ca.bbcollab.com/recording/9297dfc544604deba489f72acfc2bfa4
Nivelación en Informática,H,2020-07-07,Semana 15,1:52:21,https://ca.bbcollab.com/recording/85ac3fa1c29b49998a3c6322411f7aae
Nivelación en Informática,H,2020-07-09,Semana 15,1:52:54,https://ca.bbcollab.com/recording/9b616ec33119483d93dec436b95a211c
Nivelación en Informática,H,2020-07-09,Semana 15,1:52:54,https://ca.bbcollab.com/recording/9b616ec33119483d93dec436b95a211c
Nivelación en Informática,H,2020-07-17,Sesión de Consultas H - Examen Final,2:31:44,https://ca.bbcollab.com/recording/1b887343428e4d23b0c142149545ff40
