Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Nivelación en Informática,J,2020-04-01,Semana N°1 - Clase 1,1:48:06,https://ca.bbcollab.com/recording/4cad2b4200f249049e2bcc67aea4144e
Nivelación en Informática,J,2020-04-03,Semana N°1 - Clase 2,0:03:25,https://ca.bbcollab.com/recording/664447dc54b8491abf6d2acb5b2b5790
Nivelación en Informática,J,2020-04-03,Semana N°1 - Clase 2,1:24:53,https://ca.bbcollab.com/recording/d982e2fd26a74c10917011c32c39b0c1
Nivelación en Informática,J,2020-04-08,Semana N°02 - Clase 1,1:55:31,https://ca.bbcollab.com/recording/e7dc64be370a428799526d9fc38be6a8
Nivelación en Informática,J,2020-04-10,Semana N°02 - Clase 2,1:49:58,https://ca.bbcollab.com/recording/220b3a3ab89b42f5a879d25adf294f52
Nivelación en Informática,J,2020-04-15,Semana N°03 - Clase 1,1:50:09,https://ca.bbcollab.com/recording/e348a544292a445ba36fc49f091748db
Nivelación en Informática,J,2020-04-17,Semana N°03 - Clase 2,1:47:31,https://ca.bbcollab.com/recording/c0c1ec013b584752b2091d75f760f123
Nivelación en Informática,J,2020-04-22,Semana N°04 - Clase 1,1:47:32,https://ca.bbcollab.com/recording/14edf61e3e15464594bbd1f918ce4dd9
Nivelación en Informática,J,2020-04-24,Semana N°04 - Clase 2,1:45:36,https://ca.bbcollab.com/recording/2ed29542ae9c4eeabb30040b63bc66f3
Nivelación en Informática,J,2020-04-29,Semana N°05 - Clase 1,1:45:20,https://ca.bbcollab.com/recording/d3c42c99c78149f9ae8e4dc3ba660add
Nivelación en Informática,J,2020-05-01,Semana N°05 - Clase 2,1:45:09,https://ca.bbcollab.com/recording/f1580093fb204072bb52add9a21f98a9
Nivelación en Informática,J,2020-05-06,Practica 1,1:47:08,https://ca.bbcollab.com/recording/65fc275ea262461dacaa70f2e8596e99
Nivelación en Informática,J,2020-05-08,Semana N°06 - Clase 2,1:16:21,https://ca.bbcollab.com/recording/f585477feacf4b62a11e1ef71fd3c5e5
Nivelación en Informática,J,2020-05-13,Semana N°07 - Clase 1,1:37:30,https://ca.bbcollab.com/recording/480a41fe39cc440fb74e31a6d69c2972
Nivelación en Informática,J,2020-05-13,Semana N°07 - Clase 1,0:01:18,https://ca.bbcollab.com/recording/64e509ce740349aa8a8e54bb7de5f23a
Nivelación en Informática,J,2020-05-13,Semana N°07 - Clase 1,0:08:52,https://ca.bbcollab.com/recording/cbf142169a724a4188f58edc41ebbf47
Nivelación en Informática,J,2020-05-15,Semana N°07 - Clase 2,1:32:12,https://ca.bbcollab.com/recording/2bb1a1baaa6646ba9a02c8f5eb32c192
Nivelación en Informática,J,2020-05-27,Semana N°09 - Clase 1,1:39:00,https://ca.bbcollab.com/recording/833fcb41304f4e14988be42044eca063
Nivelación en Informática,J,2020-05-29,Semana N°09 - Clase 2,1:37:19,https://ca.bbcollab.com/recording/255b07d9fac54325933d80bf2581ace9
Nivelación en Informática,J,2020-06-03,Semana N°10 - Clase 1,1:43:14,https://ca.bbcollab.com/recording/a8131e4ee7f1434cb93737bf2f383216
Nivelación en Informática,J,2020-06-05,Semana N°10 - Clase 2,1:39:27,https://ca.bbcollab.com/recording/177546507d2443bc87b37c11fd03db9a
Nivelación en Informática,J,2020-06-10,Semana N°11 - Clase 1,1:34:27,https://ca.bbcollab.com/recording/1be233e2c6af4f958d3b6f463a722ffe
Nivelación en Informática,J,2020-06-12,Semana N°11 - Clase 2,1:49:31,https://ca.bbcollab.com/recording/f9aa414a36e64d378ec874de5e92b7fa
Nivelación en Informática,J,2020-06-24,Semana N°13 - Clase 1,1:44:40,https://ca.bbcollab.com/recording/9dc481d630614a17b32ee8a07f5a2446
Nivelación en Informática,J,2020-06-26,Semana N°13 - Clase 2,1:41:30,https://ca.bbcollab.com/recording/cee443efbd294d9595ef3a87fa4af4f6
Nivelación en Informática,J,2020-07-01,Semana N°14 - Clase 1,1:42:34,https://ca.bbcollab.com/recording/ecab181f221745c89f191a0ab979ea7e
Nivelación en Informática,J,2020-07-03,Semana N°14 - Clase 2,1:36:54,https://ca.bbcollab.com/recording/a5512462649f4f8b95165c224106d050
Nivelación en Informática,J,2020-07-08,Semana N°15 - Clase 1,1:08:00,https://ca.bbcollab.com/recording/607e388b64594b4ebbb4fb10b5ad61b4
Nivelación en Informática,J,2020-07-10,Semana N°15 - Clase 2,1:42:36,https://ca.bbcollab.com/recording/cc655e1aeb75427ba02609e5768b5675
