Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Nivelación en Informática,L,2020-04-01,Sesión de clase I,1:43:48,https://ca.bbcollab.com/recording/962c1a9ef76a4bda94a2645c331cd0fa
Nivelación en Informática,L,2020-04-03,Sesion de clases,1:51:37,https://ca.bbcollab.com/recording/bcbfdb0e8ee7443e872cf1b58195e394
Nivelación en Informática,L,2020-04-08,Sesion de clases,1:56:08,https://ca.bbcollab.com/recording/900392ae1cf941659e46df6b9136088a
Nivelación en Informática,L,2020-04-10,Sesion de clases,1:49:12,https://ca.bbcollab.com/recording/06975fc364a64cefa5ab57d886fd05c4
Nivelación en Informática,L,2020-04-15,Sesion de clases,1:53:18,https://ca.bbcollab.com/recording/cfa2f1d078af4be7b91cc309c50e2ed7
Nivelación en Informática,L,2020-04-17,Sesion de clases,1:53:46,https://ca.bbcollab.com/recording/2538a7683c1b4210b070f89af9d166f2
Nivelación en Informática,L,2020-04-22,Sesion de clases,1:51:29,https://ca.bbcollab.com/recording/f43bc644841f4c8da581bb02e3a8f831
Nivelación en Informática,L,2020-04-24,Sesion de clases,1:45:08,https://ca.bbcollab.com/recording/4d60b8cdf16747eda3dbe7fc231119a0
Nivelación en Informática,L,2020-04-29,Sesion de clases,1:46:30,https://ca.bbcollab.com/recording/643e6ab8b97a437c907eccfdf58e9244
Nivelación en Informática,L,2020-05-01,Sesion de clases,1:28:53,https://ca.bbcollab.com/recording/5766bfea2c944cef9ad846aab1a53b53
Nivelación en Informática,L,2020-05-08,Sesion de clases,1:43:11,https://ca.bbcollab.com/recording/a4484ed9a4284365b930225b3335a1fc
Nivelación en Informática,L,2020-05-13,Sesion de clases,1:36:28,https://ca.bbcollab.com/recording/705edb537de946d7b321baa7b61c109f
Nivelación en Informática,L,2020-05-15,Sesion de clases,1:17:54,https://ca.bbcollab.com/recording/3f83c5b1f02a49c0b8be9b51f71de4a5
Nivelación en Informática,L,2020-05-27,Sesion de clases,1:36:08,https://ca.bbcollab.com/recording/2df6fd1ac221452abf8fdb7a98763db7
Nivelación en Informática,L,2020-05-29,Sesion de clases,1:27:47,https://ca.bbcollab.com/recording/0f5df7eb9c874ad5b1ed7163d51ec27a
Nivelación en Informática,L,2020-06-03,Sesion de clases,1:32:38,https://ca.bbcollab.com/recording/24b0b3e56b9346d09c4b746accdcea9e
Nivelación en Informática,L,2020-06-05,Sesion de clases,1:32:41,https://ca.bbcollab.com/recording/059a399176264d4e943fac1195d568dc
Nivelación en Informática,L,2020-06-10,Sesion de clases,1:44:36,https://ca.bbcollab.com/recording/158fa4c5b0f2451e85e6c5afb5519a4e
Nivelación en Informática,L,2020-06-12,Sesion de clases,1:45:01,https://ca.bbcollab.com/recording/f49bf5f42a31445dbcf425e275d12eb5
Nivelación en Informática,L,2020-06-19,Sesion de clases,1:34:16,https://ca.bbcollab.com/recording/eef4860f736649d5ac71f8f0ebd6d7d9
Nivelación en Informática,L,2020-06-24,Sesion de clases,1:42:51,https://ca.bbcollab.com/recording/afa774a71f864b3a947282479ab34dae
Nivelación en Informática,L,2020-06-26,Sesion de clases,1:24:14,https://ca.bbcollab.com/recording/1f5a42b081594556b2a160bd8e73e7c7
Nivelación en Informática,L,2020-07-01,Sesion de clases,1:39:54,https://ca.bbcollab.com/recording/f05a4b9b77b648d49eaf572abd1f39ea
Nivelación en Informática,L,2020-07-03,Sesion de clases,1:39:31,https://ca.bbcollab.com/recording/5a44eb8116434e4bba48794960592f24
Nivelación en Informática,L,2020-07-08,Sesion de clases,1:42:00,https://ca.bbcollab.com/recording/56462348d6b248f895e2a6c192d442e0
Nivelación en Informática,L,2020-07-08,Sesion de clases,1:42:00,https://ca.bbcollab.com/recording/56462348d6b248f895e2a6c192d442e0
Nivelación en Informática,L,2020-07-10,Sesion de clases,1:49:12,https://ca.bbcollab.com/recording/8e111d1e6b47432590f307009cafcc05
Nivelación en Informática,L,2020-07-10,Sesion de clases,1:49:12,https://ca.bbcollab.com/recording/8e111d1e6b47432590f307009cafcc05
