Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Nivelación en Informática,M,2020-03-30,Sesión de clase,1:43:50,https://ca.bbcollab.com/recording/ef6580b2dc114ec8b883e80c01b22658
Nivelación en Informática,M,2020-04-01,Sesión de clase,1:53:22,https://ca.bbcollab.com/recording/9fb9dd1f6beb4ef1a0ff983d7e72e149
Nivelación en Informática,M,2020-04-06,Sesión de clase,1:36:41,https://ca.bbcollab.com/recording/32b8065e9dd54b86a76a48c1eed12aa7
Nivelación en Informática,M,2020-04-08,Sesión de clase,1:35:51,https://ca.bbcollab.com/recording/2fc168dc7a75417f93700654d10442d4
Nivelación en Informática,M,2020-04-13,Sesión de clase,1:56:08,https://ca.bbcollab.com/recording/5f7d9b26e497445ba3afa4a86594c0aa
Nivelación en Informática,M,2020-04-15,Sesión de clase,1:43:41,https://ca.bbcollab.com/recording/6d69e1c9ea454a708c6c3c10b9d2e7e5
Nivelación en Informática,M,2020-04-20,Sesión de clase,1:51:59,https://ca.bbcollab.com/recording/75f87e0d83d1432f964ed08f6e65b157
Nivelación en Informática,M,2020-04-22,Sesión de clase,1:44:43,https://ca.bbcollab.com/recording/1c73b31076cb4c1a866e5c15ebd92a3c
Nivelación en Informática,M,2020-04-27,Sesión de clase,1:37:48,https://ca.bbcollab.com/recording/0dba2996641044ab8f1884ac72b0d28b
Nivelación en Informática,M,2020-04-29,Sesión de clase,1:44:47,https://ca.bbcollab.com/recording/69cb16fd70974331ac620f844a5fb587
Nivelación en Informática,M,2020-05-06,Sesión de clase,1:28:35,https://ca.bbcollab.com/recording/9fe6f5ced43b4ed8a46904949320aa33
Nivelación en Informática,M,2020-05-11,Sesión de clase,1:33:44,https://ca.bbcollab.com/recording/222c7be54f484bf6b84c6e4c508507a8
Nivelación en Informática,M,2020-05-13,Sesión de clase,1:33:45,https://ca.bbcollab.com/recording/f5ef50464d054f49ad4916ec641310a1
Nivelación en Informática,M,2020-05-25,Sesión de clase,1:44:56,https://ca.bbcollab.com/recording/fe17104c16014e29a2c3fc7806e0f7f9
Nivelación en Informática,M,2020-05-27,Sesión de clase,1:39:31,https://ca.bbcollab.com/recording/4f5e2b07668845bea097ab1be99b16c5
Nivelación en Informática,M,2020-06-01,Sesión de clase,1:32:24,https://ca.bbcollab.com/recording/6796ab0a436341cda3e06261b853aab7
Nivelación en Informática,M,2020-06-03,Sesión de clase,1:17:02,https://ca.bbcollab.com/recording/aa8b41b64b5c45bfbc3dad7ce0e9a793
Nivelación en Informática,M,2020-06-08,Sesión de clase,1:59:30,https://ca.bbcollab.com/recording/a6ecfbc82e1b4ba38d6b5079bd794d7e
Nivelación en Informática,M,2020-06-10,Sesión de clase,1:14:34,https://ca.bbcollab.com/recording/224377be8e274a8b82a377be84de8d05
Nivelación en Informática,M,2020-06-17,Sesión de clase,1:15:42,https://ca.bbcollab.com/recording/e24b449fbdc347e69ae3eb679694e168
Nivelación en Informática,M,2020-06-22,Sesión de clase,1:39:36,https://ca.bbcollab.com/recording/58149245deae4cb29c343be36ef443b8
Nivelación en Informática,M,2020-06-24,Sesión de clase,1:37:13,https://ca.bbcollab.com/recording/324274cc41804e41ab766d5ad4ab19fd
Nivelación en Informática,M,2020-06-29,Sesión de clase,1:54:16,https://ca.bbcollab.com/recording/37c996f9158448378789f78e9714b405
Nivelación en Informática,M,2020-07-01,Sesión de clase,1:25:55,https://ca.bbcollab.com/recording/bc3b3ced5f724ed79cf598e75d044963
Nivelación en Informática,M,2020-07-06,Sesión de clase,1:50:35,https://ca.bbcollab.com/recording/b79b9867f2e74090ad1d4ed021daae24
Nivelación en Informática,M,2020-07-08,Sesión de clase,1:52:57,https://ca.bbcollab.com/recording/954d560f062d4eb7aecbdee8b0276d88
Nivelación en Informática,M,2020-07-08,Sesión de clase,1:52:57,https://ca.bbcollab.com/recording/954d560f062d4eb7aecbdee8b0276d88
