Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Nivelación en Informática,P,2020-04-01,Sesiones virtuales P,1:55:15,https://ca.bbcollab.com/recording/02d40b419aca4b84aff40777092c6e09
Nivelación en Informática,P,2020-04-06,Sesiones virtuales P,1:55:28,https://ca.bbcollab.com/recording/ac22508760fc411e8e2e182138dd8f2a
Nivelación en Informática,P,2020-04-08,Sesiones virtuales P,2:03:11,https://ca.bbcollab.com/recording/9d8cf9b4e7a642008bfb5ce543e9116d
Nivelación en Informática,P,2020-04-13,Sesiones virtuales P,0:05:02,https://ca.bbcollab.com/recording/9af12b43533540588778028dcb3e80ce
Nivelación en Informática,P,2020-04-13,Sesiones virtuales P,1:45:05,https://ca.bbcollab.com/recording/fa1f1f91462f489fbc349ad54922b00e
Nivelación en Informática,P,2020-04-15,Sesiones virtuales P,1:50:31,https://ca.bbcollab.com/recording/4471aa5c3f2c4028b01a66172ead0a99
Nivelación en Informática,P,2020-04-20,Sesiones virtuales P,1:45:27,https://ca.bbcollab.com/recording/764db2c79007440ba111c5bcc008f4b2
Nivelación en Informática,P,2020-04-22,Sesiones virtuales P,1:33:49,https://ca.bbcollab.com/recording/d5dbcfb1c03b4468a8373bd2f13a3e49
Nivelación en Informática,P,2020-04-27,Sesiones virtuales P,1:45:54,https://ca.bbcollab.com/recording/c2e580e07ced40b5bf0b4cc92aac3dd4
Nivelación en Informática,P,2020-04-29,Sesiones virtuales P,1:32:54,https://ca.bbcollab.com/recording/050bc0c2f0ea4d31881910e605ca5e94
Nivelación en Informática,P,2020-05-06,Sesiones virtuales P,1:20:09,https://ca.bbcollab.com/recording/980068f791ef4936bf832ca447e5dccb
Nivelación en Informática,P,2020-05-11,Sesiones virtuales P,1:48:11,https://ca.bbcollab.com/recording/46a6814eea5340a786e417f54f1d7080
Nivelación en Informática,P,2020-05-13,Sesiones virtuales P,3:56:33,https://ca.bbcollab.com/recording/16126440727b4f59bfe8a39ba81de2eb
Nivelación en Informática,P,2020-05-22,Sesión de consultas: Examen Parcial,0:40:49,https://ca.bbcollab.com/recording/d6cf258cb0e34762ae7ee787c196a163
Nivelación en Informática,P,2020-05-25,Sesiones virtuales P,1:29:01,https://ca.bbcollab.com/recording/88a1eec28a3c4ad8a3f7551f683b96c1
Nivelación en Informática,P,2020-05-27,Sesiones virtuales P,1:41:01,https://ca.bbcollab.com/recording/77ba61102402456f8b1a719860abc8e5
Nivelación en Informática,P,2020-06-01,Sesiones virtuales P,1:56:31,https://ca.bbcollab.com/recording/6150ebd0bbd4428db4e54bd478bf6f2d
Nivelación en Informática,P,2020-06-03,Sesiones virtuales P,1:49:38,https://ca.bbcollab.com/recording/b0e58ed5f6c64d2793e77917cbd50f0a
Nivelación en Informática,P,2020-06-08,Sesiones virtuales P,1:32:43,https://ca.bbcollab.com/recording/3d2cdbe849d44e4c96676a7139ae8321
Nivelación en Informática,P,2020-06-10,Sesión de clases,1:44:43,https://ca.bbcollab.com/recording/f3e3067a0fb8464ba97e033ed4834e98
Nivelación en Informática,P,2020-06-15,Sesión de clases,2:04:32,https://ca.bbcollab.com/recording/ec9891d7625642038ef1781ef99469ab
Nivelación en Informática,P,2020-06-17,Sesión de clases,1:31:51,https://ca.bbcollab.com/recording/acb6bf3b50484d6ebf87fa2abc1ebf45
Nivelación en Informática,P,2020-06-22,Sesión de clases,1:43:49,https://ca.bbcollab.com/recording/fd574ba5234a4c79a5b6083d9cf56e82
Nivelación en Informática,P,2020-06-24,Sesión de clases,1:46:05,https://ca.bbcollab.com/recording/a22df95a40a34fecb44ddaffcd15e558
Nivelación en Informática,P,2020-07-01,Sesión de clases,1:53:53,https://ca.bbcollab.com/recording/65633d5b133d4e9d9b80850b878c1dbd
Nivelación en Informática,P,2020-07-06,Sesión de clases,1:55:07,https://ca.bbcollab.com/recording/3f675ef27c024fc89f7ffddd033591e6
Nivelación en Informática,P,2020-07-08,Sesión de clases,1:49:15,https://ca.bbcollab.com/recording/4bcca734ed5747749068f886d6aa37b2
Nivelación en Informática,P,2020-07-08,Sesión de clases,1:49:15,https://ca.bbcollab.com/recording/4bcca734ed5747749068f886d6aa37b2
Nivelación en Informática,P,2020-07-17,Sesión de consultas: Examen Final,2:30:37,https://ca.bbcollab.com/recording/63df28f3c28c4e7d8c73ea400d548b7b
Nivelación en Informática,P,2020-07-17,Sesión de consultas: Examen Final,2:30:37,https://ca.bbcollab.com/recording/63df28f3c28c4e7d8c73ea400d548b7b
