Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Nivelación en Lenguaje,B,2020-03-31,Presentación del curso y primera sesión,1:25:48,https://ca.bbcollab.com/recording/546787b8f60a41e1860ac0b8df486e74
Nivelación en Lenguaje,B,2020-04-02,Sesión 2: Sintagma nominal y regla general de acentuación,1:44:51,https://ca.bbcollab.com/recording/e4bb433dd12d4c14bebc2291f583b856
Nivelación en Lenguaje,B,2020-04-07,Sesión 3: adjetivo y artículo,1:38:03,https://ca.bbcollab.com/recording/efafd468de4b48369b10b832a0284640
Nivelación en Lenguaje,B,2020-04-14,Sesión 5: concordancia nominal y estructura del sujeto,1:33:55,https://ca.bbcollab.com/recording/9c894fdb839a4e3db367a209b0f85aa4
Nivelación en Lenguaje,B,2020-04-16,Sesión 6: modificadores del NS y esquema de niveles,1:38:01,https://ca.bbcollab.com/recording/f2e4cfc380004d18a4bc2e5a1fa02eec
Nivelación en Lenguaje,B,2020-04-21,Sesión 7: concordancia nominal y repaso,1:46:19,https://ca.bbcollab.com/recording/93022ed535cf4e328be0b831cca6c698
Nivelación en Lenguaje,B,2020-04-28,Sesión 8: Introducción al pronombre,1:45:23,https://ca.bbcollab.com/recording/897976a0e45b476d8d729ae976ed1355
Nivelación en Lenguaje,B,2020-04-30,Sesión 9: pronombre y uso de la coma,1:23:26,https://ca.bbcollab.com/recording/f0c149ef97dc416fa1e18175a1821674
Nivelación en Lenguaje,B,2020-05-05,Sesión 10: repaso de pronombres y nexos,1:39:20,https://ca.bbcollab.com/recording/086c3d45a83a44ba9d9e3577458138de
Nivelación en Lenguaje,B,2020-05-12,Sesión 11: nexos,1:31:11,https://ca.bbcollab.com/recording/24a8cf356b5c43f4ad48221c71adfb58
Nivelación en Lenguaje,B,2020-05-14,Sesión 12: revisión de PC2 y repaso,1:40:05,https://ca.bbcollab.com/recording/577ffd295885496da001ce703d3a56cf
Nivelación en Lenguaje,B,2020-05-26,"Sesión 13: oración, proposición y frase",1:33:52,https://ca.bbcollab.com/recording/1d7dc9ddcab4410b916ed98d0ce7a9fa
Nivelación en Lenguaje,B,2020-05-28,Sesión 14: verbo,1:34:43,https://ca.bbcollab.com/recording/a3a05d2edbf64a2d82a1e6ceff69755a
Nivelación en Lenguaje,B,2020-06-02,Sesión 15: examen de los tiempos verbales,1:31:10,https://ca.bbcollab.com/recording/bd82ee9da1b940d88c1be9040462c77f
Nivelación en Lenguaje,B,2020-06-04,Sesión 16: verboides y modificadores del núcleo del predicado,1:42:06,https://ca.bbcollab.com/recording/5eb5b658d2ef4cecb8f8e1818d95cc0d
Nivelación en Lenguaje,B,2020-06-09,Sesión 17: modificadores del verbo y repaso,1:43:14,https://ca.bbcollab.com/recording/b32d709c8fab465d81f987fe4845e834
Nivelación en Lenguaje,B,2020-06-11,"Tercera práctica calificada, sección B",1:17:24,https://ca.bbcollab.com/recording/f1f9bec7a95e45db982a450d3c5a5552
Nivelación en Lenguaje,B,2020-06-16,Sesión 18: la circunstancia del NP,2:19:05,https://ca.bbcollab.com/recording/6d2fe6ff7dda406ea7fde314a57d4268
Nivelación en Lenguaje,B,2020-06-18,Sesión 19: circunstancias del NP,1:41:41,https://ca.bbcollab.com/recording/e11718a0471c41919048a8ce320e192f
Nivelación en Lenguaje,B,2020-06-23,Sesión 20: predicativos y voz pasiva,1:50:13,https://ca.bbcollab.com/recording/84116dbaaff240ba8770fc21af59b72f
Nivelación en Lenguaje,B,2020-06-25,Sesión 21: predicativo objetivo y voz pasiva,1:42:15,https://ca.bbcollab.com/recording/6a81daec4ec341daa9bd9db6a13a0b8c
Nivelación en Lenguaje,B,2020-06-30,Sesión 22: pasiva refleja. Convertibilidad de las voces oracionales,1:27:31,https://ca.bbcollab.com/recording/d413e2a32fda459687a3d2b6ff6ad28c
Nivelación en Lenguaje,B,2020-07-02,Práctica calificada 4,0:00:09,https://ca.bbcollab.com/recording/6f6c7e64200f4689aa4a08bc7aa460c2
Nivelación en Lenguaje,B,2020-07-07,Semana final: ortografía,1:33:10,https://ca.bbcollab.com/recording/fa3eb30345b24b2aacc593019a5d0c5f
Nivelación en Lenguaje,B,2020-07-09,Clase final,1:23:34,https://ca.bbcollab.com/recording/fb66ca334e13471cb600bf6047b7185f
Nivelación en Lenguaje,B,2020-07-09,Clase final,1:23:34,https://ca.bbcollab.com/recording/fb66ca334e13471cb600bf6047b7185f
