Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Nivelación en Lenguaje,C,2020-04-02,Sesión Nive - 2 de abril,1:38:52,https://ca.bbcollab.com/recording/65ae18979434405ea884ef7e2f3d7b09
Nivelación en Lenguaje,C,2020-04-14,Clase 14 de abril (Nivelación en Lenguaje),1:38:20,https://ca.bbcollab.com/recording/fa9ebb38f6624f849cde5ca3c4ca43f1
Nivelación en Lenguaje,C,2020-04-16,Clase Nivelación en Lenguaje,1:32:32,https://ca.bbcollab.com/recording/b5b49cd5a1b54acabff9ea0543e018f1
Nivelación en Lenguaje,C,2020-04-21,Clase Nivelación en Lenguaje,1:13:07,https://ca.bbcollab.com/recording/cb18b0ce4d2a4e62b80ea9f85e374da7
Nivelación en Lenguaje,C,2020-04-28,Clase Nivelación en Lenguaje,0:57:52,https://ca.bbcollab.com/recording/fd1ee12e6413453e9ea713320d3ccca3
Nivelación en Lenguaje,C,2020-04-30,Clase Nivelación en Lenguaje,1:29:56,https://ca.bbcollab.com/recording/3492a1038b77452b89c1c1e2854f4396
Nivelación en Lenguaje,C,2020-05-05,Clase Nivelación en Lenguaje,1:18:04,https://ca.bbcollab.com/recording/f9e8d69192db4c10933d505b934b0ad6
Nivelación en Lenguaje,C,2020-05-12,Clase Nivelación en Lenguaje,1:28:14,https://ca.bbcollab.com/recording/5b46f41429f4489abc7657703e4e3051
Nivelación en Lenguaje,C,2020-05-14,Clase Nivelación en Lenguaje,1:39:46,https://ca.bbcollab.com/recording/dae8ad0eed6f486b8ea5c992525dff44
Nivelación en Lenguaje,C,2020-05-26,Clase - Nivelación en Lenguaje,1:34:49,https://ca.bbcollab.com/recording/e390503cbeff489a8c496af0e55bd988
Nivelación en Lenguaje,C,2020-05-28,Clase - Nivelación en Lenguaje,1:36:04,https://ca.bbcollab.com/recording/80a4080232274532b86f859990930ce4
Nivelación en Lenguaje,C,2020-06-02,Clase - Nivelación en Lenguaje,1:44:41,https://ca.bbcollab.com/recording/da2097c0f3eb442585ecd4aa5a6fe187
Nivelación en Lenguaje,C,2020-06-04,Clase - Nivelación en Lenguaje,0:57:39,https://ca.bbcollab.com/recording/5b9f6ca139ab451f8e8a194239863663
Nivelación en Lenguaje,C,2020-06-09,Clase - Nivelación en Lenguaje,1:32:30,https://ca.bbcollab.com/recording/04951f0a758b46ee9b4ce4712d425f6d
Nivelación en Lenguaje,C,2020-06-16,Clase - Nivelación en Lenguaje,1:29:56,https://ca.bbcollab.com/recording/3375798f636e49a1864e89971f7ea1f1
Nivelación en Lenguaje,C,2020-06-18,Clase - Nivelación en Lenguaje,1:29:38,https://ca.bbcollab.com/recording/25641df1a2764b22a5db9c73bd528886
Nivelación en Lenguaje,C,2020-06-23,Clase - Nivelación en Lenguaje,1:29:33,https://ca.bbcollab.com/recording/bce8d27642b24b58917c99d8c3e8b2f4
Nivelación en Lenguaje,C,2020-06-25,Clase - Nivelación en Lenguaje,1:29:42,https://ca.bbcollab.com/recording/6a736087d5a140ac8dc8b1e2382aaf16
Nivelación en Lenguaje,C,2020-06-30,Clase - Nivelación en Lenguaje,1:12:31,https://ca.bbcollab.com/recording/30fcd16b207f43a8bb9560d3282c815d
