Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Nivelación en Lenguaje,D,2020-03-31,sem 1 martes 31 marzo,1:26:35,https://ca.bbcollab.com/recording/f933518917df4f5ca78bb835c843b9c7
Nivelación en Lenguaje,D,2020-04-02,SEM 1 JUEVES 2 ABRIL,1:31:51,https://ca.bbcollab.com/recording/33c933603d7348ffb4072fd04498450c
Nivelación en Lenguaje,D,2020-04-07,SEM 2 martes  7 ABRIL,1:38:37,https://ca.bbcollab.com/recording/6b8a6d3ad28f444198bc9c91c31bbbda
Nivelación en Lenguaje,D,2020-04-14,sem 3 martes 14 abril,1:34:51,https://ca.bbcollab.com/recording/92bbb15375ef4b9486f04cebb8ac73ed
Nivelación en Lenguaje,D,2020-04-16,SEM 4 JUEVES 16 ABRIL,1:43:27,https://ca.bbcollab.com/recording/dbaed2fa984e4d9891b283dee46523ff
Nivelación en Lenguaje,D,2020-04-21,martes 21 abril,1:26:42,https://ca.bbcollab.com/recording/eb54033532f2415ea658947ead51827e
Nivelación en Lenguaje,D,2020-04-23,juev 23 abril,1:43:11,https://ca.bbcollab.com/recording/77be3446c6334bbab08b50a1afa4fa63
Nivelación en Lenguaje,D,2020-04-28,MARTES 28 ABRIL,1:30:04,https://ca.bbcollab.com/recording/c8a5cb5f2b9a47b3a75bf9621391df94
Nivelación en Lenguaje,D,2020-04-30,JUEVES 30 ABRIL,1:34:31,https://ca.bbcollab.com/recording/36bea65a62ba4d6e90418b3ad43d4164
Nivelación en Lenguaje,D,2020-05-05,martes 5 mayo,1:04:15,https://ca.bbcollab.com/recording/f29cff169d7e4b448c5b8956871ff1bd
Nivelación en Lenguaje,D,2020-05-07,jueves 7 mayo,1:31:47,https://ca.bbcollab.com/recording/c54cdf5de5574b67a53ab052e58f48fc
Nivelación en Lenguaje,D,2020-05-12,MARTES 12 MAYO,1:25:20,https://ca.bbcollab.com/recording/ba163fb70d1542de84e0b5238d8ebb8d
Nivelación en Lenguaje,D,2020-05-26,martes 26 mayo,1:36:06,https://ca.bbcollab.com/recording/dc01103bd9364f2dbabae61dc0b66e4b
Nivelación en Lenguaje,D,2020-05-28,jue 28 mayo,1:29:33,https://ca.bbcollab.com/recording/33f62ce0841b49c3a8eeadb6bbc07557
Nivelación en Lenguaje,D,2020-06-02,CLASE 02/06,1:17:37,https://ca.bbcollab.com/recording/66d12400a3ac41f4a3d8161bfd72c06d
Nivelación en Lenguaje,D,2020-06-04,jueves 4 junio,1:28:45,https://ca.bbcollab.com/recording/4b50f6adf8c6425aaa4f9510dd8ad4dd
Nivelación en Lenguaje,D,2020-06-09,martes 9 junio,1:47:44,https://ca.bbcollab.com/recording/f5e81c504c0641bb8d21f5361e94aa01
Nivelación en Lenguaje,D,2020-06-11,jueves 11 junio,1:31:56,https://ca.bbcollab.com/recording/e1b5156081bc4505b6f660e831c35873
Nivelación en Lenguaje,D,2020-06-16,MARTES 16 JUNIO,1:21:35,https://ca.bbcollab.com/recording/9394ee1ab2e64488a0e1fe3755629a38
Nivelación en Lenguaje,D,2020-06-18,jueves 18 junio,1:31:18,https://ca.bbcollab.com/recording/3db637f123034faa97abedae55c29a8b
Nivelación en Lenguaje,D,2020-06-23,JUEVES 23 JUNIO,1:38:46,https://ca.bbcollab.com/recording/fccb5ca82b5e4038bb85556939e191ed
Nivelación en Lenguaje,D,2020-06-25,JUEVES 25 JUNIO,1:31:16,https://ca.bbcollab.com/recording/21bae9f106394f1783df8153d26529fd
Nivelación en Lenguaje,D,2020-06-30,martes 30 junio,1:21:32,https://ca.bbcollab.com/recording/85d074cf8cec4770bbb78e3098fc19b9
Nivelación en Lenguaje,D,2020-07-07,martes 7 julio,1:34:05,https://ca.bbcollab.com/recording/869c47215979494098695f4971621de3
Nivelación en Lenguaje,D,2020-07-09,JUEVES 9 JULIO,1:30:35,https://ca.bbcollab.com/recording/1baeeb77114f4621a6eadf01fe69c61c
Nivelación en Lenguaje,D,2020-07-09,JUEVES 9 JULIO,1:30:35,https://ca.bbcollab.com/recording/1baeeb77114f4621a6eadf01fe69c61c
