Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Nivelación en Lenguaje,E,2020-03-31,Presentación del curso y primera sesión,1:44:45,https://ca.bbcollab.com/recording/49ebb917da5d41969250b1d446f41ef5
Nivelación en Lenguaje,E,2020-04-02,Segunda sesión: Sintagma nominal y regla general de acentuación,1:35:31,https://ca.bbcollab.com/recording/2775a2cd799a4da98cdcfff1f3e9c212
Nivelación en Lenguaje,E,2020-04-07,Sesión 3: adjetivo y artículo,1:28:02,https://ca.bbcollab.com/recording/c29e54c4104e440da93baa8780beab23
Nivelación en Lenguaje,E,2020-04-14,Sesión 5: concordancia nominal y estructura del sujeto,1:12:32,https://ca.bbcollab.com/recording/f603e6c18e4e452788d445ecc36dac68
Nivelación en Lenguaje,E,2020-04-16,Sesión 6: modificadores de NS y esquema de niveles,1:33:28,https://ca.bbcollab.com/recording/872535c75b324cca9aa2b0dd010b3d3d
Nivelación en Lenguaje,E,2020-04-21,Sesión 7: concordancia nominal y repaso,1:34:02,https://ca.bbcollab.com/recording/a7c65f9c0346440398221e6745c47756
Nivelación en Lenguaje,E,2020-04-28,Sesión 8: introducción al pronombre,1:37:07,https://ca.bbcollab.com/recording/dd08cfa56ffe4d909e180fd1cfa1fb15
Nivelación en Lenguaje,E,2020-04-30,Sesión 9: pronombre y uso de la coma,1:42:05,https://ca.bbcollab.com/recording/1ac2516a219341fb94c105be7ea0bf94
Nivelación en Lenguaje,E,2020-05-05,Sesión 10: repaso del pronombre y nexos,1:33:19,https://ca.bbcollab.com/recording/f149ecf2eac24e309072c81cdfad1e06
Nivelación en Lenguaje,E,2020-05-12,Sesión 11:  nexos,1:25:41,https://ca.bbcollab.com/recording/85db044e1bae47fca61296305d5674bc
Nivelación en Lenguaje,E,2020-05-14,Sesión 12: revisión de PC2 y repaso,1:31:42,https://ca.bbcollab.com/recording/dd7ada3e49fb469682722aef797e740e
Nivelación en Lenguaje,E,2020-05-26,"Sesión 13: oración, proposición y frase",1:25:57,https://ca.bbcollab.com/recording/fee574e61a0b47a8a70b53fa2a2e7a78
Nivelación en Lenguaje,E,2020-05-28,Sesión 14: verbo,1:25:12,https://ca.bbcollab.com/recording/9f38c4848eea45aea41b2c2b5dc551ec
Nivelación en Lenguaje,E,2020-06-02,Sesión 15: examen de los tiempos verbales,1:28:36,https://ca.bbcollab.com/recording/8f7409371f654c98ab761dabca9531aa
Nivelación en Lenguaje,E,2020-06-04,Sesión 16: verboides y modificadores del núcleo del predicado,1:44:59,https://ca.bbcollab.com/recording/ef896a515a84484aa0ce826a67a19be2
Nivelación en Lenguaje,E,2020-06-09,Sesión 17: modificadores del verbo y repaso,1:40:03,https://ca.bbcollab.com/recording/9217341dd1b94ee4b63b8c64ed5f6bc1
Nivelación en Lenguaje,E,2020-06-11,"Tercera práctica calificada, sección E",1:41:52,https://ca.bbcollab.com/recording/fd4377c381b240e7a1d7170d9f0fb7e3
Nivelación en Lenguaje,E,2020-06-16,Sesión 18: la circunstancia del NP,2:21:10,https://ca.bbcollab.com/recording/15f14b63fc964186ac4f3eb9d41feae4
Nivelación en Lenguaje,E,2020-06-18,Sesión 19: circunstancias del NP,1:44:29,https://ca.bbcollab.com/recording/33029da473e7433a8a5d1a7cbbcb1842
Nivelación en Lenguaje,E,2020-06-23,Sesión 20: predicativos y voz pasiva,1:37:38,https://ca.bbcollab.com/recording/5bc94d83c25c41e2b2afe0d2bdaacb9d
Nivelación en Lenguaje,E,2020-06-25,Sesión 21: predicativo objetivo y voz pasiva,1:39:27,https://ca.bbcollab.com/recording/6746390af7634d6ca51a289c5ecc66ef
Nivelación en Lenguaje,E,2020-06-30,Sesión 22: pasiva refleja. Convertibilidad de las voces oracionales,1:39:18,https://ca.bbcollab.com/recording/4e3ac36a586f4e3cbaa0975b1ea07046
Nivelación en Lenguaje,E,2020-07-02,"PC4 de Lenguaje 1, sección E",0:00:08,https://ca.bbcollab.com/recording/04ff00d4ba1f47fc9843d77d7f9c5b1b
Nivelación en Lenguaje,E,2020-07-07,Semana final: ortografía,2:02:23,https://ca.bbcollab.com/recording/04bc48e5f5e046638b1ab9eb93ecac6a
Nivelación en Lenguaje,E,2020-07-09,Clase final,1:36:14,https://ca.bbcollab.com/recording/dcc2c5995f0c42febfd26adfb2227c3f
Nivelación en Lenguaje,E,2020-07-09,Clase final,1:36:14,https://ca.bbcollab.com/recording/dcc2c5995f0c42febfd26adfb2227c3f
