Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Nivelación en Lenguaje,J,2020-03-31,Presentación del curso y primera sesión del curso,1:36:54,https://ca.bbcollab.com/recording/5c5e57a0a60b4b1ca89bee1c3ef23408
Nivelación en Lenguaje,J,2020-04-02,Segunda sesión: Sintagma nominal y regla general de acentuación,1:38:20,https://ca.bbcollab.com/recording/2150e9257a644dd489dab82d943d7c4b
Nivelación en Lenguaje,J,2020-04-07,Sesión 3: adjetivo y artículo,1:48:24,https://ca.bbcollab.com/recording/19fe7412355b4fb78a4fb9053042aebd
Nivelación en Lenguaje,J,2020-04-14,Sesión 5: concordancia nominal y estructura del sujeto,1:38:02,https://ca.bbcollab.com/recording/0c4d16cd6ba04aedad218d55e36405ae
Nivelación en Lenguaje,J,2020-04-16,Sesión 6: modificadores de NS y esquema de niveles,1:38:21,https://ca.bbcollab.com/recording/ea39dba343c44a5a8734781c131de87f
Nivelación en Lenguaje,J,2020-04-21,Sesión 7: concordancia nominal y repaso,1:43:01,https://ca.bbcollab.com/recording/2487191d3b524b95aee9b14043a8ccf4
Nivelación en Lenguaje,J,2020-04-28,Sesión 8: introducción al pronombre,1:43:37,https://ca.bbcollab.com/recording/29e12f6495b04f6987e8172a763d3a2e
Nivelación en Lenguaje,J,2020-04-30,Sesión 9: pronombre y uso de la coma,1:31:04,https://ca.bbcollab.com/recording/a3eb20577b9b4882a85ab33c1cb1853c
Nivelación en Lenguaje,J,2020-05-05,Sesión 10: repaso de pronombres y nexos,1:41:02,https://ca.bbcollab.com/recording/f44c954ec83a47529d9df2a15b9b1c42
Nivelación en Lenguaje,J,2020-05-12,Sesión 11: nexos,1:39:04,https://ca.bbcollab.com/recording/73fff9498f234147920dbc86ec035a1f
Nivelación en Lenguaje,J,2020-05-14,Sesión 12: revisión de PC2 y repaso,1:20:48,https://ca.bbcollab.com/recording/57590a5de9bf46edb74af320ccb6ef18
Nivelación en Lenguaje,J,2020-05-26,"Sesión 13: oración, proposición y frase",1:32:53,https://ca.bbcollab.com/recording/91c3a0efc6ed4d74bccd9c873de77efa
Nivelación en Lenguaje,J,2020-05-28,Sesión 14: el verbo,1:37:51,https://ca.bbcollab.com/recording/a59b1b36f2b8481e934e8588a06f81e6
Nivelación en Lenguaje,J,2020-06-02,Sesión 15: examen de los tiempos verbales,1:35:37,https://ca.bbcollab.com/recording/6cf6b1935e4d4b0a95a76d7c945c24c3
Nivelación en Lenguaje,J,2020-06-04,Sesión 16: verboides y modificadores del núcleo del predicado,1:45:49,https://ca.bbcollab.com/recording/63d7588797c340c19cc8ea4f7b1dbbca
Nivelación en Lenguaje,J,2020-06-09,Sesión 17: modificadores del verbo y repaso,1:45:56,https://ca.bbcollab.com/recording/a02e73f7f67f4f1cb187224ed4eee5d7
Nivelación en Lenguaje,J,2020-06-11,"Tercera práctica calificada, sección J",1:11:28,https://ca.bbcollab.com/recording/086f5d21dfb6405a8c8c39de54381692
Nivelación en Lenguaje,J,2020-06-16,Sesión 18: circunstancia del NP,1:49:11,https://ca.bbcollab.com/recording/e2fb5ca492c646b188aac2e73db74bb2
Nivelación en Lenguaje,J,2020-06-18,Sesión 19: circunstancias del NP,1:43:44,https://ca.bbcollab.com/recording/f65a0fdb24da4f2599f54116b76c20f9
Nivelación en Lenguaje,J,2020-06-23,Sesión 20: predicativo subjetivo,1:38:45,https://ca.bbcollab.com/recording/26e3dbe1342542bd83414d2bf4b5753e
Nivelación en Lenguaje,J,2020-06-25,Sesión 21: predicativo objetivo y voz pasiva,1:43:19,https://ca.bbcollab.com/recording/9c50f3ee25c94be0bb6dc2280b5c5ffe
Nivelación en Lenguaje,J,2020-06-30,Sesión 22: pasiva refleja. Convertibilidad de las voces oracionales,1:33:50,https://ca.bbcollab.com/recording/2c09a19e0a504fbd94a456baf6fc0fa3
Nivelación en Lenguaje,J,2020-07-02,"PC4 de Nivelación en Lenguaje, sección J",0:00:05,https://ca.bbcollab.com/recording/3576123f497549fd96fa0f0996677cba
Nivelación en Lenguaje,J,2020-07-07,Semana final: ortografía,1:37:45,https://ca.bbcollab.com/recording/57b2b7267c514b5d89434a7267e1e415
Nivelación en Lenguaje,J,2020-07-09,Clase final,0:00:08,https://ca.bbcollab.com/recording/0a10d7bdaa304de48826459ac271b1d0
Nivelación en Lenguaje,J,2020-07-09,Clase final,0:00:08,https://ca.bbcollab.com/recording/0a10d7bdaa304de48826459ac271b1d0
Nivelación en Lenguaje,J,2020-07-09,Clase final,0:01:35,https://ca.bbcollab.com/recording/aa4cb32a9c984325a01cc43d151dfea7
Nivelación en Lenguaje,J,2020-07-09,Clase final,0:01:35,https://ca.bbcollab.com/recording/aa4cb32a9c984325a01cc43d151dfea7
