Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Nivelación en Matemáticas,G,2020-03-31,Nive Sección G,2:49:02,https://ca.bbcollab.com/recording/20904ce0c2dd46c190d60cfdf4858231
Nivelación en Matemáticas,G,2020-04-03,Nive Sección G,1:40:11,https://ca.bbcollab.com/recording/fe3dd3e3007c4079b94ce87cca747065
Nivelación en Matemáticas,G,2020-04-07,Nive Sección G,2:35:56,https://ca.bbcollab.com/recording/ab78b3c2040c402fa6819c85c7ff7586
Nivelación en Matemáticas,G,2020-04-10,Nive Sección G,1:34:19,https://ca.bbcollab.com/recording/9e295c78638e4baf8620cbc054ff4093
Nivelación en Matemáticas,G,2020-04-14,Nive Sección G,2:40:50,https://ca.bbcollab.com/recording/d506493940a5476abe9d20fe641cb836
Nivelación en Matemáticas,G,2020-04-17,Nive Sección G,1:40:09,https://ca.bbcollab.com/recording/68c2833f890c4dd4998e1b44767570e3
Nivelación en Matemáticas,G,2020-04-21,Nive Sección G,2:45:35,https://ca.bbcollab.com/recording/777e36a2ca0447dd8b66f2bd70739109
Nivelación en Matemáticas,G,2020-04-28,Nive Sección G,2:34:22,https://ca.bbcollab.com/recording/52fc121909964b8f9267cb009d08ca5e
Nivelación en Matemáticas,G,2020-05-01,Nive Sección G,1:36:37,https://ca.bbcollab.com/recording/d8288de203ee42a6a20dd9230ff497f6
Nivelación en Matemáticas,G,2020-05-05,Nive Sección G,2:28:00,https://ca.bbcollab.com/recording/2634f54dac78456496829a197f69d55e
Nivelación en Matemáticas,G,2020-05-08,Nive Sección G,1:31:58,https://ca.bbcollab.com/recording/6231c27ddcd34446b266c72c7ea3fa87
Nivelación en Matemáticas,G,2020-05-12,Nive Sección G,2:30:51,https://ca.bbcollab.com/recording/ff37ee4bd0124b2ea9579c2d602085dd
Nivelación en Matemáticas,G,2020-05-15,Nive Sección G,1:31:07,https://ca.bbcollab.com/recording/1a5dc6bde1c541a89ded0f272e1daf22
Nivelación en Matemáticas,G,2020-05-26,Nive Sección G,2:40:44,https://ca.bbcollab.com/recording/c1571031587a4de188d2f0269cc62b39
Nivelación en Matemáticas,G,2020-05-29,Nive Sección G,1:38:59,https://ca.bbcollab.com/recording/90c2310b045f456abd2a5737ee503ebe
Nivelación en Matemáticas,G,2020-06-02,Nive Sección G,2:42:04,https://ca.bbcollab.com/recording/172da7d7ace14fd1a62341c947aee694
Nivelación en Matemáticas,G,2020-06-05,Nive Sección G,1:47:45,https://ca.bbcollab.com/recording/ba39f345ed0d42adad3b1ab2ba8099c4
Nivelación en Matemáticas,G,2020-06-09,Nive Sección G,2:44:27,https://ca.bbcollab.com/recording/66b8d602d61242ad9cc040cbecd11ec8
Nivelación en Matemáticas,G,2020-06-12,Nive Sección G,1:41:39,https://ca.bbcollab.com/recording/e67e7c3af9514de69ce606a879ed8df5
Nivelación en Matemáticas,G,2020-06-16,Nive Sección G,2:49:55,https://ca.bbcollab.com/recording/6426767c14804e1397e21131f3e8ca25
Nivelación en Matemáticas,G,2020-06-23,Nive Sección G,2:38:21,https://ca.bbcollab.com/recording/6db7d468044f4895a5d8c33435b7d943
Nivelación en Matemáticas,G,2020-06-26,Nive Sección G,1:36:35,https://ca.bbcollab.com/recording/682857d3567340889b4d7d2df7b59a30
Nivelación en Matemáticas,G,2020-06-30,Nive Sección G,2:43:40,https://ca.bbcollab.com/recording/49ac42b3693548b68158b0518e3a81ff
Nivelación en Matemáticas,G,2020-07-03,Nive Sección G,1:39:46,https://ca.bbcollab.com/recording/fb27851bca2e4432b05a8439c230b635
Nivelación en Matemáticas,G,2020-07-07,Nive Sección G,2:44:45,https://ca.bbcollab.com/recording/d111b1ae0cf140b1b92d7d2905b14cf4
Nivelación en Matemáticas,G,2020-07-10,Nive Sección G,1:55:03,https://ca.bbcollab.com/recording/d98238e588ef416f812dcd2ad35193b5
Nivelación en Matemáticas,G,2020-07-10,Nive Sección G,1:55:03,https://ca.bbcollab.com/recording/d98238e588ef416f812dcd2ad35193b5
