Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Organización Industrial,C,2020-04-02,PD1: Competition and Consumer Protection in the Collaborative Economy,1:05:36,https://ca.bbcollab.com/recording/74e2829b23bd4f8db4ce52abe3358816
Organización Industrial,C,2020-04-02,Session #1 (Thursday 02.04),1:34:06,https://ca.bbcollab.com/recording/72e797fb0cb9452f80baff027ebbeeee
Organización Industrial,C,2020-04-03,Session #2 (Friday 03.04),1:41:38,https://ca.bbcollab.com/recording/91c3ee2f684d435798f263a4a6a4f31b
Organización Industrial,C,2020-04-16,PD2: Market Power & Regulation (Ohio v. Amex Case),1:00:30,https://ca.bbcollab.com/recording/ab43b8fa00944291be19b42a838ca393
Organización Industrial,C,2020-04-16,Sessions 3&4 (Thursday 15.04),1:46:27,https://ca.bbcollab.com/recording/40062ca3aa244f6ea34ba8e96cf18825
Organización Industrial,C,2020-04-17,Session #4 (Friday 17.04),1:47:50,https://ca.bbcollab.com/recording/02b4fe72defe4d56a81847af6be07201
Organización Industrial,C,2020-04-23,"PD3: Merging, Competition and Market Power Index",0:55:07,https://ca.bbcollab.com/recording/1c4359e6fcb84279a1e501a4d5c6c9fd
Organización Industrial,C,2020-04-23,Session 5 (Thursday April 23rd),1:49:17,https://ca.bbcollab.com/recording/35c9bd3d4f4d44dcb4df00139c332f36
Organización Industrial,C,2020-04-24,"Session #6 (Friday, April 24th)",1:45:03,https://ca.bbcollab.com/recording/19e90c8287ac477f8cdf3c5cb40a1925
Organización Industrial,C,2020-04-30,PD4: Tacit Collusion and Dynamic Price Competition,0:46:26,https://ca.bbcollab.com/recording/dce5ec86336b43498b12e44ffc43597c
Organización Industrial,C,2020-04-30,Session 7 (Thursday April 30th),1:36:05,https://ca.bbcollab.com/recording/fca0ebdcc03c47a7a6d875b5f0832a9b
Organización Industrial,C,2020-05-07,Session 8 (Thursday May 7th),1:37:38,https://ca.bbcollab.com/recording/d89fe07ccaff4591aa7dd0ab5549ea1a
Organización Industrial,C,2020-05-08,Session 9 (Friday May 8th),1:37:47,https://ca.bbcollab.com/recording/9cf7c14412824505be3ce55bd737a852
Organización Industrial,C,2020-05-14,PD5: Spatial Differentiation,1:17:53,https://ca.bbcollab.com/recording/a4d17023953b4058b7d7b6693cd6c6c2
Organización Industrial,C,2020-05-14,"Session 10 (Thursday, May 14th)",1:39:53,https://ca.bbcollab.com/recording/2916b45e4874499ea9d92426ad0238a3
Organización Industrial,C,2020-05-15,"Session 11 (Friday, May 15th)",1:41:40,https://ca.bbcollab.com/recording/d29058356a6a4363bfb3867a4d0e00d7
Organización Industrial,C,2020-05-28,PD7 - Taxonomy of Business Strategy,0:54:48,https://ca.bbcollab.com/recording/bf3a4bf9762843c68d913dd522721ca6
Organización Industrial,C,2020-05-28,"Session 12 (Thursday, May 28th)",1:49:11,https://ca.bbcollab.com/recording/3b2c15a9040947198410c078203f52ba
Organización Industrial,C,2020-05-29,"Session 12 (Friday, May 28th)",1:40:51,https://ca.bbcollab.com/recording/408e16ea3cc6473a9834770e943b82c5
Organización Industrial,C,2020-06-04,PD8 - Advertising & R&D Intensity,0:40:42,https://ca.bbcollab.com/recording/34a4e6525ded403b855a97d081e28cc5
Organización Industrial,C,2020-06-04,Session #14 (Thursday June 4th),1:43:01,https://ca.bbcollab.com/recording/318f44822c4e46feaf16990dc2c41225
Organización Industrial,C,2020-06-05,Session 15 (Friday June 6th),1:37:13,https://ca.bbcollab.com/recording/67400a0ac1d44c43b2350e6c26c5417b
