Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Pensamiento Social Contemporáneo,D,2020-04-02,1ra. sesión D,0:55:58,https://ca.bbcollab.com/recording/34d27d59c3b84fa5ab1887bcf5117dea
Pensamiento Social Contemporáneo,D,2020-04-02,1ra. sesión D,0:45:43,https://ca.bbcollab.com/recording/62ef7996bfbb426b89ba10664eff51ec
Pensamiento Social Contemporáneo,D,2020-04-02,1ra. sesión D,0:21:26,https://ca.bbcollab.com/recording/f5ffa5949a2940c79c9a391c9b40bef9
Pensamiento Social Contemporáneo,D,2020-04-09,2da. sesión D,0:09:53,https://ca.bbcollab.com/recording/67aa1b25fcb14103ad4634a5861cccd1
Pensamiento Social Contemporáneo,D,2020-04-09,2da. sesión D,0:57:45,https://ca.bbcollab.com/recording/bce8009c1b7b4792921bd1d3d29f919b
Pensamiento Social Contemporáneo,D,2020-04-16,3ra. sesión fin Byung-Chul Han y Touraine,1:02:14,https://ca.bbcollab.com/recording/4019632f7eaf415c8ea5a3f8988e543a
Pensamiento Social Contemporáneo,D,2020-04-16,3ra. sesión fin Byung-Chul Han y Touraine,0:48:52,https://ca.bbcollab.com/recording/797c0138c9c34d7ea109fe6678ab7313
Pensamiento Social Contemporáneo,D,2020-04-23,4ta. Sesión D Expo. Touraine y Presentación P. Sibilia,1:21:10,https://ca.bbcollab.com/recording/2efd2a3903944127b0c2a5b44d7902fb
Pensamiento Social Contemporáneo,D,2020-04-23,4ta. Sesión D Expo. Touraine y Presentación P. Sibilia,1:02:34,https://ca.bbcollab.com/recording/8ee2889775394943b5d68c690513fda2
Pensamiento Social Contemporáneo,D,2020-04-30,5ta. Sesión. Sibilia (caps. 2 y 5),0:54:19,https://ca.bbcollab.com/recording/4c6cf1af132a43299c31630e98b7a4fb
Pensamiento Social Contemporáneo,D,2020-04-30,5ta. Sesión. Sibilia (caps. 2 y 5),0:57:40,https://ca.bbcollab.com/recording/b743e777ba9d408ba52090d0ec47e074
Pensamiento Social Contemporáneo,D,2020-05-07,6ta. Sesión Elizabeth Jelin,1:37:51,https://ca.bbcollab.com/recording/030bdc52c85144d38505afabbe60de37
Pensamiento Social Contemporáneo,D,2020-05-07,6ta. Sesión Elizabeth Jelin,0:43:47,https://ca.bbcollab.com/recording/6a4008a2ec524e3f8f36b3aeaf8e5f16
Pensamiento Social Contemporáneo,D,2020-05-14,7ma. sesión Control de lectura,1:40:41,https://ca.bbcollab.com/recording/42ec1ff1812b4830bf268ffb83734915
Pensamiento Social Contemporáneo,D,2020-05-28,9na. sesión D Portocarrero y Magallanes,2:45:17,https://ca.bbcollab.com/recording/061401abfe4d432999599dd32439e8ef
Pensamiento Social Contemporáneo,D,2020-06-04,10 sesión Lipovetsky-Serroy,0:20:40,https://ca.bbcollab.com/recording/6999bc2f16864c72a6ee0ca2111b3faa
Pensamiento Social Contemporáneo,D,2020-06-04,10 sesión Lipovetsky-Serroy,1:45:56,https://ca.bbcollab.com/recording/fd1a4122113b4491ae5db0e5f6f88070
Pensamiento Social Contemporáneo,D,2020-06-11,11ma. sesión.  Manuel Castells,0:45:22,https://ca.bbcollab.com/recording/06ed11f782314ceeb9c60cac151de72f
Pensamiento Social Contemporáneo,D,2020-06-11,11ma. sesión.  Manuel Castells,0:00:18,https://ca.bbcollab.com/recording/be2239181d9e4deca01d63036635cfbc
Pensamiento Social Contemporáneo,D,2020-06-18,D 12ma. sesión Zuboff,2:59:47,https://ca.bbcollab.com/recording/3824cd5dcc3946c4ae8f34e1e89a289a
Pensamiento Social Contemporáneo,D,2020-06-25,13ra. sesión Oreskes & Conway,1:16:01,https://ca.bbcollab.com/recording/1dfe0a1b3afb4fde8e7ac6cebfc09191
Pensamiento Social Contemporáneo,D,2020-06-25,13ra. sesión Oreskes & Conway,1:06:16,https://ca.bbcollab.com/recording/519658f54d0d4b28868ad78c69257a8a
Pensamiento Social Contemporáneo,D,2020-07-02,14ta. sesión Yuval Harari,1:06:28,https://ca.bbcollab.com/recording/072e4c3e4fbe4de89362b48451674160
Pensamiento Social Contemporáneo,D,2020-07-02,14ta. sesión Yuval Harari,1:23:06,https://ca.bbcollab.com/recording/5be21442f3f74a14924891d0bf7d994f
Pensamiento Social Contemporáneo,D,2020-07-09,15TA. SESIÓN CONTROL DE LECTURA 2,2:48:46,https://ca.bbcollab.com/recording/698101393bef47afac19de2c9ec96f65
