Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Pensamiento Social Contemporáneo,G,2020-03-31,Pensamiento - G,1:57:01,https://ca.bbcollab.com/recording/a7a95dfb78904e8b98e751db1fb43b9b
Pensamiento Social Contemporáneo,G,2020-04-07,Pensamiento - G,2:20:21,https://ca.bbcollab.com/recording/f35b6125827b4775a07a7dd029fb095c
Pensamiento Social Contemporáneo,G,2020-04-14,Pensamiento - G,2:44:17,https://ca.bbcollab.com/recording/32f73601785b411daef3a31d5911ac8b
Pensamiento Social Contemporáneo,G,2020-04-21,Pensamiento - G,2:51:21,https://ca.bbcollab.com/recording/64c091705f2a418e9ffaa6d5f548a945
Pensamiento Social Contemporáneo,G,2020-04-28,Pensamiento - G,1:53:07,https://ca.bbcollab.com/recording/dcd91cc02f3f45bebc5de320be9a7fdd
Pensamiento Social Contemporáneo,G,2020-05-05,Pensamiento - G,2:08:33,https://ca.bbcollab.com/recording/9dff0fe409c648bd8f315005b199ef4d
Pensamiento Social Contemporáneo,G,2020-05-12,Pensamiento - G,2:10:29,https://ca.bbcollab.com/recording/ef26092f8bed41cba9c83c917546df79
Pensamiento Social Contemporáneo,G,2020-05-26,Pensamiento - G,2:47:26,https://ca.bbcollab.com/recording/9d97578d4eb14b769ef16e29be480185
Pensamiento Social Contemporáneo,G,2020-06-02,Pensamiento - G,1:43:52,https://ca.bbcollab.com/recording/fbc4e511f4b9414a82185f2071dfda80
Pensamiento Social Contemporáneo,G,2020-06-16,Pensamiento - G,2:08:07,https://ca.bbcollab.com/recording/3cc3ed01d1ac474b8413eee2a3c859d0
Pensamiento Social Contemporáneo,G,2020-06-23,Pensamiento - G,2:15:53,https://ca.bbcollab.com/recording/447417518289438e88bccac4c5fb6ca4
Pensamiento Social Contemporáneo,G,2020-06-30,Pensamiento - G,0:02:04,https://ca.bbcollab.com/recording/6224c7086fa040eab62d519630b2a9a9
Pensamiento Social Contemporáneo,G,2020-07-07,Pensamiento - G,1:43:37,https://ca.bbcollab.com/recording/21027636d53d40c7a0e10704390010ac
