Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Pensamiento Social Contemporáneo,H,2020-04-01,Pensamiento - H,2:21:26,https://ca.bbcollab.com/recording/1e8756ec4a6a45fb9381e848cbd6d636
Pensamiento Social Contemporáneo,H,2020-04-08,Pensamiento - H,2:18:59,https://ca.bbcollab.com/recording/76c187c32bf940c8b96e209397c3a1a4
Pensamiento Social Contemporáneo,H,2020-04-15,Pensamiento - H,2:46:59,https://ca.bbcollab.com/recording/ae92b113e26e40e7ab8bd077beb877f5
Pensamiento Social Contemporáneo,H,2020-04-22,Pensamiento - H,3:02:41,https://ca.bbcollab.com/recording/fb4d62db67d44080949fce8281bdd9e9
Pensamiento Social Contemporáneo,H,2020-04-29,Pensamiento - H,1:46:00,https://ca.bbcollab.com/recording/2aee599ee4524d6999a507b3235f4488
Pensamiento Social Contemporáneo,H,2020-05-06,Pensamiento - H,2:18:52,https://ca.bbcollab.com/recording/9efadaed53b448d3ae1a5ff622849c18
Pensamiento Social Contemporáneo,H,2020-05-13,Pensamiento - H,2:27:18,https://ca.bbcollab.com/recording/45b9657050744cdd894db37038c38ef0
Pensamiento Social Contemporáneo,H,2020-05-27,Pensamiento - H,2:01:25,https://ca.bbcollab.com/recording/7f660217f74f4f16b3ec9ef79dcfae66
Pensamiento Social Contemporáneo,H,2020-06-03,Pensamiento - H,2:40:16,https://ca.bbcollab.com/recording/ffdedc377fa14c788cbf1b60f80d1181
Pensamiento Social Contemporáneo,H,2020-06-17,Pensamiento - H,2:58:29,https://ca.bbcollab.com/recording/43bb9d94429d453abc39c7a62337154b
Pensamiento Social Contemporáneo,H,2020-06-24,Pensamiento - H,2:03:41,https://ca.bbcollab.com/recording/ab0313468af1487ebc28acb4247d72bc
Pensamiento Social Contemporáneo,H,2020-07-01,Pensamiento - H,0:32:13,https://ca.bbcollab.com/recording/e05529dc55dd49f1b3737f22b51fdf05
Pensamiento Social Contemporáneo,H,2020-07-08,Pensamiento - H,1:44:15,https://ca.bbcollab.com/recording/0e672af003924525a595b293d504aa6a
Pensamiento Social Contemporáneo,H,2020-07-08,Pensamiento - H,1:44:15,https://ca.bbcollab.com/recording/0e672af003924525a595b293d504aa6a
