Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Pensamiento Social Contemporáneo,I,2020-04-02,Sesion: 2-4-2020,1:22:14,https://ca.bbcollab.com/recording/3503bb57f17c44beac3d05b808a3ca1c
Pensamiento Social Contemporáneo,I,2020-04-02,Sesion: 2-4-2020,1:11:04,https://ca.bbcollab.com/recording/85d71da43b5949c9ad0fb194a4ace902
Pensamiento Social Contemporáneo,I,2020-04-16,Sesión 16-4-2020,1:19:54,https://ca.bbcollab.com/recording/6c908e89601b4b7188339eab7f331bb7
Pensamiento Social Contemporáneo,I,2020-04-23,25-4-2020,2:48:08,https://ca.bbcollab.com/recording/5b16dea1d7b141df9b1adacc9554fdad
Pensamiento Social Contemporáneo,I,2020-04-30,Sesión 30-4-2020,2:36:20,https://ca.bbcollab.com/recording/2a1358e14c4f4261a053da07ba81295d
Pensamiento Social Contemporáneo,I,2020-05-07,Sesión 7-5-2020,0:18:27,https://ca.bbcollab.com/recording/88fffe9b47bc4b00845d409340b61de0
Pensamiento Social Contemporáneo,I,2020-05-14,Sesion 14-5-2020,3:04:36,https://ca.bbcollab.com/recording/60fe1202c4944d598fe8035d2438b2c6
Pensamiento Social Contemporáneo,I,2020-05-22,Examen Parcial,1:57:33,https://ca.bbcollab.com/recording/9880a32c5b194f2d9d9550c0000aa1c3
Pensamiento Social Contemporáneo,I,2020-06-04,Sesión 4-6-2020,1:38:10,https://ca.bbcollab.com/recording/32eb6cdca0664020893272bc9154fe64
Pensamiento Social Contemporáneo,I,2020-06-04,Sesión 4-6-2020,1:00:48,https://ca.bbcollab.com/recording/510619a9728148b583eece8fdcca3777
Pensamiento Social Contemporáneo,I,2020-06-11,Sesión 11-6-2020,2:32:58,https://ca.bbcollab.com/recording/61d37e8a29244bfda1c5f549196ac319
Pensamiento Social Contemporáneo,I,2020-06-18,Sesión 18-6-2020,2:51:08,https://ca.bbcollab.com/recording/9f3c9a949e5740cfa047dca9547048e7
Pensamiento Social Contemporáneo,I,2020-06-25,Sesión 25-6-2020,2:50:15,https://ca.bbcollab.com/recording/a4ed7ee17c154350976cf08eb20f9550
Pensamiento Social Contemporáneo,I,2020-07-02,Sesion 2-7-2020,1:06:59,https://ca.bbcollab.com/recording/f4e4481dfb1c4d81bbd8ee7ccc4a323c
Pensamiento Social Contemporáneo,I,2020-07-02,Sesion 2-7-2020,1:06:59,https://ca.bbcollab.com/recording/f4e4481dfb1c4d81bbd8ee7ccc4a323c
Pensamiento Social Contemporáneo,I,2020-07-09,Sesión 9-7-2020,2:57:39,https://ca.bbcollab.com/recording/7660d3072e4341f19eba703d6d5cb9d7
Pensamiento Social Contemporáneo,I,2020-07-09,Sesión 9-7-2020,2:57:39,https://ca.bbcollab.com/recording/7660d3072e4341f19eba703d6d5cb9d7
