Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Pensamiento Social Contemporáneo,J,2020-04-03,Clase 1 - Introducción al curso,0:02:21,https://ca.bbcollab.com/recording/2e7783978a7a49b1874789497d61a870
Pensamiento Social Contemporáneo,J,2020-04-17,"Clase 2 - Origenes y declive del concepto de ""raza"" (Charles Hirschman)",2:05:45,https://ca.bbcollab.com/recording/6c733c6c1be9408eb08c8e2ecbec668e
Pensamiento Social Contemporáneo,J,2020-04-17,"Clase 2 - Origenes y declive del concepto de ""raza"" (Charles Hirschman)",1:08:29,https://ca.bbcollab.com/recording/fbcd2dcea9924f9dafbc450886282071
Pensamiento Social Contemporáneo,J,2020-05-08,"Clase 4 - Raza y cultura (Marvin Harris, caps. 5 y 9)",2:26:29,https://ca.bbcollab.com/recording/433b505ab9bd4d46a06120fa23db337a
Pensamiento Social Contemporáneo,J,2020-05-08,"Clase 4 - Raza y cultura (Marvin Harris, caps. 5 y 9)",0:10:36,https://ca.bbcollab.com/recording/5f68475513c74becaaba9061ddfb6f8e
Pensamiento Social Contemporáneo,J,2020-05-15,Clase 5 - Racismo y etnicidad en el Perú,2:34:35,https://ca.bbcollab.com/recording/d2a9a97a00ea434eab21da2f6d7afdc1
Pensamiento Social Contemporáneo,J,2020-05-29,"Clase 6 - Desigualdad, inequidad, racismo y modernidad en el Perú: la Reforma Agraria de 1969 (Enrique Mayer)",1:42:13,https://ca.bbcollab.com/recording/063a5e359a684167af93286acdb5c90c
Pensamiento Social Contemporáneo,J,2020-05-29,"Clase 6 - Desigualdad, inequidad, racismo y modernidad en el Perú: la Reforma Agraria de 1969 (Enrique Mayer)",0:22:15,https://ca.bbcollab.com/recording/13d575289e564a14ad492e32ecfed10e
Pensamiento Social Contemporáneo,J,2020-05-29,"Clase 6 - Desigualdad, inequidad, racismo y modernidad en el Perú: la Reforma Agraria de 1969 (Enrique Mayer)",0:26:08,https://ca.bbcollab.com/recording/49ba3c1d02c64c20b383a85478100778
Pensamiento Social Contemporáneo,J,2020-06-05,Clase 7 - Género: masculinidades,2:10:52,https://ca.bbcollab.com/recording/070ae3c5ec6c44bba97a82eb239ac434
Pensamiento Social Contemporáneo,J,2020-06-12,Clase 8 - Género: Feminidades,0:54:20,https://ca.bbcollab.com/recording/8bd9c0ad309b436c89ab441f0c706231
Pensamiento Social Contemporáneo,J,2020-06-19,Clase 9 - Industrialización y feminización del trabajo,0:01:11,https://ca.bbcollab.com/recording/a51eb604dfb442f5922dc22749f46bd0
Pensamiento Social Contemporáneo,J,2020-06-19,Clase 9 - Industrialización y feminización del trabajo,1:41:49,https://ca.bbcollab.com/recording/d5aa0ebc36994427b9a67851fba30b14
Pensamiento Social Contemporáneo,J,2020-06-26,Clase 10 - Sexualidades,0:42:47,https://ca.bbcollab.com/recording/010fe0ecdfa24950bdbc224609e65735
Pensamiento Social Contemporáneo,J,2020-06-26,Clase 10 - Sexualidades,0:53:20,https://ca.bbcollab.com/recording/e4efc71c96414416a8685e0fb6912f53
Pensamiento Social Contemporáneo,J,2020-07-03,Clase 11 - Género y activismo ambiental,0:37:25,https://ca.bbcollab.com/recording/00082cbe610a4165bc8e3d745d3daf60
Pensamiento Social Contemporáneo,J,2020-07-03,Clase 11 - Género y activismo ambiental,0:14:59,https://ca.bbcollab.com/recording/158f78e243434cfd843bc196fb110fa7
Pensamiento Social Contemporáneo,J,2020-07-03,Clase 11 - Género y activismo ambiental,0:27:11,https://ca.bbcollab.com/recording/20fe33152671442582aee6ef3db4bed0
Pensamiento Social Contemporáneo,J,2020-07-10,Clase 12 - Género y política,0:24:26,https://ca.bbcollab.com/recording/1b31f0d1f22c41e7905b05c3ff28a152
Pensamiento Social Contemporáneo,J,2020-07-10,Clase 12 - Género y política,0:24:26,https://ca.bbcollab.com/recording/1b31f0d1f22c41e7905b05c3ff28a152
Pensamiento Social Contemporáneo,J,2020-07-10,Clase 12 - Género y política,0:23:21,https://ca.bbcollab.com/recording/1c7fff7e37c841309b9c0a362a3203e3
Pensamiento Social Contemporáneo,J,2020-07-10,Clase 12 - Género y política,0:23:21,https://ca.bbcollab.com/recording/1c7fff7e37c841309b9c0a362a3203e3
