Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Pensamiento Social Contemporáneo,K,2020-04-21,PSC - Sesión 4 - GU,2:33:01,https://ca.bbcollab.com/recording/483fbead441546ffa43c03f6303894f8
Pensamiento Social Contemporáneo,K,2020-04-28,Sesión 5 - PSC - GU,2:36:46,https://ca.bbcollab.com/recording/978fcdcb36c146fcad778b84596bae68
Pensamiento Social Contemporáneo,K,2020-05-05,Sesión 6 - PSC - GU,2:35:30,https://ca.bbcollab.com/recording/6ce3851b6700499a88ecd3e0b79083eb
Pensamiento Social Contemporáneo,K,2020-05-12,Sesión 7 - PSC - GU,2:48:44,https://ca.bbcollab.com/recording/70362accc12844cca18a12df9e0ef2d5
Pensamiento Social Contemporáneo,K,2020-05-26,GU - PSC - Sesión 7,2:37:15,https://ca.bbcollab.com/recording/2d0b0c1e5ecd45989f89e8cd779bc316
Pensamiento Social Contemporáneo,K,2020-06-02,GU - PSC - Sesión 11,2:43:32,https://ca.bbcollab.com/recording/005eee31ecd84446bec75e1f1a7a2ac3
Pensamiento Social Contemporáneo,K,2020-06-16,Sesión 9 - PSC - GU,2:13:57,https://ca.bbcollab.com/recording/cf017971e87641fe9e0a8627227d3689
Pensamiento Social Contemporáneo,K,2020-06-23,PSC - sesión 13 GU,2:38:06,https://ca.bbcollab.com/recording/38cff473d31246e6a28d7b69111605a2
Pensamiento Social Contemporáneo,K,2020-06-30,Sesión 15 - PSC - GU,2:46:06,https://ca.bbcollab.com/recording/231383b863714f619381a688d3106db1
Pensamiento Social Contemporáneo,K,2020-06-30,Sesión 15 - PSC - GU,2:46:06,https://ca.bbcollab.com/recording/231383b863714f619381a688d3106db1
Pensamiento Social Contemporáneo,K,2020-07-07,Penúltima clase - PSC - GU,1:36:02,https://ca.bbcollab.com/recording/084fd26a2f5645718ab754cc9349faf7
