Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Planificación de la Publicidad y Medios,A,2020-04-01,"PM1 Miércoles 01/Abril 7,30am",1:39:00,https://ca.bbcollab.com/recording/b912358c2cee4d93b7aa2839d833b01e
Planificación de la Publicidad y Medios,A,2020-04-03,"PM1 Viernes 03/Abril 7,30am",1:31:10,https://ca.bbcollab.com/recording/7ab9d1ff079b4be6ba80c6cdca7a7ab9
Planificación de la Publicidad y Medios,A,2020-04-06,"PM 2 Lunes 6/abril 7,30am",1:26:06,https://ca.bbcollab.com/recording/9694575fc08249bba9fcd056cb2605f0
Planificación de la Publicidad y Medios,A,2020-04-08,"MIércoles 8/Abril 7,30am",1:33:03,https://ca.bbcollab.com/recording/4873584df47f47ee95fb7f784890aead
Planificación de la Publicidad y Medios,A,2020-04-15,"MIércoles 15/Abril 7,30am",1:40:03,https://ca.bbcollab.com/recording/84beab59edd94daaa0d8ac8da666d30b
Planificación de la Publicidad y Medios,A,2020-04-17,Viernes17/abril,0:19:19,https://ca.bbcollab.com/recording/216d3b0402e24151b41110caa9661de5
Planificación de la Publicidad y Medios,A,2020-04-17,Viernes17/abril,1:01:20,https://ca.bbcollab.com/recording/94a9460b269d476983876c35edb0cf06
Planificación de la Publicidad y Medios,A,2020-04-22,"Miércoles 22/Abril 7,30 am",1:32:13,https://ca.bbcollab.com/recording/de94b29039d34363abab69bca975c65d
Planificación de la Publicidad y Medios,A,2020-04-22,"Miércoles 22/Abril 7,30 am",0:00:03,https://ca.bbcollab.com/recording/e806d0282eba44ee806eb369869da6ce
Planificación de la Publicidad y Medios,A,2020-04-24,Viernes 24/abril,1:45:03,https://ca.bbcollab.com/recording/88602e68111640248d99df8a89e124ae
Planificación de la Publicidad y Medios,A,2020-04-27,Lunes 27/Abril,1:39:47,https://ca.bbcollab.com/recording/61a181cb12c84409a2e59b869cfe7fb7
Planificación de la Publicidad y Medios,A,2020-04-29,"Miércoles 29/Abril 7,30 am",1:27:15,https://ca.bbcollab.com/recording/64b385b481614dac8c38e98b9217c991
Planificación de la Publicidad y Medios,A,2020-05-06,"MIERCOLES 6 DE MAYO, 7,30AM",1:59:15,https://ca.bbcollab.com/recording/fbf6aea783fb4786876547a0c450ad50
Planificación de la Publicidad y Medios,A,2020-05-08,"Viernes 8 mayo 7,30am",1:37:49,https://ca.bbcollab.com/recording/d4fe458bb46d47e2b587176dd44eec75
Planificación de la Publicidad y Medios,A,2020-05-13,Miercoles/13 Abril,1:17:38,https://ca.bbcollab.com/recording/510bf42285424bdfb4faca9588f6bf98
Planificación de la Publicidad y Medios,A,2020-05-15,"Viernes 15 de mayo 7,30am",0:23:03,https://ca.bbcollab.com/recording/a92298aa948e4ec8b47ed3fa9efd2525
Planificación de la Publicidad y Medios,A,2020-05-27,"MIércoles 27 mayo 7,30am",1:30:56,https://ca.bbcollab.com/recording/61f4d5b757154763bec87f21e8e3c913
Planificación de la Publicidad y Medios,A,2020-05-29,"Viernes 29 de mayo 7,30am",1:33:38,https://ca.bbcollab.com/recording/4ca5ce5b14b74f28bb13678df0df106b
Planificación de la Publicidad y Medios,A,2020-06-03,"Miércoles 3 junio 7,30am",1:30:48,https://ca.bbcollab.com/recording/ce2fee7a5a284173a53e4d716741a713
Planificación de la Publicidad y Medios,A,2020-06-05,"Viernes 5 de junio 7,30am",1:34:03,https://ca.bbcollab.com/recording/56cde7f6f5cf4c79ae0c07fa77383d34
Planificación de la Publicidad y Medios,A,2020-06-10,"Miércoles 10 de junio 7,30 am",1:33:35,https://ca.bbcollab.com/recording/16a37a0124c844e492b2f21c3b903de2
Planificación de la Publicidad y Medios,A,2020-06-10,"Miércoles 10 de junio 7,30 am",0:29:23,https://ca.bbcollab.com/recording/6ca1983c115f4201a5dee310d28c75ec
