Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Política Económica,B,2020-03-31,Clase 1: Política Económica B,0:05:42,https://ca.bbcollab.com/recording/e8dba6507ee74d3e854ac06261f8c709
Política Económica,B,2020-04-02,Clase 1: Política Económica B,1:24:44,https://ca.bbcollab.com/recording/2506088b14e545ee8c9a9a2d2483da13
Política Económica,B,2020-04-07,PE B CLASE 2,1:50:16,https://ca.bbcollab.com/recording/c2877f4c9802407db64a71b969fa8f8b
Política Económica,B,2020-04-09,Clase 3,1:31:30,https://ca.bbcollab.com/recording/eefe4a306e3c41c585c02e22a61204c8
Política Económica,B,2020-04-14,PE B CLASE 4,1:53:07,https://ca.bbcollab.com/recording/6ae9ffd976784df9b24d157518110058
Política Económica,B,2020-04-16,PE B CLASE 5,1:50:44,https://ca.bbcollab.com/recording/94d310841f164c5b8b862d863571a902
Política Económica,B,2020-04-21,clase PE B martes 21/4,1:51:48,https://ca.bbcollab.com/recording/8ab1d0f8b21c44929f63ae4e3d361268
Política Económica,B,2020-04-23,PE B CLASE 7,1:40:41,https://ca.bbcollab.com/recording/c0b9fa533cdf4d30b24eef30ffd95c00
Política Económica,B,2020-04-28,PE B CLASE 8,1:54:43,https://ca.bbcollab.com/recording/ba8b1d2a1f2f47109b350fd6495045fb
Política Económica,B,2020-04-30,PE B CLASE 9,1:54:27,https://ca.bbcollab.com/recording/10b4a9df7f1b496c8d6c38e7ca4876e4
Política Económica,B,2020-05-05,PE B Clase 10,1:34:41,https://ca.bbcollab.com/recording/0a407677fa8748cb8a1562e209e45eec
Política Económica,B,2020-05-07,PE B CLASE 11,1:35:59,https://ca.bbcollab.com/recording/240d67802da24efd94b455b6d18fdd98
Política Económica,B,2020-05-12,PE B Clase 11,1:49:26,https://ca.bbcollab.com/recording/97be2d5432184b29b6898a3eb213023f
Política Económica,B,2020-05-14,PE B CLASE 12,1:53:53,https://ca.bbcollab.com/recording/3d674e37c6c14c158e3b7418d2a9a569
Política Económica,B,2020-05-26,PE B Clase 13,1:42:41,https://ca.bbcollab.com/recording/b4bd4c88029a40c7abdcaf42592c5169
Política Económica,B,2020-05-28,PE B Clase 14,1:30:15,https://ca.bbcollab.com/recording/af8780b903514f5f823594290ca87bd5
Política Económica,B,2020-06-02,PE B CLASE 15,0:25:07,https://ca.bbcollab.com/recording/55334e3d501b4fb187a5a91ce454a2c8
Política Económica,B,2020-06-02,PE B CLASE 15,1:12:37,https://ca.bbcollab.com/recording/80f47ba81ffe41e2b33c7048a1fc838c
Política Económica,B,2020-06-04,PE B CLASE 16,1:43:48,https://ca.bbcollab.com/recording/d928fc13aba2474abb113d9de3798588
Política Económica,B,2020-06-09,PE B CLASE 17,1:33:04,https://ca.bbcollab.com/recording/cbd82c8130904d289e4a1e7537807bc3
Política Económica,B,2020-06-11,PE B Clase 18,1:39:34,https://ca.bbcollab.com/recording/3b79d944766541f09bb1375d8b1f19d8
Política Económica,B,2020-06-16,Clase PE B 19,2:04:10,https://ca.bbcollab.com/recording/252f08145b44483f814ab0c3e359817f
Política Económica,B,2020-06-18,PE B CLASE 21,1:39:13,https://ca.bbcollab.com/recording/bc21a78cb6894142829c066d1c8be709
Política Económica,B,2020-06-23,Clase PE B 21,1:40:21,https://ca.bbcollab.com/recording/fdfb0f68a13044f78b97854b608907fe
Política Económica,B,2020-06-30,PE CLASE 22,1:47:01,https://ca.bbcollab.com/recording/670634644e514c50a275ac91ab2d24c8
Política Económica,B,2020-07-02,PE B CLASE 22,1:44:18,https://ca.bbcollab.com/recording/63b27f2efa49419e9a1dd7d9bd9e891e
Política Económica,B,2020-07-07,PE B 22,1:39:54,https://ca.bbcollab.com/recording/347afc197a044c1dad0839ccd1223168
Política Económica,B,2020-07-09,PE B 24,2:16:58,https://ca.bbcollab.com/recording/b414e56a679b4ffca12b0f6c241a97ed
Política Económica,B,2020-07-09,PE B 24,2:16:58,https://ca.bbcollab.com/recording/b414e56a679b4ffca12b0f6c241a97ed
