Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Principle of Accounting,A,2020-03-31,Session No 1- 31.03,0:15:31,https://ca.bbcollab.com/recording/1a69504b3ecc4607982f20473bd507d4
Principle of Accounting,A,2020-03-31,Session No 1- 31.03,0:01:37,https://ca.bbcollab.com/recording/2098580381bc4930877418c62eb11ea4
Principle of Accounting,A,2020-03-31,Session No 1- 31.03,0:15:26,https://ca.bbcollab.com/recording/25d43111c96947ac8a24e231e0e32b3d
Principle of Accounting,A,2020-03-31,Session No 1- 31.03,0:09:35,https://ca.bbcollab.com/recording/6736bc3c002147e985edc8fdc1301f79
Principle of Accounting,A,2020-03-31,Session No 1- 31.03,0:02:35,https://ca.bbcollab.com/recording/e6a09bb38abd420eab4a4550169b64c9
Principle of Accounting,A,2020-04-04,Session No 1a- Practice 04.04,0:43:22,https://ca.bbcollab.com/recording/1629cd80968541edbacd8f343e668665
Principle of Accounting,A,2020-04-04,Session No 1a- Practice 04.04,0:10:12,https://ca.bbcollab.com/recording/40a1529ce33d4e19adc7e8a2656edc0c
Principle of Accounting,A,2020-04-04,Session No 1a- Practice 04.04,0:25:08,https://ca.bbcollab.com/recording/ea2e982cf75c4cf6a3b913c1fee3fd47
Principle of Accounting,A,2020-04-07,Session No 2- 07.04,0:01:22,https://ca.bbcollab.com/recording/109214a26eba4cb9b694a01c8ccf09d7
Principle of Accounting,A,2020-04-07,Session No 2- 07.04,0:24:08,https://ca.bbcollab.com/recording/4a07ed5b27ed4a2ebcc7b5daabcbf01a
Principle of Accounting,A,2020-04-07,Session No 2- 07.04,0:45:34,https://ca.bbcollab.com/recording/8aeb764cd8814e35a6e3cf34736158ca
Principle of Accounting,A,2020-04-07,Session No 2- 07.04,0:08:08,https://ca.bbcollab.com/recording/9093031dc3244c4ea778ecfff9342d44
Principle of Accounting,A,2020-04-07,Session No 2- 07.04,0:13:36,https://ca.bbcollab.com/recording/adbbbfa97d2c40369a6525251272d3aa
Principle of Accounting,A,2020-04-18,Session No 3- 18.04,0:54:29,https://ca.bbcollab.com/recording/c61ff546514942c5bffc192746f241e2
Principle of Accounting,A,2020-04-18,Session No 3- 18.04,0:01:30,https://ca.bbcollab.com/recording/d889fcc508714b7facbe12fc77266ddf
Principle of Accounting,A,2020-04-18,Session No 3- 18.04,1:43:26,https://ca.bbcollab.com/recording/ea6c349ba67c4a7f9a5fab1626a33588
Principle of Accounting,A,2020-04-18,Session No 3- 18.04,0:21:51,https://ca.bbcollab.com/recording/f5ab1427d86e490f9846a2724f059030
Principle of Accounting,A,2020-04-21,Session No 4- 21.04,0:48:03,https://ca.bbcollab.com/recording/886348a20abf43de87f14b82464e5422
Principle of Accounting,A,2020-04-21,Session No 4- 21.04,0:08:32,https://ca.bbcollab.com/recording/9130abfc34b641b48e3877abc321d488
Principle of Accounting,A,2020-04-21,Session No 4- 21.04,0:00:54,https://ca.bbcollab.com/recording/a731ea4d86f64f34a043a46ef44c400d
