Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Proyecto Empresarial,A,2020-03-31,Sesiones de clase,1:15:26,https://ca.bbcollab.com/recording/411891db80214fa9b84586e017d945a1
Proyecto Empresarial,A,2020-03-31,Sesiones de clase,1:26:11,https://ca.bbcollab.com/recording/a089275e8cda45f19bc48a209bc8e1ee
Proyecto Empresarial,A,2020-04-02,Charla Recursos de Biblioteca,1:19:39,https://ca.bbcollab.com/recording/0a06811779f74e4e8aaa3f2e1bc6be0f
Proyecto Empresarial,A,2020-04-02,Sesiones de clase,1:15:27,https://ca.bbcollab.com/recording/7be6ca1e4f08401a81a00c13988d5d70
Proyecto Empresarial,A,2020-04-02,Sesiones de clase,0:13:15,https://ca.bbcollab.com/recording/91f5583e22ff4ec69c92ece70719b7e8
Proyecto Empresarial,A,2020-04-07,Sesiones de clase,0:58:44,https://ca.bbcollab.com/recording/0e26692e97c24ee393e25e97d5229628
Proyecto Empresarial,A,2020-04-07,Sesiones de clase,0:42:07,https://ca.bbcollab.com/recording/ab41cc63bbd04a028b3683a2c00ae8ee
Proyecto Empresarial,A,2020-04-14,Sesiones de clase,1:53:35,https://ca.bbcollab.com/recording/8f6aff4697ef4f9db43d32299e999459
Proyecto Empresarial,A,2020-04-16,Sesiones de clase,1:45:32,https://ca.bbcollab.com/recording/9502cd5fb92845d6b8d1ed1f3791268d
Proyecto Empresarial,A,2020-04-16,Sesiones de clase,1:13:49,https://ca.bbcollab.com/recording/e0aabd02a94d4487a6172eec10bddf0e
Proyecto Empresarial,A,2020-04-21,Sesiones de clase,2:01:46,https://ca.bbcollab.com/recording/acac6c439c524406988d9d6b86b64d1a
Proyecto Empresarial,A,2020-04-23,Sesiones de clase,3:06:12,https://ca.bbcollab.com/recording/eabff7c564fa4f8facdad64d26e2a779
Proyecto Empresarial,A,2020-04-28,Sesiones de clase,2:19:45,https://ca.bbcollab.com/recording/ff07766e0d244d3390c112070354b43f
Proyecto Empresarial,A,2020-04-30,Charla Estimación de Demanda,2:16:57,https://ca.bbcollab.com/recording/fafab7fa3eef45d386e0599f78fc6673
Proyecto Empresarial,A,2020-04-30,Sesiones de clase,1:13:23,https://ca.bbcollab.com/recording/21b362b5ae36486d8ccd7fa48c9f9545
Proyecto Empresarial,A,2020-04-30,Sesiones de clase,1:15:51,https://ca.bbcollab.com/recording/c2082877d8164565876b490633d81f01
Proyecto Empresarial,A,2020-05-05,Sesiones de clase,0:10:35,https://ca.bbcollab.com/recording/5b6b6a1b57d8410f85580aaf08ec5696
Proyecto Empresarial,A,2020-05-05,Sesiones de clase,0:06:57,https://ca.bbcollab.com/recording/dd12a8808fed4d2db6c1f920db23db28
Proyecto Empresarial,A,2020-05-07,Sesiones de clase,1:11:47,https://ca.bbcollab.com/recording/49272040a609421e93e352b608a73d7c
Proyecto Empresarial,A,2020-05-07,Sesiones de clase,1:26:34,https://ca.bbcollab.com/recording/8f160aaacaf54b0e9c497a56a73962f2
Proyecto Empresarial,A,2020-05-12,Sesiones de clase,1:04:13,https://ca.bbcollab.com/recording/1d7424e6468d49acbb381e984b53a8cf
Proyecto Empresarial,A,2020-05-12,Sesiones de clase,1:37:11,https://ca.bbcollab.com/recording/c35ba089ab944804a5d25814c152f9c1
Proyecto Empresarial,A,2020-05-14,Sesiones de clase,2:11:08,https://ca.bbcollab.com/recording/7af3cef205e6421a92d231a84368a894
Proyecto Empresarial,A,2020-05-26,Sesiones de clase,3:15:53,https://ca.bbcollab.com/recording/08cf0bcae6564b96867f799c3522f10a
Proyecto Empresarial,A,2020-05-28,Sesiones de clase,3:05:08,https://ca.bbcollab.com/recording/7ebb816eab4f48129afe86d24834dbc1
Proyecto Empresarial,A,2020-06-02,Sesiones de clase,2:14:41,https://ca.bbcollab.com/recording/144c781ecfbc42789020a127d2cca86d
Proyecto Empresarial,A,2020-06-04,Sesiones de clase,2:52:41,https://ca.bbcollab.com/recording/0b2af7d2783448e488fe2d0ec619bfe4
Proyecto Empresarial,A,2020-06-04,Charla costos y presupuestos,1:58:07,https://ca.bbcollab.com/recording/24ab018c0c0f424b877b277b4fa69326
Proyecto Empresarial,A,2020-06-09,Sesiones de clase,2:05:04,https://ca.bbcollab.com/recording/0471a723dd6343f8a90691a4b44a4f3e
Proyecto Empresarial,A,2020-06-09,Sesiones de clase,0:45:21,https://ca.bbcollab.com/recording/b07f4ce2f7d74647b8157d324bfbb51b
Proyecto Empresarial,A,2020-06-11,Sesiones de clase,2:07:04,https://ca.bbcollab.com/recording/a3ad24609ac442e7994c038eaf3b16e2
Proyecto Empresarial,A,2020-06-11,Sesiones de clase,0:49:03,https://ca.bbcollab.com/recording/cd725f013d8841e78bd4528803c9081e
Proyecto Empresarial,A,2020-06-16,Sesiones de clase,1:48:29,https://ca.bbcollab.com/recording/1cade828a4764c8aa645e63e5c35bc18
Proyecto Empresarial,A,2020-06-16,Sesiones de clase,0:03:01,https://ca.bbcollab.com/recording/646c9f4ba33646e6ac1a859880397cc5
Proyecto Empresarial,A,2020-06-18,Sesiones de clase,2:53:31,https://ca.bbcollab.com/recording/4e7db309c3c94eafad5e9b57b0a2fe8b
Proyecto Empresarial,A,2020-06-23,Sesiones de clase,0:30:05,https://ca.bbcollab.com/recording/8610f96d423a45b784b8eb636bf41ca1
Proyecto Empresarial,A,2020-06-25,Sesiones de clase,2:13:55,https://ca.bbcollab.com/recording/0d118f1e8c194d96824cf8014f67b6e7
Proyecto Empresarial,A,2020-06-30,Sesiones de clase,2:07:06,https://ca.bbcollab.com/recording/391393927c38437a898034f9d40ec6c8
Proyecto Empresarial,A,2020-07-02,Sesiones de clase,1:59:35,https://ca.bbcollab.com/recording/939ab35bac314be0a4a9ffe13e01ec80
Proyecto Empresarial,A,2020-07-09,Charla presentaciones efectivas,1:27:48,https://ca.bbcollab.com/recording/26c47f8af360420ea3193e172f750f9d
Proyecto Empresarial,A,2020-07-09,Charla presentaciones efectivas,1:27:48,https://ca.bbcollab.com/recording/26c47f8af360420ea3193e172f750f9d
Proyecto Empresarial,A,2020-07-09,Sesiones de clase,0:35:00,https://ca.bbcollab.com/recording/794a92a0fe5947ec98e845df966ea7f2
Proyecto Empresarial,A,2020-07-09,Sesiones de clase,0:35:00,https://ca.bbcollab.com/recording/794a92a0fe5947ec98e845df966ea7f2
Proyecto Empresarial,A,2020-07-13,Sesiones de feedback,0:10:54,https://ca.bbcollab.com/recording/f12060676a84447d918c7988621d3311
Proyecto Empresarial,A,2020-07-14,Sala de sustentación final,0:09:43,https://ca.bbcollab.com/recording/247656c96403492aa51562118ec4cd68
