Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Proyecto Empresarial,H,2020-03-31,EMPRE SECCIÓN H,2:49:24,https://ca.bbcollab.com/recording/5add0f5ff40c44acbbc70b758fd02600
Proyecto Empresarial,H,2020-04-02,EMPRE SECCIÓN H,0:49:04,https://ca.bbcollab.com/recording/12e8df8f4e484c38a1be39b014b44640
Proyecto Empresarial,H,2020-04-07,EMPRE SECCIÓN H,2:18:14,https://ca.bbcollab.com/recording/0e318b9d112a4b96ad5cf6aa09ddad37
Proyecto Empresarial,H,2020-04-14,EMPRE SECCIÓN H,3:01:18,https://ca.bbcollab.com/recording/2ba50acbd9f74d7f85e273ce8feeeab0
Proyecto Empresarial,H,2020-04-16,EMPRE SECCIÓN H,2:37:21,https://ca.bbcollab.com/recording/cbfb90835de04b898573a04ba7a24490
Proyecto Empresarial,H,2020-04-21,EMPRE SECCIÓN H,2:41:41,https://ca.bbcollab.com/recording/e239587a370f40e18cf34f5e92d0b99b
Proyecto Empresarial,H,2020-04-23,EMPRE SECCIÓN H,2:47:44,https://ca.bbcollab.com/recording/e71e9a8839f94a54965aa27cfb4bbd52
Proyecto Empresarial,H,2020-04-28,EMPRE SECCIÓN H,2:22:51,https://ca.bbcollab.com/recording/b94384a6ae394396a01358574faae155
Proyecto Empresarial,H,2020-04-30,EMPRE SECCIÓN H,3:12:23,https://ca.bbcollab.com/recording/848dff36967a4a3bb2aeb9065488c86b
Proyecto Empresarial,H,2020-05-05,Sesión Empre,2:25:28,https://ca.bbcollab.com/recording/6f33bc6d66dc492385567699c3886da1
Proyecto Empresarial,H,2020-05-07,Sesión Empre,2:59:24,https://ca.bbcollab.com/recording/e969504462f64dcb8ba1e05fe3e9dd59
Proyecto Empresarial,H,2020-05-12,EMPRE,2:12:37,https://ca.bbcollab.com/recording/a0410abd3016470daa6f4beb48f85f9f
Proyecto Empresarial,H,2020-05-14,EMPRE,3:39:26,https://ca.bbcollab.com/recording/27b65d2d4212456d80f613cc192f7bb0
Proyecto Empresarial,H,2020-05-19,EMPRE,2:40:08,https://ca.bbcollab.com/recording/52f814bfde874b19bfdbd63265932abb
Proyecto Empresarial,H,2020-05-26,EMPRE,3:04:51,https://ca.bbcollab.com/recording/c3352a778a83438d9e5c19fa492e79f4
Proyecto Empresarial,H,2020-05-28,EMPRE,2:50:44,https://ca.bbcollab.com/recording/feae110dcf5d44fca6e26d5207d11a08
Proyecto Empresarial,H,2020-06-02,EMPRE,2:35:16,https://ca.bbcollab.com/recording/26f8267b93364cb9bed6757e59e0f77c
Proyecto Empresarial,H,2020-06-04,EMPRE,2:30:30,https://ca.bbcollab.com/recording/c6c78ea706844018aa13e7e2f1bd0d9b
Proyecto Empresarial,H,2020-06-09,EMPRE,2:47:52,https://ca.bbcollab.com/recording/f5e7f43fb5f241288ffb1308067baa77
Proyecto Empresarial,H,2020-06-11,EMPRE,2:49:38,https://ca.bbcollab.com/recording/101d0c3c69714b52803f091c29653a98
Proyecto Empresarial,H,2020-06-16,EMPRE,2:04:01,https://ca.bbcollab.com/recording/4266415dfd6e46aba81362b16d0e4e48
Proyecto Empresarial,H,2020-06-18,EMPRE,2:31:57,https://ca.bbcollab.com/recording/c97226fed04f481ab730f8707f618226
Proyecto Empresarial,H,2020-06-23,EMPRE,2:20:58,https://ca.bbcollab.com/recording/143a515786cf4d8298a97877569b13df
Proyecto Empresarial,H,2020-06-25,EMPRE,2:42:24,https://ca.bbcollab.com/recording/191f1d965bf649d5bb6e8126b04a1fc9
Proyecto Empresarial,H,2020-06-30,EMPRE,2:32:24,https://ca.bbcollab.com/recording/9427c49549cb41f5940148bbf81a71ea
Proyecto Empresarial,H,2020-07-02,EMPRE,2:59:21,https://ca.bbcollab.com/recording/b71eb815ede24ff6957a1d2e52f8c4bb
